spp,age,date,Species_age,Rep,Vial # for N,Sample MQN #,C%,N%,P,Al,B,Ca,Cu,Fe,K,Mg,Mn,Na,S,Zn
AcaDif,adult,wet season (May 2011),AcaDif_A,5,MQN45,45,47.6,1.530,757,6.045,44.82,10018,23.369,29.37,3147,3765,75.45,1124,1389,30.52
AcaDif,adult,wet season (May 2011),AcaDif_A,2,MQN43,43,45.1,2.585,816,3.975,38.46,2421,11.451,34.41,5773,1168,201.35,3201,1769,25.17
AcaDif,adult,wet season (May 2011),AcaDif_A,1,MQN42,42,45.6,2.725,869,7.420,32.48,3157,18.723,60.77,3536,2129,253.13,10068,1908,47.45
AcaDif,adult,wet season (May 2011),AcaDif_A,3,MQN44,44,46.8,1.634,975,14.841,14.98,3707,8.497,36.51,6736,1707,51.82,968,1513,19.29
AcaDif,adult,wet season (May 2011),AcaDif_A,20,MQN46,46,47.8,1.701,1127,,38.38,2659,9.793,40.38,4975,1923,91.44,1799,1953,42.42
AcaDif,sapling,wet season (May 2011),AcaDif_S,5,MQN51,51,49.3,1.582,598,11.762,42.75,7295,27.572,28.69,2800,2287,51.48,995,1066,35.45
AcaDif,sapling,wet season (May 2011),AcaDif_S,4,MQN50,50,44.5,3.091,756,,30.71,3519,10.183,40.47,5548,1711,186.10,5662,1788,21.00
AcaDif,sapling,wet season (May 2011),AcaDif_S,1,MQN47,47,44.9,2.637,769,1.454,24.84,4808,9.592,42.92,6581,1622,306.68,7257,1733,31.63
AcaDif,sapling,wet season (May 2011),AcaDif_S,2,MQN48,48,45.3,2.733,973,5.975,35.15,2637,9.789,40.53,4072,1168,243.67,7970,2010,24.72
AcaDif,sapling,wet season (May 2011),AcaDif_S,3,MQN49,49,44.6,2.575,1010,5.379,32.56,2998,9.553,40.10,7806,1570,210.14,2874,1760,17.12
AcaDif,sapling,wet season (May 2011),AcaDif_S,24,MQN52,52,45.4,2.065,1081,,31.36,7565,8.568,45.54,4954,3635,74.64,2129,1367,32.82
