Order Entered,date_WD,spp,age,Spp_age,Rep,Diam1 w bark (mm),Diam2 w bark  (mm),Displacement (g),Diam1 wout bark (mm),Diam2 wout bark (mm),Pith diam (mm),Dry Weight (g),CrossSecArea w bark (cm2),CrossSecArea wout bark (cm2),Bark thickness (mm),Bark area (cm2),WD kg/m3,date
47,2-May-11,AcaDif,adult,AcaDif_A,1,8.8,8.72,1.953,7.12,7.45,na,0.974,0.602,0.4164,0.74,0.186,498.72,wet season (May 2011)
48,2-May-11,AcaDif,adult,AcaDif_A,2,11.94,12.02,2.484,8.78,8.91,na,1.332,1.127,0.6141,1.57,0.5125,536.232,wet season (May 2011)
82,3-May-11,AcaDif,adult,AcaDif_A,3,9.82,10.01,2.486,8.52,8.29,na,1.494,0.772,0.5545,0.76,0.2172,600.965,wet season (May 2011)
83,3-May-11,AcaDif,adult,AcaDif_A,5,7.96,8.36,1.349,6.65,7.03,na,0.889,0.522,0.367,0.66,0.1554,659.007,wet season (May 2011)
183,5-May-11,AcaDif,adult,AcaDif_A,20,8.57,7.91,1.552,6.88,6.17,,1.159,0.532,0.3332,0.86,0.1989,746.778,wet season (May 2011)
49,2-May-11,AcaDif,sapling,AcaDif_S,1,7.32,7.01,1.113,5.77,5.64,na,0.59,0.403,0.2555,0.73,0.1473,530.099,wet season (May 2011)
50,2-May-11,AcaDif,sapling,AcaDif_S,2,10.33,10.56,2.133,8.72,8.11,na,1.071,0.856,0.5551,1.02,0.3012,502.11,wet season (May 2011)
51,2-May-11,AcaDif,sapling,AcaDif_S,3,9.01,8.43,1.922,7.2,7.25,na,1.08,0.596,0.4098,0.75,0.1865,561.915,wet season (May 2011)
52,2-May-11,AcaDif,sapling,AcaDif_S,4,7.21,7.83,1.325,5.94,5.96,na,0.649,0.443,0.2779,0.79,0.1653,489.811,wet season (May 2011)
85,3-May-11,AcaDif,sapling,AcaDif_S,5,7.86,7.87,1.282,6.81,6.62,na,0.909,0.486,0.3539,0.58,0.1317,709.048,wet season (May 2011)
84,3-May-11,AcaDif,sapling,AcaDif_S,24,7.49,7.19,1.571,5.9,6.38,na,0.768,0.423,0.2955,0.6,0.1273,488.861,wet season (May 2011)
1,2-May-11,AcaLat,adult,AcaLat_A,1,9.55,8.72,1.4,6.02,6.29,na,1.031,0.654,0.2972,1.49,0.3565,736.429,wet season (May 2011)
2,2-May-11,AcaLat,adult,AcaLat_A,2,8.51,8.35,1.163,5.7,6.01,na,0.757,0.558,0.2689,1.29,0.2889,650.903,wet season (May 2011)
3,2-May-11,AcaLat,adult,AcaLat_A,3,9.49,9.99,1.781,7.19,6.72,na,1.223,0.744,0.3793,1.39,0.3649,686.693,wet season (May 2011)
4,2-May-11,AcaLat,adult,AcaLat_A,4,8.72,9.52,1.916,6.62,6.91,na,1.378,0.652,0.3591,1.18,0.2926,719.207,wet season (May 2011)
5,2-May-11,AcaLat,adult,AcaLat_A,5,10.69,10.91,2.305,8.52,8.01,na,1.505,0.916,0.5357,1.27,0.3798,652.928,wet season (May 2011)
6,2-May-11,AcaLat,adult,AcaLat_A,6,9.75,9.27,1.731,6.8,7.52,na,1.286,0.71,0.4014,1.18,0.3081,742.923,wet season (May 2011)
7,2-May-11,AcaLat,sapling,AcaLat_S,1,10.27,10.4,1.551,7.4,7.17,na,1.083,0.838,0.4165,1.53,0.4219,698.259,wet season (May 2011)
8,2-May-11,AcaLat,sapling,AcaLat_S,2,9.3,9.63,1.293,6.93,7.02,na,0.821,0.703,0.3819,1.25,0.3211,634.957,wet season (May 2011)
9,2-May-11,AcaLat,sapling,AcaLat_S,3,10.55,9.79,1.686,7.34,6.28,na,1.082,0.811,0.3618,1.68,0.4489,641.756,wet season (May 2011)
10,2-May-11,AcaLat,sapling,AcaLat_S,4,10.12,9.81,2.217,7.5,7.29,na,1.454,0.779,0.4292,1.29,0.3501,655.841,wet season (May 2011)
11,2-May-11,AcaLat,sapling,AcaLat_S,5,10.2,10.08,1.32,7.13,6.98,na,0.875,0.807,0.3907,1.54,0.4164,662.879,wet season (May 2011)
12,2-May-11,AcaLat,sapling,AcaLat_S,6a,9.73,9.45,1.497,7.06,6.93,na,0.964,0.722,0.3841,1.3,0.3377,643.955,wet season (May 2011)
13,2-May-11,AcaLat,sapling,AcaLat_S,6b,9.26,9.89,1.378,6.3,6.47,na,0.882,0.719,0.32,1.6,0.3989,640.058,wet season (May 2011)
53,2-May-11,AcaMim,adult,AcaMim_A,1,7.75,8.5,0.67,4.49,4.39,na,0.484,0.517,0.1547,1.84,0.3624,722.388,wet season (May 2011)
54,2-May-11,AcaMim,adult,AcaMim_A,2,7.6,8.08,1.061,5.19,4.93,na,0.689,0.482,0.2009,1.39,0.2812,649.387,wet season (May 2011)
55,2-May-11,AcaMim,adult,AcaMim_A,3,9.45,8.95,0.994,5.64,5.3,na,0.738,0.664,0.2347,1.87,0.4293,742.455,wet season (May 2011)
56,2-May-11,AcaMim,adult,AcaMim_A,4,10.72,11.48,1.31,6.51,6.11,na,0.914,0.966,0.3122,2.4,0.6538,697.71,wet season (May 2011)
87,3-May-11,AcaMim,adult,AcaMim_A,5,12.68,12.31,2.703,8.8,8.76,na,1.744,1.225,0.6051,1.86,0.6202,645.209,wet season (May 2011)
57,2-May-11,AcaMim,sapling,AcaMim_S,1,9.78,9.53,1.114,6.11,6.03,na,0.787,0.732,0.2892,1.79,0.4424,706.463,wet season (May 2011)
58,2-May-11,AcaMim,sapling,AcaMim_S,2,9.39,9.84,1.572,6.69,6.45,na,1.126,0.725,0.3387,1.52,0.3866,716.285,wet season (May 2011)
59,2-May-11,AcaMim,sapling,AcaMim_S,3,10.4,10.41,1.588,6.81,6.45,na,1.159,0.85,0.3448,1.89,0.5051,729.849,wet season (May 2011)
60,2-May-11,AcaMim,sapling,AcaMim_S,4,12.22,11.71,1.606,6.92,7.03,na,1.297,1.123,0.3819,2.5,0.7414,807.597,wet season (May 2011)
61,2-May-11,AcaMim,sapling,AcaMim_S,5,9.42,10.32,1.329,6.03,6.8,na,0.891,0.763,0.3219,1.73,0.4413,670.429,wet season (May 2011)
72,3-May-11,BucObo,adult,BucObo_A,1,6.68,6.68,0.416,3.38,3.43,na,0.281,0.35,0.091,1.64,0.2593,675.481,wet season (May 2011)
73,3-May-11,BucObo,adult,BucObo_A,2,9.25,8.81,0.983,4.92,5.18,na,0.607,0.64,0.2001,1.99,0.4397,617.497,wet season (May 2011)
74,3-May-11,BucObo,adult,BucObo_A,3,11.24,10.55,1.816,6.95,7.19,1.12,1.035,0.931,0.3923,1.91,0.5386,569.934,wet season (May 2011)
75,3-May-11,BucObo,adult,BucObo_A,4,11.59,11.7,1.409,5.99,5.8,na,0.615,1.064,0.2727,2.88,0.7918,436.48,wet season (May 2011)
76,3-May-11,BucObo,adult,BucObo_A,5,12.03,12.12,1.771,6.21,6.19,na,0.699,1.145,0.3018,2.94,0.8428,394.692,wet season (May 2011)
86,3-May-11,BucObo,adult,BucObo_A,7,10.08,10.17,0.681,5.52,5.5,na,0.266,0.805,0.2383,2.31,0.5664,390.602,wet season (May 2011)
94,4-May-11,BucObo,adult,BucObo_A,20,12.41,12.6,2.155,8.59,8.45,2.59,1.01,1.227,0.5698,1.99,0.6577,468.677,wet season (May 2011)
77,3-May-11,BucObo,sapling,BucObo_S,1,14.25,14.18,2.553,7.66,7.94,na,0.891,1.586,0.4774,3.21,1.1088,349.001,wet season (May 2011)
78,3-May-11,BucObo,sapling,BucObo_S,2,13.13,13.13,2.121,7.27,7.52,na,0.753,1.353,0.4292,2.87,0.9242,355.021,wet season (May 2011)
