origrow,sample_date,spp,age,date,spp_type,Rep,ID,Displacement (g),Dry mass (g),Diam1_mm,Diam2_mm,avDiam,WD
32,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,1,EucTet_A_1,2.45,1.251,6.9,6.9,6.9,0.51
33,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,2,EucTet_A_2,2.56,1.468,7.3,7.4,7.3,0.57
34,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,3,EucTet_A_3,2.74,1.439,6.9,7.2,7,0.53
35,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,4,EucTet_A_4,2.23,1.189,7.2,7.6,7.4,0.53
36,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,5,EucTet_A_5,2.58,1.324,7.5,8.6,8,0.51
86,9/27/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,6,EucTet_A_6,2.35,1.415,7.4,7.9,7.6,0.6
37,9/24/2010,EucTet,adult,dry season (Sep 2010),EucTet_A,7,EucTet_A_7,1.57,0.943,6,6.1,6,0.6
38,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,1,EucTet_S_1,2.88,1.434,7.4,8.5,7.9,0.5
87,9/27/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,2,EucTet_S_2,1.81,0.895,6.6,7.1,6.8,0.49
40,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,4,EucTet_S_4,2.03,1.128,6.5,6.6,6.5,0.56
42,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,5,EucTet_S_5,3.2,1.658,7.8,8.2,8,0.52
41,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,6,EucTet_S_6,1.67,0.909,5.8,6.2,6,0.54
39,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,7,EucTet_S_7,2.5,1.358,7.5,7.7,7.6,0.54
47,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,10,EucTet_S_10,1.37,0.771,4.8,5.6,5.2,0.56
49,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,11,EucTet_S_11,2.2,1.136,6.9,7.5,7.2,0.52
48,9/24/2010,EucTet,sapling,dry season (Sep 2010),EucTet_S,12,EucTet_S_12,1.83,1.018,7.1,7.2,7.1,0.56
111,9/27/2010,GreDec,adult,dry season (Sep 2010),GreDec_A,2,GreDec_A_2,1.53,0.767,6.2,6.5,6.3,0.5
112,9/27/2010,GreDec,adult,dry season (Sep 2010),GreDec_A,4,GreDec_A_4,2.13,1.178,7.8,7.9,7.8,0.55
110,9/27/2010,GreDec,adult,dry season (Sep 2010),GreDec_A,5,GreDec_A_5,1.78,0.82,7.2,7.5,7.3,0.46
113,9/27/2010,GreDec,adult,dry season (Sep 2010),GreDec_A,41,GreDec_A_41,2.34,1.028,6.4,7.2,6.8,0.44
114,9/27/2010,GreDec,adult,dry season (Sep 2010),GreDec_A,42,GreDec_A_42,1.8,0.969,6.8,7,6.9,0.54
115,9/27/2010,GreDec,sapling,dry season (Sep 2010),GreDec_S,1,GreDec_S_1,0.94,0.465,4.8,5,4.9,0.49
116,9/27/2010,GreDec,sapling,dry season (Sep 2010),GreDec_S,2,GreDec_S_2,1.7,0.85,6.4,6.9,6.6,0.5
117,9/27/2010,GreDec,sapling,dry season (Sep 2010),GreDec_S,4,GreDec_S_4,1.69,0.876,6.5,6.9,6.7,0.52
