Owner,Reference,Site,sample_date,Latitude,Longitude,Species,ID,spp,age,Rep,date,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,DBH,CBH,SLA_photosynthesis_mm2mg,Amass,DELETE?,logPhoto,logAmass,log_gs
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A1,AcaDif,adult,1,wet season (May 2011),20.778,1157.896,319.355,364.038,0.877,27.344,1.2,3.9,7.73,160.51,,1.317597773,2.205496261,0.063669637
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A2,AcaDif,adult,2,wet season (May 2011),27.183,1422.202,305.87,354.972,0.862,27.459,1.5,4.8,10.52,286.03,,1.434297782,2.456405252,0.152961401
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A3,AcaDif,adult,3,wet season (May 2011),28.933,981.078,285.751,352.736,0.81,26.785,1.3,4.2,11.06,319.88,,1.46139424,2.504989607,-0.008296511
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A4,AcaDif,adult,4,wet season (May 2011),28.047,912.48,293.081,362.37,0.809,26.551,1.2,3.8,10.71,300.24,,1.447882549,2.47746922,-0.039776797
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A5,AcaDif,adult,5,wet season (May 2011),11.48,324.631,312.998,384.096,0.815,27.302,2.5,7.8,8.23,94.47,1,1.059960236,1.97528468,-0.488610135
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A6,AcaDif,adult,6,wet season (May 2011),20.553,1041.631,324.749,372.296,0.872,27.248,2.2,6.8,9.95,204.4,,1.312868351,2.310486785,0.017713839
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A7,AcaDif,adult,7,wet season (May 2011),27.997,1102.617,301.766,362.895,0.832,26.555,2.2,6.8,9.95,278.57,,1.447116498,2.444939579,0.042424604
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_A8,AcaDif,adult,8,wet season (May 2011),25.803,991.946,296.194,356.486,0.831,27.08,1.4,4.5,9.44,243.51,,1.411662024,2.386511319,-0.003511778
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S2,AcaDif,sapling,2,wet season (May 2011),20.236,1220.894,323.392,365.021,0.886,27.277,0.6,1.8,10.47,211.83,,1.306129508,2.325984784,0.086677824
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S3,AcaDif,sapling,3,wet season (May 2011),27.597,1083.198,296.088,355.542,0.833,27.168,0.6,2,10.58,291.85,,1.440868943,2.46516615,0.034707979
