spp,age,spp_age,Rep,SLA (m2/kg1),LMA (g/m2),notes,Dry Mass (g),Spec_age,Rep1,Total Area (cm2),date
AcaDif,adult,AcaDif_A,1,12.4,80.67,,0.544,Aca Dif_A,1,67.436,wet season (May 2011)
AcaDif,adult,AcaDif_A,2,11.8,85.1,,0.733,Aca Dif_A,2,86.138,wet season (May 2011)
AcaDif,adult,AcaDif_A,3,10.3,97.04,,0.751,Aca Dif_A,3,77.39,wet season (May 2011)
AcaDif,adult,AcaDif_A,5,8.4,118.94,,1.015,Aca Dif_A,5,85.335,wet season (May 2011)
AcaDif,adult,AcaDif_A,20,9.9,101.3,,0.639,Aca Dif_A,20,63.083,wet season (May 2011)
AcaDif,sapling,AcaDif_S,1,12.2,81.63,,0.603,Aca Dif_S,1,73.867,wet season (May 2011)
AcaDif,sapling,AcaDif_S,2,11,91.22,,0.658,Aca Dif_S,2,72.131,wet season (May 2011)
AcaDif,sapling,AcaDif_S,3,12.1,82.45,,0.366,Aca Dif_S,3,44.393,wet season (May 2011)
AcaDif,sapling,AcaDif_S,4,12.5,79.85,,0.57,Aca Dif_S,4,71.384,wet season (May 2011)
AcaDif,sapling,AcaDif_S,5,7.4,135.33,,1.499,Aca Dif_S,5,110.77,wet season (May 2011)
AcaDif,sapling,AcaDif_S,24,10.9,92.04,,0.575,Aca Dif_S,24,62.474,wet season (May 2011)
AcaLat,adult,AcaLat_A,1,6.8,146.36,,0.883,Aca Lat_A,1,60.329,wet season (May 2011)
AcaLat,adult,AcaLat_A,3,6.9,144.02,,1.342,Aca Lat_A,3,93.179,wet season (May 2011)
AcaLat,adult,AcaLat_A,5,6.6,150.39,,0.923,Aca Lat_A,5,61.372,wet season (May 2011)
AcaLat,adult,AcaLat_A,6,6.9,145.42,,1.086,Aca Lat_A,6,74.682,wet season (May 2011)
AcaLat,adult,AcaLat_A,2A,6.3,159.26,,1.33,Aca Lat_A,2a,83.51,wet season (May 2011)
AcaLat,adult,AcaLat_A,2B,6.8,147.06,,0.829,Aca Lat_A,2b,56.37,wet season (May 2011)
AcaLat,adult,AcaLat_A,4A,8.1,123.59,,0.729,Aca Lat_A,4a,58.985,wet season (May 2011)
AcaLat,adult,AcaLat_A,4B,6.1,165.11,,1.689,Aca Lat_A,4b,102.296,wet season (May 2011)
AcaLat,sapling,AcaLat_S,1,6.2,161.02,,1.021,Aca Lat_S,1,63.409,wet season (May 2011)
AcaLat,sapling,AcaLat_S,2,6.3,159.23,,1.343,Aca Lat_S,2,84.343,wet season (May 2011)
AcaLat,sapling,AcaLat_S,3,6.7,149.84,,1.595,Aca Lat_S,3,106.448,wet season (May 2011)
AcaLat,sapling,AcaLat_S,4,6.8,146.84,,1.244,Aca Lat_S,4,84.718,wet season (May 2011)
AcaLat,sapling,AcaLat_S,5,6.2,162.44,,2.066,Aca Lat_S,5,127.188,wet season (May 2011)
AcaLat,sapling,AcaLat_S,6,5.6,177.81,,1.488,Aca Lat_S,6,83.687,wet season (May 2011)
AcaMim,adult,AcaMim_A,1,5.5,181.8,,1.102,Aca Mim_A,1,60.617,wet season (May 2011)
AcaMim,adult,AcaMim_A,2,8.2,121.53,,0.722,Aca Mim_A,2,59.41,wet season (May 2011)
AcaMim,adult,AcaMim_A,3,5.5,182.8,,1.815,Aca Mim_A,3,99.287,wet season (May 2011)
AcaMim,adult,AcaMim_A,5,13,76.75,,0.818,Aca Mim_A,4,106.578,wet season (May 2011)
AcaMim,adult,AcaMim_A,9,3.1,320.81,,1.589,Aca Mim_A,5,49.531,wet season (May 2011)
AcaMim,adult,AcaMim_A,10,,,,2.639,Aca Mim_A,10,,wet season (May 2011)
AcaMim,sapling,AcaMim_S,1,5.8,171.88,,1.914,Aca Mim_S,1,111.354,wet season (May 2011)
AcaMim,sapling,AcaMim_S,2,7.5,132.91,,1.17,Aca Mim_S,2,88.032,wet season (May 2011)
AcaMim,sapling,AcaMim_S,3,6.2,161.45,,0.891,Aca Mim_S,3,55.187,wet season (May 2011)
AcaMim,sapling,AcaMim_S,4,5.8,172.94,,0.911,Aca Mim_S,4,52.677,wet season (May 2011)
