name_original,fruit type,seed_volume_mm3,crypto,cata,node,hypo,coty,emb
Abrophyllum ornans,berry,0.1,1,NA,NA,NA,NA,NA
Abrus precatorius,legume,51.562,2,2,1,1,1,1
Acacia accola,legume,5.8905,1,1,1,1,1,NA
Acacia alata,legume,7.854,1,1,2,1,1,NA
Acacia aneura,legume,15.708,1,1,1,1,NA,NA
Acacia armata,legume,6.2832,1,1,1,1,1,NA
Acacia aspera,legume,8.8375,1,1,1,1,1,NA
Acacia aulocarpa,legume,18.013,NA,NA,NA,NA,NA,NA
Acacia binervata,legume,18.5625,1,1,1,1,1,NA
Acacia buxifolia,legume,10.6029,1,1,1,1,1,NA
Acacia chalkeri,legume,5.8905,1,1,1,1,1,NA
Acacia complanata,legume,58.361,NA,NA,NA,NA,NA,NA
Acacia crassiuscula,legume,4.7124,1,1,2,1,1,NA
Acacia cunninghamii,legume,5.3014,1,1,1,1,1,NA
Acacia dawsoni,legume,3.6652,NA,NA,NA,NA,NA,NA
Acacia falcata,legume,13.91,1,1,1,1,1,1
Acacia fimbriata,legume,35.28,1,1,1,1,1,1
Acacia flocktoniae,legume,5.236,1,1,1,1,1,NA
Acacia glaucescens,legume,5.3014,1,1,1,1,1,NA
Acacia harpophylla,legume,243.027,1,1,2,1,1,1
Acacia hispidula,legume,43.9823,1,1,1,1,1,NA
Acacia holosericea,legume,3.7699,1,1,1,1,1,NA
Acacia howittii,legume,2.7489,1,1,1,1,1,NA
Acacia juniperina,legume,12.5664,1,1,1,1,1,NA
Acacia leiocalyx,legume,4.127,1,1,1,1,1,1
Acacia leiophylla,legume,6.8722,1,1,2,1,1,NA
Acacia leprosa,legume,4.7647,1,1,1,1,1,NA
Acacia linearis,legume,4.1888,1,1,1,1,1,NA
Acacia linifolia,legume,17.2788,NA,NA,NA,NA,NA,NA
Acacia mabellae,legume,14.1372,1,1,1,1,1,NA
Acacia maidenii,legume,17.954,NA,NA,NA,NA,NA,NA
Acacia melanoxylon,legume,11.3498,1,1,1,1,1,NA
Acacia montana,legume,5.4192,1,1,1,1,1,NA
Acacia myrtifolia,legume,7.4872,1,1,2,1,1,NA
Acacia obtusata,legume,9.572,1,1,1,1,1,NA
Acacia oxycedrus,legume,8.3776,1,1,1,1,1,NA
Acacia penninervis,legume,41.724,1,1,1,1,1,NA
Acacia perangusta,legume,9.9667,1,1,1,1,1,1
Acacia podalyriafolia,legume,44.933,1,1,1,1,1,NA
Acacia pravissima,legume,8.2647,1,1,1,1,1,NA
Acacia prominens,legume,18.326,1,1,1,1,1,NA
Acacia pubescens,legume,6.8722,1,1,1,1,1,NA
Acacia spectabilis,legume,15.8389,1,1,1,1,1,NA
Acacia stricta,legume,4.3982,1,1,1,1,1,NA
Acacia suaevolens,legume,18.8496,NA,NA,NA,NA,NA,NA
Acacia triptera,legume,5.1051,1,1,1,1,1,NA
Acacia undulifolia,legume,7.854,1,1,1,1,1,NA
Acacia verniciflua,legume,3.2987,NA,NA,NA,NA,NA,NA
Acacia vestita,legume,13.7445,1,1,1,1,1,NA
Acaena montanum,achene,0.7965,NA,NA,NA,NA,NA,NA
Acalypha nemorum,capsule,1.4714,NA,NA,NA,NA,NA,NA
Acmena brachyandra,berry,3056,2,2,2,NA,NA,NA
Acmena divaricata,berry,22449.2975,2,2,2,NA,NA,NA
Acmena graveolens,berry,22449.2975,2,2,2,NA,NA,NA
Acmena hemilampra,berry,523.5988,2,2,2,NA,NA,NA
Acmena mackinoniana,berry,5726.8616,NA,NA,NA,NA,NA,NA
