date_time,collector,longitude (deg),latitude (deg),elevation (m),locality
2007-12-04T03:08:06Z,L.J. Pollock,142.4574,-37.4269,484,MGS1
NA,L.J. Pollock,142.4574,-37.4269,475,MGS5
2007-12-04T22:39:51Z,L.J. Pollock,142.4577,-37.4263,470,MGS4
NA,L.J. Pollock,142.4574,-37.4621,450,MGS3
2007-12-04T21:10:12Z,L.J. Pollock,142.4584,-37.4259,443,MGS2
2007-12-05T01:58:26Z,L.J. Pollock,142.459,-37.4224,549,MGN1
2007-12-05T02:21:54Z,L.J. Pollock,142.4587,-37.4224,536,MGN2
2007-12-05T03:04:01Z,L.J. Pollock,142.4581,-37.4228,505,MGN3
2007-12-05T03:46:54Z,L.J. Pollock,142.4578,-37.4236,486,MGN4
2007-12-05T04:25:09Z,L.J. Pollock,142.4577,-37.4244,438,MGN5
2007-12-06T02:29:43Z,L.J. Pollock,142.4958,-37.3567,530,TBGS1
2007-12-06T02:52:21Z,L.J. Pollock,142.4942,-37.3589,506,TBGS2
2007-12-06T03:17:28Z,L.J. Pollock,142.4947,-37.3575,468,TBGS3
2007-12-05T23:01:32Z,L.J. Pollock,142.4965,-37.3557,524,TBGN1
2007-12-05T23:35:03Z,L.J. Pollock,142.4965,-37.3559,512,TBGN2
2007-12-06T00:19:22Z,L.J. Pollock,142.4959,-37.3564,479,TBGN3
2007-12-06T00:51:56Z,L.J. Pollock,142.4958,-37.3567,476,TBGN4
2007-12-10T05:02:04Z,L.J. Pollock,142.4004,-37.4907,537,GRIN1
2007-12-10T05:24:23Z,L.J. Pollock,142.3999,-37.4906,530,GRIN2
2007-12-10T06:20:05Z,L.J. Pollock,142.39940000000001,-37.4908,499,GRIN3
2007-12-10T06:49:06Z,L.J. Pollock,142.39940000000001,-37.4908,470,GRIN4
2007-12-07T00:05:37Z,L.J. Pollock,142.3645,-37.572,501,CGS1
2007-12-07T01:19:04Z,L.J. Pollock,142.365,-37.5718,465,CGS2
2007-12-07T01:22:02Z,L.J. Pollock,142.3652,-37.5716,454,CGS3
2007-12-07T01:48:16Z,L.J. Pollock,142.3656,-37.5714,433,CGS4
2007-12-07T02:18:23Z,L.J. Pollock,142.3666,-37.5709,410,CGS5
2007-12-07T02:55:54Z,L.J. Pollock,142.3671,-37.5696,399,CGS6
2007-12-07T03:18:47Z,L.J. Pollock,142.3673,-37.5679,391,CGS7
2007-12-07T03:56:23Z,L.J. Pollock,142.3673,-37.5676,389,CGS8
2007-12-09T23:14:40Z,L.J. Pollock,142.3565,-37.5926,706,MTA1
2007-12-09T23:42:04Z,L.J. Pollock,142.3564,-37.5925,705,MTA2
2007-12-10T00:18:41Z,L.J. Pollock,142.3565,-37.5923,703,MTA3
2007-12-10T00:54:17Z,L.J. Pollock,142.3565,-37.5923,700,MTA4
2008-03-03T06:33:17Z,L.J. Pollock,142.5147,-37.1606,697,GWOND1
2008-03-03T07:31:23Z,L.J. Pollock,142.5138,-37.1609,690,GWOND2
2008-03-03T07:36:42Z,L.J. Pollock,142.5135,-37.1613,676,GWOND3
2008-03-03T08:09:27Z,L.J. Pollock,142.5121,-37.1633,686,GWOND4
2008-03-04T01:36:21Z,L.J. Pollock,142.5984,-37.3086,1108,GMTW1
2008-03-04T02:13:48Z,L.J. Pollock,142.5993,-37.3077,1093,GMTW2
2008-03-04T02:28:58Z,L.J. Pollock,142.6004,-37.306,1101,GMTW3
2008-03-04T02:46:42Z,L.J. Pollock,142.6009,-37.3051,1119,GMTW4
2008-03-04T03:55:30Z,L.J. Pollock,142.6042,-37.2963,1132,GMTW5
2008-03-04T04:33:31Z,L.J. Pollock,142.6034,-37.2958,1142,GMTW6
2008-03-04T04:48:38Z,L.J. Pollock,142.6031,-37.2956,1146,GMTW7
2008-03-04T05:01:28Z,L.J. Pollock,142.6027,-37.2951,1148,GMTW8
2008-03-05T00:19:16Z,L.J. Pollock,142.4971,-37.0711,714,GBOR1
2008-03-05T01:19:21Z,L.J. Pollock,142.4995,-37.0762,761,GBOR2
2008-03-05T02:03:17Z,L.J. Pollock,142.502,-37.0816,799,GBOR3
2008-03-05T02:28:37Z,L.J. Pollock,142.5027,-37.0857,757,GBOR4
2008-03-05T04:12:49Z,L.J. Pollock,142.4398,-37.1515,379,GGLE1
2008-03-05T04:32:24Z,L.J. Pollock,142.4396,-37.1511,393,GGLE2
2008-03-05T04:46:43Z,L.J. Pollock,142.4436,-37.1615,286,GGLE3
2008-03-05T05:35:01Z,L.J. Pollock,142.3963,-37.1779,274,GPAD1
