PLOTID,IDENT,elev,PerSlope,aspect,Soil Depth class,Rock cover %,Soil Type
99,GVV5,220,1,255.331451,100,0,sandy clay loam
100,GVVG6,219,0,239.494537,100,0,silty clay loam
101,GVVG7,219,0,261.042938,100,0,silty clay loam
102,GHOR1,239,2,204.996292,100,0,loamy sand
103,GHOR2,238,2,208.786712,100,0,loamy sand
104,GHOR3,238,2,208.786712,100,0,loamy sand
105,GHOR4,237,2,215.561569,100,0,loamy sand
106,GHOR5,239,2,238.048477,100,0,loamy sand
107,GHOR6,239,1,290.148132,100,0,loamy sand
108,GHOR7,239,2,300.145019,100,0,loamy sand
109,GHOR8,240,1,296.539978,100,0,loamy sand
110,GHOR9,239,2,268.623229,100,0,loamy sand
111,GHOR10,240,2,245.340927,100,0,loamy sand
112,GHOR11,240,2,267.266265,100,0,loamy sand
113,GHOR12,241,2,266.750122,100,0,loamy sand
114,GMNT1,370,4,275.87149,100,0,sandy loam
115,GMNT2,372,4,275.374481,100,0,sandy loam
116,GMNT3,373,3,251.407379,100,0,sandy loam
117,GMNT4,374,4,252.223159,100,0,sandy loam
118,GMNT5,376,6,290.135406,100,0,sandy loam
119,GMNT6,380,6,299.814239,100,0,sandy loam
120,GMNT7,381,4,273.066925,100,0,sandy loam
121,GMNT8,383,4,266.53421,100,0,sandy loam
122,GMNT9,385,5,268.838806,100,0,sandy loam
123,GMNT10,387,5,271.476318,100,0,sandy loam
124,GMT11,388,5,260.284332,100,0,sandy loam
125,GMNT12,389,5,239.464965,100,0,sandy clay loam
126,GMNT13,390,2,204.285064,100,0,sandy clay loam
127,GMNT14,390,6,312.890319,100,0,silty clay loam
128,GMNT15,401,38,305.582519,100,0,silty clay loam
129,GMNT16,365,7,288.588378,100,0,silty clay loam
130,GMNT17,363,6,292.411956,100,0,silty clay loam
131,GMNT18,361,2,247.132247,100,0,silty clay loam
132,GMNT19,361,2,247.132247,100,0,sandy clay loam
133,GMNT20,361,7,182.32312,100,0,sandy clay loam
134,GMNT21,366,10,154.284408,100,0,sandy loam
135,GMNT22,366,10,154.284408,100,0,sandy loam
136,GRUB1,285,3,26.488758,100,0,silty clay loam
137,GRUB2,286,3,17.251279,100,0,silty clay loam
138,GRUB3,288,4,358.470611,100,0,silty clay loam
139,GRUB4,288,4,358.470611,100,0,silty clay loam
140,GRUB5,288,4,358.470611,100,0,sandy clay loam
141,GGOR1,228,8,76.200698,10,90,loamy sand
142,GGOR2,229,34,1.59347,10,85,loamy sand
143,GGOR3,223,19,98.499992,20,80,loamy sand
144,GGOR4,218,7,54.149986,15,75,loamy sand
145,GGOR5,214,8,355.449951,20,65,loamy sand
146,GGOR6,210,9,345.354919,20,80,loamy sand
147,GGOR7,210,9,345.354919,100,0,loamy sand
148,GROC1,299,44,29.499303,25,90,loamy sand
149,GROC2,291,45,14.72691,15,80,sandy loam
150,GROC3,279,24,42.515838,5,90,sandy loam
151,GROC4,272,19,38.916961,5,95,sandy loam
152,GROC5,270,13,52.292346,15,80,loamy sand
153,GENH1,270,13,52.292346,100,0,loamy sand
154,GENH2,267,7,257.172637,100,0,loamy sand
155,GENH3,265,7,258.012603,100,0,loamy sand
156,GENH4,262,5,254.425933,100,0,loamy sand
157,GENH5,262,5,254.425933,100,0,loamy sand
158,GENH6,258,6,244.503326,100,0,loamy sand
159,GENH7,252,6,244.729721,100,0,loamy sand
160,GENH8,249,6,225.106887,100,0,loamy sand
161,GENH9,243,8,203.872711,100,0,loamy sand
162,GENH10,239,4,204.392074,100,0,loamy sand
163,GENH11,238,3,208.827178,100,0,loamy sand
164,GENH12,236,3,258.117584,100,0,loamy sand
165,GLEN1,217,0,232.232772,100,0,loamy sand
166,GLEN2,217,0,238.274826,100,0,loamy sand
167,GLEN3,217,0,246.249069,100,0,loamy sand
168,GLEN4,217,1,250.472763,100,0,loamy sand
169,GLEN5,218,1,249.383621,100,0,loamy sand
170,GLEN6,218,1,249.383621,100,0,loamy sand
171,GHUM1,336,35,40.359596,10,80,sandy loam
172,GHUM2,316,31,356.028594,5,95,sandy loam
173,GHUM3,316,31,356.028594,10,80,sandy loam
174,GHUM4,299,27,346.911315,10,80,sandy loam
175,GHUM5,294,28,345.626831,15,70,sandy loam
176,GHUM6,294,28,345.626831,70,40,sandy loam
177,GHUM7,294,28,345.626831,25,20,sandy clay
178,GHUM8,274,27,333.704589,20,40,sandy clay
179,GHUM9,264,18,325.666809,70,10,sandy clay
180,GHUM10,255,14,321.391632,25,0,sandy loam
181,GHUM11,246,7,322.879241,100,20,sandy loam
182,GHUM12,246,7,322.879241,100,0,sandy loam
183,GHUM13,242,2,313.231201,100,30,sandy loam
184,GLSB1,236,3,213.235137,100,0,loamy sand
185,GLSB2,238,2,219.177108,100,0,sandy clay loam
186,GLSB3,237,3,228.520584,100,0,sandy clay loam
187,GLSB4,236,3,227.681747,100,0,sandy clay loam
188,GLSB5,236,2,235.59967,100,0,sandy clay loam
189,GGCR1,244,5,242.555999,100,0,sandy clay
190,GGCR2,247,5,248.813018,100,0,sandy clay loam
191,GGCR3,250,5,250.186004,100,0,sandy clay loam
192,GGCR4,256,15,276.471343,100,0,loamy sand
193,GGCR5,252,13,279.005584,100,0,loamy sand
194,GGCR6,255,16,271.566894,100,0,loamy sand
195,GGCR7,248,5,262.552398,100,0,sandy clay loam
196,GGCR8,250,7,270.015563,100,0,sandy clay loam
197,GLBD1,283,6,122.612144,100,0,sandy clay loam
198,GLBD2,288,9,125.612655,100,0,silt loam
199,GLBD3,290,12,124.689071,100,0,silt loam
200,GLBD4,300,19,118.39328,100,0,silt loam
201,GLBD5,318,25,105.888908,100,0,silt loam
202,GLBD6,356,27,83.818153,100,0,sandy clay
203,GLBD7,350,33,83.506233,100,10,sandy clay
204,GTHA1,923,45,6.544682,20,95,loamy sand
205,GROS1,241,3,231.26976,100,0,loamy sand
206,GROS2,238,3,242.859954,100,0,loamy sand
207,GROS3,238,4,190.078033,100,0,loamy sand
208,GROS4,237,4,189.362915,100,0,loamy sand
209,GROS5,236,4,196.482025,100,0,loamy sand
210,GFYA1,362,9,77.735527,100,0,sandy clay loam
211,GFYA2,367,10,63.182846,100,0,sandy clay loam
212,GFYA3,373,11,68.13256,100,5,sandy clay loam
213,GFYA4,378,12,83.778923,100,10,sandy clay loam
214,GFYA5,383,14,89.704879,100,0,sandy clay
215,GFYA6,395,15,96.668853,100,45,sandy clay
216,GZER1,332,60,40.274326,15,95,loamy sand
217,GZER2,302,58,38.567157,20,85,loamy sand
218,GZER3,261,31,38.349269,10,95,loamy sand
219,GZER4,252,27,26.095195,20,95,loamy sand
220,GZER5,249,27,29.577161,15,90,loamy sand
221,GZER6,240,23,21.858221,10,85,loamy sand
222,GZER7,246,44,30.509561,100,20,loamy sand
223,GZER8,267,58,33.259391,100,10,loamy sand
224,GZER9,272,40,85.318969,15,15,loamy sand
225,GZER10,256,27,122.655349,100,10,loamy sand
226,GZER11,246,6,96.411285,100,10,loamy sand
227,GZER12,252,7,74.066146,100,0,loamy sand
228,GTIP1,333,6,178.313613,100,10,sandy clay loam
229,GTIP2,352,22,104.795761,100,10,sandy loam
230,GTIP3,348,22,98.314964,100,10,sandy loam
231,GTIP4,340,13,96.859268,100,15,sandy clay
232,GTIP5,338,6,137.302062,100,5,sandy loam
233,GTIP6,336,5,147.74887,100,5,sandy loam
234,GTIP7,336,5,147.74887,100,0,sandy loam
235,GTIP8,336,4,147.733215,100,0,sandy loam
236,GTIP9,335,3,81.535011,100,0,sandy clay loam
237,GTIP10,334,3,76.158973,100,0,sandy clay loam
238,GTIP11,333,3,63.901519,100,0,sandy clay loam
239,GTIP12,332,3,71.148033,100,0,sandy clay loam
240,GTIP13,331,2,89.652122,100,0,sandy clay loam
241,GTIP14,330,2,176.818115,100,0,sandy loam
242,GABC1,408,3,153.622055,100,0,silt loam
243,GABC2,408,3,128.501693,100,0,sandy clay loam
244,GABC3,408,2,131.271163,100,0,sandy clay loam
245,GABC4,408,2,132.030059,100,0,sandy clay loam
246,THAK2,874,45,13.898297,5,95,sandy loam
247,THAK3,864,29,7.310376,20,90,sandy loam
248,THAK4,855,23,342.830963,20,95,sandy loam
249,THAK5,858,29,354.039672,5,85,sandy loam
250,THAK6,858,29,354.039672,10,50,sandy loam
251,THAK7,858,29,354.039672,5,45,sandy loam
252,THAK8,893,43,6.107011,10,70,sandy loam
253,FORT1A,752,54,40.057319,5,95,sandy loam
254,FORT2,742,43,87.643302,10,95,sandy loam
255,FORT3,765,71,106.551147,5,95,sandy loam
256,STAP1,765,60,106.551147,5,95,sandy loam
257,STAP2,365,17,28.429283,5,95,sandy loam
258,STAP3,377,43,29.327627,25,10,sandy loam
259,STAP4,434,20,333.280456,15,85,sandy clay
260,STAP5,441,20,43.322086,70,10,sandy clay
261,STAP6,441,20,43.322086,25,50,sandy loam
262,STAP7,472,33,130.117782,15,95,sandy clay
263,STAP8,478,47,91.156044,10,80,sandy clay
264,STAP9,480,20,246.50209,15,95,sandy clay
265,STAP10,482,62,263.279418,15,90,sandy loam
266,STAP11,459,30,24.698657,15,90,sandy loam
267,STAP12,388,62,240.043685,25,10,sandy loam
268,STAP13,388,45,240.043685,100,0,sandy clay
269,STAP14,388,43,240.043685,100,5,sandy clay
270,STAP15,369,60,192.508621,10,40,loamy sand
271,COPR1,341,14,359.193023,100,0,sandy loam
272,COPR2,342,7,345.383209,100,0,sandy loam
273,COPR3,344,6,342.044616,100,0,sandy clay loam
274,COPR4,342,6,344.352325,100,0,sandy clay loam
275,COPR5,340,12,354.161926,100,5,sandy clay loam
276,TOWERHL,615,30,356.111846,10,90,loamy sand
277,TOWER2,633,15,337.824981,15,10,loamy sand
278,GCHINA1,704,54,146.357635,15,90,sandy loam
279,GCHINA2,734,9,315.849243,15,95,sandy loam
280,GCHINA3,725,15,288.498596,10,95,sandy loam
281,GCHINA4,725,23,223.478408,5,95,sandy loam
282,GCHINA5,727,54,128.071975,20,90,sandy loam
283,ROS2,827,33,55.125789,20,90,sandy loam
284,ROS3,789,47,38.408508,15,85,sandy loam
285,ROS5,756,54,37.368892,30,60,sandy loam
286,ROS8,873,49,14.335313,25,80,sandy loam
287,ROS10,702,24,319.159667,70,20,sandy loam
288,A1,394,22,90.801399,100,0,sandy loam
289,A2,394,24,82.235557,25,40,sandy loam
290,A3,402,15,113.435195,70,10,sandy loam
291,A4,428,34,149.186309,100,10,sandy loam
292,A5,428,34,149.186309,100,10,sandy loam
293,B1,428,34,149.186309,25,10,sandy loam
294,B2,383,14,301.614929,100,5,sandy loam
295,B3,371,15,281.314117,100,0,sandy loam
296,B4,348,11,253.992141,100,0,sandy loam
297,B5,343,18,209.819992,100,5,sandy loam
298,C1,274,6,157.878036,100,0,loamy sand
299,C2,277,5,158.354934,100,0,loamy sand
300,C3,280,4,156.781204,100,0,loamy sand
301,C4,285,8,152.707214,100,0,loamy sand
302,C5,295,12,170.348007,100,0,loamy sand
303,D1,366,28,81.060401,5,90,sandy loam
304,D2,366,52,182.507858,10,80,sandy loam
305,D3,363,36,94.185302,100,0,sandy loam
306,D3-5,315,10,114.448524,70,10,sandy loam
307,D4,315,10,114.448524,100,0,sandy clay loam
308,D5,315,10,114.448524,100,0,sandy clay loam
309,E1,482,47,91.850959,15,85,sandy loam
310,E2,481,47,92.563949,15,85,sandy loam
311,E3,493,61,101.643959,15,85,sandy loam
312,E4,481,63,95.72071,10,80,sandy loam
313,E5,491,59,115.828033,100,0,sandy loam
314,E63,503,37,113.132827,100,0,sandy loam
315,E7,503,47,102.130981,100,0,sandy loam
316,E8,520,35,190.328033,100,0,sandy loam
317,F1,363,29,258.789337,100,0,sandy loam
318,F2,352,19,250.422744,100,0,sandy loam
319,F3,350,10,303.790252,100,0,sandy loam
320,F4,349,13,302.27832,100,0,sandy loam
321,F5,347,16,259.324798,100,0,sandy loam
322,G1,347,16,259.324798,100,0,sandy loam
323,G2,299,18,281.886047,100,0,sandy loam
324,G3,300,19,273.170776,100,0,sandy loam
325,G4,303,15,266.137146,100,0,sandy loam
326,G5,295,9,255.967147,100,0,sandy loam
327,H1,294,12,267.692199,100,5,sandy loam
328,H2,319,13,247.982925,100,5,sandy loam
329,H3,318,13,298.19461,100,5,sandy loam
330,H4,313,16,303.778442,100,5,sandy loam
331,H5,307,16,329.734497,100,5,sandy loam
332,I1,348,45,219.606231,100,0,sandy loam
333,I2,343,30,234.06398,100,0,sandy clay loam
334,I3,333,49,306.820129,100,0,sandy clay loam
335,I4,333,49,306.820129,100,0,sandy clay loam
336,I5,333,49,306.820129,100,0,sandy clay loam
337,J1,262,13,18.194391,100,0,sandy clay loam
338,J2,262,13,18.194391,100,0,sandy clay loam
339,J3,266,15,21.90842,100,0,sandy clay loam
340,J4,272,14,19.248634,100,0,sandy clay loam
341,J5,281,15,21.348426,100,0,sandy clay loam
342,K1,519,30,218.313705,100,0,sandy clay loam
343,K2,519,30,218.313705,100,0,sandy clay loam
344,K3,546,20,205.88095,100,0,sandy clay loam
345,K4,546,20,205.88095,100,0,sandy clay loam
346,K5,546,20,205.88095,100,0,sandy clay loam
347,L1,586,33,43.429065,100,0,sandy clay loam
348,BARK1,475,36,298.977874,5,95,sandy clay loam
349,BARK2,510,8,298.415802,10,90,sandy clay loam
350,BARK3,510,8,298.415802,10,90,sandy clay loam
351,BARK4,445,39,307.534729,5,95,sandy clay loam
352,DC1,244,1,358.024566,100,0,sandy clay loam
353,N1,245,6,52.195751,100,0,sandy loam
354,N2,262,6,61.914661,100,0,sandy loam
355,DC2,248,2,0.757705,100,0,sandy clay loam
356,DC3,254,13,70.925041,100,40,sandy clay loam
357,DC4,238,4,335.233581,100,5,sandy loam
358,DC5,238,2,346.457702,100,5,sandy loam
359,DC6,225,2,297.584136,100,0,sandy clay loam
360,DC7,225,0,278.318023,100,0,sandy clay
361,DC8,237,2,243.759826,100,0,sandy clay
362,DC9,256,2,23.095048,100,0,sandy clay loam
363,DC10,236,3,174.910614,100,0,sandy clay loam
364,O1,694,2,320.430023,100,15,sandy loam
365,DC11,523,37,152.876922,100,10,sandy loam
366,P1,635,34,257.76947,100,0,sandy loam
367,ROS1,796,20,20.516403,10,95,sandy loam
368,ROS4,774,50,43.5,15,85,sandy loam
369,ROS6,700,33,40.305561,15,85,sandy loam
370,ROS7,740,33,49.34563,25,10,sandy loam
371,ROS9,755,47,233.863632,70,5,sandy loam
372,ROS10,702,24,319.159667,70,5,sandy loam
373,BLK1,702,24,319.159667,100,0,loamy sand
374,BLK5,702,24,319.159667,100,0,loamy sand
375,BLK6,702,24,319.159667,100,0,loamy sand
376,BLK7,702,24,319.159667,100,0,loamy sand
377,BLK8,702,24,319.159667,100,0,loamy sand
378,BLK9,702,24,319.159667,100,0,loamy sand
379,BLK10,702,24,319.159667,100,0,loamy sand
380,BLK11,702,24,319.159667,100,0,loamy sand
381,BLK12-14,702,24,319.159667,100,0,loamy sand
382,BLK15,702,24,319.159667,100,0,loamy sand
