SPECIES,SEED NUMBER,SEED WEIGHT mg,SEED WEIGHT multiplier,notes for edited & omitted values
Acacia binervata,88,3.02,,
Acacia binervata,100,3.37,,
Acacia binervata,90,7.11,,
Acacia binervata,89,7.64,,
Acacia binervata,65,7.76,,
Acacia binervata,92,9.23,,
Acacia binervata,93,9.59,,
Acacia binervata,98,9.72,,
Acacia binervata,99,10.14,,
Acacia binervata,4,10.24,,
Acacia binervata,64,10.84,,
Acacia binervata,77,11.96,,
Acacia binervata,50,12.36,,
Acacia binervata,96,12.75,,
Acacia binervata,49,12.76,,
Acacia binervata,60,12.87,,
Acacia binervata,57,13.16,,
Acacia binervata,2,13.24,,
Acacia binervata,76,13.3,,
Acacia binervata,31,13.34,,
Acacia binervata,41,13.37,,
Acacia binervata,3,13.4,,
Acacia binervata,39,13.52,,
Acacia binervata,18,13.59,,
Acacia binervata,66,13.64,,
Acacia binervata,91,13.7,,
Acacia binervata,23,14.02,,
Acacia binervata,67,14.08,,
Acacia binervata,22,14.1,,
Acacia binervata,75,14.11,,
Acacia binervata,73,14.32,,
Acacia binervata,53,14.36,,
Acacia binervata,74,14.63,,
Acacia binervata,71,14.64,,
Acacia binervata,86,14.67,,
Acacia binervata,97,14.7,,
Acacia binervata,36,14.82,,
Acacia binervata,14,14.84,,
Acacia binervata,54,14.88,,
Acacia binervata,83,14.94,,
Acacia binervata,20,15,,
Acacia binervata,70,15.12,,
Acacia binervata,19,15.22,,
Acacia binervata,42,15.37,,
Acacia binervata,47,15.4,,
Acacia binervata,55,15.49,,
Acacia binervata,12,15.5,,
Acacia binervata,87,15.5,,
Acacia binervata,29,15.53,,
Acacia binervata,34,15.66,,
Acacia binervata,52,15.76,,
Acacia binervata,68,15.77,,
Acacia binervata,95,15.78,,
Acacia binervata,6,15.79,,
Acacia binervata,63,15.91,,
Acacia binervata,7,15.96,,
Acacia binervata,24,16.07,,
Acacia binervata,84,16.16,,
Acacia binervata,8,16.19,,
Acacia binervata,62,16.19,,
Acacia binervata,9,16.26,,
Acacia binervata,25,16.34,,
Acacia binervata,81,16.34,,
Acacia binervata,38,16.37,,
Acacia binervata,69,16.38,,
Acacia binervata,43,16.4,,
Acacia binervata,61,16.42,,
Acacia binervata,16,16.53,,
Acacia binervata,30,16.69,,
Acacia binervata,11,16.84,,
Acacia binervata,10,16.88,,
Acacia binervata,56,16.94,,
Acacia binervata,40,16.96,,
Acacia binervata,72,16.97,,
Acacia binervata,44,16.98,,
Acacia binervata,58,17.07,,
Acacia binervata,17,17.08,,
Acacia binervata,45,17.14,,
Acacia binervata,26,17.17,,
Acacia binervata,46,17.24,,
Acacia binervata,94,17.3,,
Acacia binervata,28,17.32,,
Acacia binervata,35,17.52,,
Acacia binervata,1,17.6,,
Acacia binervata,48,17.73,,
Acacia binervata,15,17.84,,
Acacia binervata,32,17.85,,
Acacia binervata,82,17.92,,
Acacia binervata,21,18.08,,
Acacia binervata,5,18.46,,
Acacia binervata,27,18.48,,
Acacia binervata,37,18.7,,
Acacia binervata,33,18.74,,
Acacia binervata,85,18.78,,
Acacia binervata,59,18.99,,
Acacia binervata,13,19.01,,
Acacia binervata,51,19.02,,
Acacia binervata,78,20.04,,
Acacia binervata,79,20.05,,
Acacia binervata,80,20.7,,
Acacia caesiella,21,8.8,,
Acacia caesiella,42,9.8,,
Acacia caesiella,36,11,,
Acacia caesiella,43,11.1,,
Acacia caesiella,32,11.6,,
Acacia caesiella,5,12.3,,
Acacia caesiella,96,12.5,,
Acacia caesiella,53,12.9,,
Acacia caesiella,20,13.2,,
Acacia caesiella,80,13.2,,
Acacia caesiella,49,13.3,,
Acacia caesiella,82,13.4,,
Acacia caesiella,83,13.4,,
Acacia caesiella,64,13.6,,
Acacia caesiella,48,14,,
Acacia caesiella,73,14,,
Acacia caesiella,33,14.4,,
Acacia caesiella,18,14.5,,
Acacia caesiella,44,14.5,,
Acacia caesiella,17,14.7,,
Acacia caesiella,41,15.4,,
Acacia caesiella,29,15.8,,
Acacia caesiella,8,16.4,,
Acacia caesiella,74,16.4,,
Acacia caesiella,15,17.1,,
Acacia caesiella,51,17.2,,
Acacia caesiella,75,17.5,,
Acacia caesiella,3,17.8,,
Acacia caesiella,37,17.8,,
Acacia caesiella,58,17.8,,
Acacia caesiella,69,17.8,,
Acacia caesiella,77,17.8,,
Acacia caesiella,89,17.8,,
Acacia caesiella,54,17.9,,
Acacia caesiella,70,17.9,,
Acacia caesiella,98,18.1,,
Acacia caesiella,10,18.4,,
Acacia caesiella,13,18.5,,
Acacia caesiella,55,18.5,,
Acacia caesiella,68,18.5,,
Acacia caesiella,39,18.6,,
Acacia caesiella,65,18.7,,
Acacia caesiella,90,19,,
Acacia caesiella,78,19.1,,
Acacia caesiella,26,19.2,,
Acacia caesiella,30,19.2,,
Acacia caesiella,66,19.2,,
Acacia caesiella,28,19.3,,
Acacia caesiella,23,19.5,,
Acacia caesiella,99,19.5,,
Acacia caesiella,85,19.6,,
Acacia caesiella,22,19.7,,
Acacia caesiella,79,19.7,,
Acacia caesiella,100,19.7,,
Acacia caesiella,9,20,,
Acacia caesiella,46,20,,
Acacia caesiella,61,20,,
Acacia caesiella,81,20.1,,
Acacia caesiella,7,20.3,,
Acacia caesiella,52,20.3,,
Acacia caesiella,60,20.3,,
Acacia caesiella,25,20.4,,
Acacia caesiella,50,20.4,,
Acacia caesiella,95,20.7,,
Acacia caesiella,45,21,,
Acacia caesiella,31,21.1,,
Acacia caesiella,1,21.2,,
Acacia caesiella,88,21.2,,
Acacia caesiella,27,21.5,,
Acacia caesiella,40,21.5,,
Acacia caesiella,35,21.8,,
Acacia caesiella,71,21.9,,
Acacia caesiella,72,21.9,,
Acacia caesiella,34,22,,
Acacia caesiella,19,22.3,,
Acacia caesiella,16,22.7,,
Acacia caesiella,67,22.7,,
Acacia caesiella,6,22.9,,
