FAMILY,SPECIES,SITE,DATE OF COLLECTION,DATE OF TRIAL,SEED NUMBER,SEED WEIGHT mg,DORM_TYPE,Source dormancy type,SEED WEIGHT multiplier,notes for edited & omitted values
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,61,16.42,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,62,16.19,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,63,15.91,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,64,10.84,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,65,7.76,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,66,13.64,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,67,14.08,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,68,15.77,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,69,16.38,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,70,15.12,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,71,14.64,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,72,16.97,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,73,14.32,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,74,14.63,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,75,14.11,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,76,13.3,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,77,11.96,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,78,20.04,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,79,20.05,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,80,20.7,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,81,16.34,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,82,17.92,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,83,14.94,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,84,16.16,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,85,18.78,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,86,14.67,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,87,15.5,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,88,3.02,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,89,7.64,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,90,7.11,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,91,13.7,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,92,9.23,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,93,9.59,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,94,17.3,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,95,15.78,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,96,12.75,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,97,14.7,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,98,9.72,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,99,10.14,PY,
Fabaceae,Acacia binervata,Fredericktown,21/11/78,2/2/1979,100,3.37,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,1,21.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,2,24.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,3,17.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,4,24.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,5,12.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,6,22.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,7,20.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,8,16.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,9,20,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,10,18.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,11,24,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,12,23.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,13,18.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,14,23.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,15,17.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,16,22.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,17,14.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,18,14.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,19,22.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,20,13.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,21,8.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,22,19.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,23,19.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,24,24.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,25,20.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,26,19.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,27,21.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,28,19.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,29,15.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,30,19.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,31,21.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,32,11.6,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,33,14.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,34,22,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,35,21.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,36,11,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,37,17.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,38,23.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,39,18.6,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,40,21.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,41,15.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,42,9.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,43,11.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,44,14.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,45,21,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,46,20,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,47,25.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,48,14,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,49,13.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,50,20.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,51,17.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,52,20.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,53,12.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,54,17.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,55,18.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,56,24.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,57,23.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,58,17.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,59,25.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,60,20.3,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,61,20,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,62,23.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,63,27.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,64,13.6,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,65,18.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,66,19.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,67,22.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,68,18.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,69,17.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,70,17.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,71,21.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,72,21.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,73,14,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,74,16.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,75,17.5,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,76,22.9,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,77,17.8,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,78,19.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,79,19.7,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,80,13.2,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,81,20.1,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,82,13.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,83,13.4,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,84,23,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,85,19.6,PY,
Fabaceae,Acacia caesiella,Munghorn Gap,7/2/1979,6/9/1979,86,24.5,PY,
