trait_name,find,replace
plant_growth_form,c,climber
plant_growth_form,s,shrub
plant_growth_form,s/t,shrub tree
plant_growth_form,t,tree
plant_growth_form,t*,tree
resprouting_capacity,fs,partial_resprouting
resprouting_capacity,os,fire_killed
resprouting_capacity,rs,resprouts
resprouting_capacity,un,NA
seedbank_location,c,canopy_seedbank
seedbank_location,s,soil_seedbank
seedbank_location,t,none
seedbank_location,un,NA
seedbank_location,v,xx
seedbank_longevity,c,persistent
seedbank_longevity,s,persistent
seedbank_longevity,t,transient
seedbank_longevity,un,NA
seedbank_longevity,v,xx
