Tree ID,Landscape type,Tree species,Leaf type,Eucalypt subgenera,Collection date,Round,TotalN,AvailN,UBFs,FPCs
b11di4,Burnt,Dives,Epicormic,Monocalyptus,27/11/2020,1,2.402,2.084591092,25.4761829,
b11mac6,Burnt,Macrorhyncha,Epicormic,Monocalyptus,27/11/2020,1,1.737,0.122070147,3.1568503,
b11ro3,Burnt,Rossii,Epicormic,Monocalyptus,27/11/2020,1,1.583,1.362349342,14.8835955,
b12di11,Burnt,Dives,Epicormic,Monocalyptus,3/12/2020,1,2.613,2.276201885,17.7257271,
b12mac7,Burnt,Macrorhyncha,Epicormic,Monocalyptus,3/12/2020,1,1.597,0.079213552,10.1933994,
b12ru1,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.939,2.780020317,,13.85152418
b13mac8,Burnt,Macrorhyncha,Epicormic,Monocalyptus,30/11/2020,1,1.566,0.123451433,5.5181546,
b13maci5,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,30/11/2020,1,1.453,0.53441313,10.8521566,
b13mani2,Burnt,Mannifera,Mature foliage,Symphyomyrtus,30/11/2020,1,1.179,0.987976839,,29.55486698
b13mani2tips,Burnt,Mannifera,Tips,Symphyomyrtus,30/11/2020,1,2.273,1.746469002,,29.64203063
b13roi3,Burnt,Rossii,Mature foliage,Monocalyptus,30/11/2020,1,1.057,0.937489173,26.712923,
b14dii2,Burnt,Dives,Mature foliage,Monocalyptus,2/12/2020,1,1.677,1.453656268,18.1326599,
b14man4,Burnt,Mannifera,Epicormic,Symphyomyrtus,2/12/2020,1,2.947,2.200993165,,28.78659103
b14ro4,Burnt,Rossii,Epicormic,Monocalyptus,2/12/2020,1,1.727,0.66847702,18.4050407,
b14roi8,Burnt,Rossii,Mature foliage,Monocalyptus,2/12/2020,1,1.337,1.182144693,19.3951874,
b15mac9,Burnt,Macrorhyncha,Epicormic,Monocalyptus,26/11/2020,1,1.318,0.164267009,16.7395668,
b15maci1,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,26/11/2020,1,1.452,0.111819205,5.4826975,
b15maci1tips,Burnt,Macrorhyncha,Tips,Monocalyptus,26/11/2020,1,1.242,0.183182204,9.3606377,
b15man5,Burnt,Mannifera,Epicormic,Symphyomyrtus,26/11/2020,1,2.467,1.968485586,,38.46675915
b15mani1,Burnt,Mannifera,Mature foliage,Symphyomyrtus,26/11/2020,1,1.428,1.203908519,,21.09944967
b15mani1tips,Burnt,Mannifera,Tips,Symphyomyrtus,26/11/2020,1,1.703,1.201766821,,13.53234034
b15ro5,Burnt,Rossii,Epicormic,Monocalyptus,26/11/2020,1,1.562,0.70943055,17.6130486,
b16mac10,Burnt,Macrorhyncha,Epicormic,Monocalyptus,2/12/2020,1,1.655,0.37590138,8.6449642,
b16maci10,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,2/12/2020,1,1.039,0.670306093,10.4218512,
b16man6,Burnt,Mannifera,Epicormic,Symphyomyrtus,2/12/2020,1,2.04,1.666752392,,31.2239945
b16mani7,Burnt,Mannifera,Mature foliage,Symphyomyrtus,2/12/2020,1,1.258,0.952039026,,22.18436792
b16ro6,Burnt,Rossii,Epicormic,Monocalyptus,2/12/2020,1,1.499,1.18149739,17.8199196,
b16roi9,Burnt,Rossii,Mature foliage,Monocalyptus,2/12/2020,1,1.137,0.874647236,29.471611,
b17di5,Burnt,Dives,Epicormic,Monocalyptus,27/11/2020,1,2.491,1.998286154,17.674675,
b17dii1,Burnt,Dives,Mature foliage,Monocalyptus,27/11/2020,1,1.31,1.074643755,11.4632664,
b17maci4,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,27/11/2020,1,1.201,0.596246969,6.4010549,
b17man7,Burnt,Mannifera,Epicormic,Symphyomyrtus,27/11/2020,1,2.32,1.950883519,,29.70525262
b17ru2,Burnt,Rubida,Epicormic,Symphyomyrtus,27/11/2020,1,2.051,1.732315508,,4.860633396
b17rui1,Burnt,Rubida,Mature foliage,Symphyomyrtus,27/11/2020,1,1.421,1.253285939,,0.441970077
b1mac1,Burnt,Macrorhyncha,Epicormic,Monocalyptus,26/11/2020,1,1.461,0.237090967,9.139431,
b1maci3,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,26/11/2020,1,1.467,0.074692357,6.324976,
b1man1,Burnt,Mannifera,Epicormic,Symphyomyrtus,26/11/2020,1,1.822,1.389209195,,34.04774915
b1ro1,Burnt,Rossii,Epicormic,Monocalyptus,26/11/2020,1,1.148,0.182549936,33.2977867,
b1roi2,Burnt,Rossii,Mature foliage,Monocalyptus,26/11/2020,1,1.126,0.987665506,31.853838,
b20maci2,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,26/11/2020,1,1.31,0.251113826,14.2415447,
b20ro8,Burnt,Rossii,Epicormic,Monocalyptus,26/11/2020,1,1.609,1.329339088,23.8025017,
b20roi1,Burnt,Rossii,Mature foliage,Monocalyptus,26/11/2020,1,1.308,0.99358563,15.897584,
b20roi1tips,Burnt,Rossii,Tips,Monocalyptus,26/11/2020,1,1.271,0.863858156,19.2090759,
b23ro8,Burnt,Rossii,Epicormic,Monocalyptus,27/11/2020,1,1.466,0.684968678,22.9128838,
b24maci8,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,1/12/2020,1,1.216,0.235532494,2.583446,
b24man8,Burnt,Mannifera,Epicormic,Symphyomyrtus,1/12/2020,1,2.454,2.035608174,,37.61681342
b24mani3,Burnt,Mannifera,Mature foliage,Symphyomyrtus,1/12/2020,1,1.358,1.069131005,,24.8444161
b25di6,Burnt,Dives,Epicormic,Monocalyptus,26/11/2020,1,2.24,1.754497756,18.9227848,
b25ru3,Burnt,Rubida,Epicormic,Symphyomyrtus,26/11/2020,1,2.564,2.13625694,,0.476816545
b25vi3,Burnt,Viminalis,Epicormic,Symphyomyrtus,26/11/2020,1,2.751,2.581340436,,14.08038156
b26di7,Burnt,Dives,Epicormic,Monocalyptus,2/12/2020,1,3.052,2.690199949,13.3488417,
b26dii2,Burnt,Dives,Mature foliage,Monocalyptus,2/12/2020,1,1.639,1.52515592,15.3288975,
b26man9,Burnt,Mannifera,Epicormic,Symphyomyrtus,2/12/2020,1,2.704,2.132156322,,30.59187178
b26vi4,Burnt,Viminalis,Epicormic,Symphyomyrtus,2/12/2020,1,2.647,2.411708307,,12.94753874
b26vii2,Burnt,Viminalis,Mature foliage,Symphyomyrtus,2/12/2020,1,1.552,1.397564592,,15.44025783
b28di8,Burnt,Dives,Epicormic,Monocalyptus,30/11/2020,1,1.51,1.12517804,19.6305637,
b28maci6,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,30/11/2020,1,1.257,0.437873757,6.2320871,
b28roi4,Burnt,Rossii,Mature foliage,Monocalyptus,30/11/2020,1,1.599,1.238262943,15.9792461,
b29ro9,Burnt,Rossii,Epicormic,Monocalyptus,1/12/2020,1,1.281,1.10925,24.9058208,
b29roi5,Burnt,Rossii,Mature foliage,Monocalyptus,1/12/2020,1,1.445,1.224424866,18.3139324,
b2di1,Burnt,Dives,Epicormic,Monocalyptus,27/11/2020,1,2.251,1.833374552,28.2135887,
b2vi1,Burnt,Viminalis,Epicormic,Symphyomyrtus,27/11/2020,1,3.02,2.784520041,,13.29422238
b33man10,Burnt,Mannifera,Epicormic,Symphyomyrtus,2/12/2020,1,2.341,1.913866204,,28.05445762
b33mani4,Burnt,Mannifera,Mature foliage,Symphyomyrtus,2/12/2020,1,1.71,1.293569237,,20.82585227
b33roi7,Burnt,Rossii,Mature foliage,Monocalyptus,2/12/2020,1,1.458,1.150172701,23.7450676,
b35di9,Burnt,Dives,Epicormic,Monocalyptus,27/11/2020,1,2.2,1.933681237,16.8900356,
