original_term,dispersal_appendage
awns,bristles
hairs,hairs
very hairy,hairs
barbs,hooks
none,none
floating_seed,parts_to_enhance_floating
spines,spines
wings_small,wings
wings,wings
pappus,
pappus_deciduous,
plumose,
plumose petals,
feathery_style,
tumbleweed,
