Site,Lat,Lon,Species,PlantRep,leaf_water_content_per_saturated_mass,leaf_dry_matter_content,leaf_dry_mass,leaf_fresh_mass,leaf_area,specific_leaf_area,leaf_thickness,leaf_turgor_loss_point,osmotic_potential_at_full_turgor,bulk_modulus_of_elasticity
CanobMid,-33.33893403,149.001505,Eucalyptus dives,1,1.311244005,0.432738497,241.9,558.6333333,1516.933333,6.27884534,0.286666667,NA,NA,NA
CanobMid,-33.33893403,149.001505,Eucalyptus dives,2,1.211939206,0.452248259,224.6666667,497.5666667,1367.733333,6.065087852,0.278333333,NA,NA,NA
CanobMid,-33.33893403,149.001505,Eucalyptus dives,5,1.080048481,0.480768326,141.4333333,294.2666667,726.2,5.154664675,0.251666667,NA,NA,NA
ConobTop,-33.34422897,148.983068,Eucalyptus canobolensis,1,1.010461291,0.497418157,971.5,1951.1,3191.7,3.289776128,0.528333333,NA,NA,NA
ConobTop,-33.34422897,148.983068,Eucalyptus canobolensis,2,1.027132055,0.493379763,666.6333333,1346.466667,2401.6,3.636157524,0.525,NA,NA,NA
ConobTop,-33.34422897,148.983068,Eucalyptus canobolensis,3,1.228656543,0.448750741,548.2666667,1219.233333,2446.933333,4.471520759,0.433333333,NA,NA,NA
ConobTop,-33.34422897,148.983068,Eucalyptus canobolensis,4,1.077118622,0.481753977,506.5333333,1050.066667,1826.833333,3.622811326,0.506666667,NA,NA,NA
ConobTop,-33.34422897,148.983068,Eucalyptus canobolensis,5,1.069433601,0.483482248,921.3333333,1896,3020.766667,3.25007322,0.566666667,NA,NA,NA
Cumberland,-33.614917,150.7243,Eucalyptus fibrosa,1,1.008750412,0.497938591,779.2333333,1563.766667,4596.5,5.90891549,0.328333333,-2.174989929,-1.80532984,15.40804076
Cumberland,-33.614917,150.7243,Eucalyptus fibrosa,2,1.119183025,0.473277518,662.1333333,1360.066667,3601.966667,5.841060007,0.313333333,-3.082874647,-2.450138413,34.53914228
Cumberland,-33.614917,150.7243,Eucalyptus fibrosa,3,0.966409776,0.509694679,702.7,1368.4,3159.3,4.583329494,0.351666667,-2.937640196,-2.303267686,16.03222298
Cumberland,-33.614917,150.7243,Eucalyptus fibrosa,4,0.903075232,0.527113874,792.0666667,1511.7,4019.433333,5.046579354,0.318333333,-2.905162562,-2.32750699,19.65383454
Cumberland,-33.614917,150.7243,Eucalyptus fibrosa,5,1.056174721,0.486980103,742.1666667,1527.066667,3782.133333,5.074253532,0.343333333,-3.207517662,-2.78850524,38.06422803
Cumberland,-33.614917,150.7243,Eucalyptus moluccana,1,1.244019787,0.445720171,541.7333333,1217.5,3831.733333,7.070042368,0.261666667,-1.797336152,-1.430002526,18.99759124
Cumberland,-33.614917,150.7243,Eucalyptus moluccana,2,1.097710386,0.477171933,612.2666667,1281.566667,3212.966667,5.344771774,0.355,-1.761620684,-1.387483055,12.31936637
Cumberland,-33.614917,150.7243,Eucalyptus moluccana,3,0.961035675,0.51126491,757.8333333,1481.333333,3338.733333,4.449570128,0.385,-2.142135874,-1.751616458,18.92140129
Cumberland,-33.614917,150.7243,Eucalyptus moluccana,4,1.203293039,0.453987632,474.0333333,1043.266667,2886.833333,6.11951741,0.301666667,-2.644354714,-2.34118836,18.79332496
Cumberland,-33.614917,150.7243,Eucalyptus moluccana,5,1.292424175,0.438923163,568.7,1273.033333,3142.2,5.729680832,0.351666667,-2.099896599,-1.584900253,12.33459712
Lawson,-33.70005903,150.447914,Angophora costata,1,0.917424112,0.521905676,428.5333333,830.9333333,2197,5.120046731,0.281666667,NA,NA,NA
Lawson,-33.70005903,150.447914,Angophora costata,2,0.84627771,0.542874482,364.9333333,669.7666667,2169.3,6.003711123,0.238333333,NA,NA,NA
Lawson,-33.70005903,150.447914,Angophora costata,3,0.892259418,0.52854778,444.1,840.1,2409.866667,5.426503922,0.281666667,NA,NA,NA
Lawson,-33.70005903,150.447914,Angophora costata,4,0.750759657,0.571226515,355.2666667,622.7,1816.966667,5.132120574,0.243333333,NA,NA,NA
Lawson,-33.70005903,150.447914,Angophora costata,5,0.939622637,0.517411785,388.1666667,755.4333333,2111.7,5.438439961,0.263333333,NA,NA,NA
Lawson,-33.70005903,150.447914,Eucalyptus racemosa,1,1.049980042,0.487838378,602.4666667,1234,2249.2,3.786018903,0.45,NA,NA,NA
Lawson,-33.70005903,150.447914,Eucalyptus racemosa,2,0.984305328,0.503978758,667.0333333,1323.733333,2620.333333,3.923139323,0.39,NA,NA,NA
Lawson,-33.70005903,150.447914,Eucalyptus racemosa,3,0.926280472,0.519272127,665.8,1285.466667,2843,4.236234924,0.37,NA,NA,NA
Lawson,-33.70005903,150.447914,Eucalyptus racemosa,4,0.844463897,0.542227323,605.3666667,1119.433333,2043.8,3.416823102,0.418333333,NA,NA,NA
Lawson,-33.70005903,150.447914,Eucalyptus racemosa,5,1.018788984,0.495362778,546.5666667,1102.7,2250.266667,4.131020304,0.381666667,NA,NA,NA
Cumberland,-33.614917,150.7243,Bursaria spinosa,1,NA,NA,NA,NA,NA,NA,NA,-1.225063347,-0.444941395,2.510438708
Cumberland,-33.614917,150.7243,Bursaria spinosa,2,NA,NA,NA,NA,NA,NA,NA,-2.362546155,-1.294258523,5.07722145
Cumberland,-33.614917,150.7243,Bursaria spinosa,3,NA,NA,NA,NA,NA,NA,NA,-2.140295817,-1.396945807,6.90022029
Cumberland,-33.614917,150.7243,Bursaria spinosa,4,NA,NA,NA,NA,NA,NA,NA,-1.829719434,-1.3433501,16.10322928
Cumberland,-33.614917,150.7243,Bursaria spinosa,5,NA,NA,NA,NA,NA,NA,NA,-2.939259182,-2.16637065,11.36297746
Cumberland,-33.614917,150.7243,Melaleuca decora,1,NA,NA,NA,NA,NA,NA,NA,-2.480351667,-2.256127674,10.52785101
Cumberland,-33.614917,150.7243,Melaleuca decora,2,NA,NA,NA,NA,NA,NA,NA,-1.308301456,-1.100148552,6.752156547
Cumberland,-33.614917,150.7243,Melaleuca decora,3,NA,NA,NA,NA,NA,NA,NA,-2.540885643,-2.293948072,12.72211796
Cumberland,-33.614917,150.7243,Melaleuca decora,4,NA,NA,NA,NA,NA,NA,NA,-2.717975316,-2.078392725,7.42041245
Cumberland,-33.614917,150.7243,Melaleuca decora,5,NA,NA,NA,NA,NA,NA,NA,-2.575086085,-2.105686867,9.88565909
Nangar1,-33.41792501,148.47878,Eucalyptus albens,1,0.846431742,0.565849045,563.3333333,1005.3,2171.666667,3.841994951,0.428333333,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus albens,2,0.934973177,0.548765606,450.7,877.2333333,2075.633333,4.59913306,0.355,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus albens,3,1.198781763,0.454971969,349.1666667,768.6666667,1770.9,5.066036601,0.336666667,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus albens,4,1.085155578,0.479987623,416.7666667,871.4,2038.2,4.884833867,0.306666667,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus albens,5,0.963003004,0.509477459,646.9,1267.933333,2408.733333,3.700935419,0.41,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus sideroxylon,1,1.065608625,0.484335079,188.3,387.6333333,1010.433333,5.40780136,0.28,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus sideroxylon,2,0.862806645,0.537100664,299.8,562.4666667,1255.7,4.198823864,0.326666667,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus sideroxylon,3,1.059382616,0.487117093,159.8333333,323.4,775.5,5.061750853,0.278333333,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus sideroxylon,4,0.931490568,0.517991816,440.3,846.4333333,2066.633333,4.76866186,0.325,NA,NA,NA
Nangar1,-33.41792501,148.47878,Eucalyptus sideroxylon,5,1.182240313,0.45827625,172.2666667,399.1,1014.466667,5.892289085,0.271666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Callitris glaucophylla,1,0.766542222,0.566235571,51.56666667,91.4,363.1666667,7.470402316,0.155,NA,NA,NA
Wilb1,-33.46173001,147.608493,Callitris glaucophylla,2,0.792834022,0.558810109,54.16666667,96.2,448.7666667,8.842147048,0.168333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Callitris glaucophylla,3,0.799501225,0.556599229,47.9,85.93333333,313.3,6.550532615,0.168333333,NA,NA,NA
