trait_name,lookup,value
flowering_month_end,September,sep
flowering_month_end,August,aug
flowering_month_end,July,jul
flowering_month_end,November,nov
flowering_month_end,October,oct
flowering_month_end,February,feb
flowering_month_end,June,jun
flowering_month_end,December,dec
flowering_month_end,January,jan
flowering_month_end,March,mar
flowering_month_end,May,may
flowering_month_end,April,apr
flowering_month_start,May,may
flowering_month_start,July,jul
flowering_month_start,March,mar
flowering_month_start,September,sep
flowering_month_start,November,nov
flowering_month_start,December,dec
flowering_month_start,June,jun
flowering_month_start,August,aug
flowering_month_start,April,apr
flowering_month_start,January,jan
flowering_month_start,February,feb
flowering_month_start,October,oct
leaf_phenology,EDP,E
leaf_phenology,EAP,E
leaf_phenology,EPB,E
leaf_phenology,EDPB,
leaf_phenology,EAPB,E
plant_growth_form,S,shrub
plant_growth_form,TS,shrub tree
plant_growth_form,SU,
plant_growth_form,T,tree
plant_growth_form,U,subshrub
plant_growth_form,TSC,
plant_growth_form,L,climber
