species_name,trait,units,value
Acacia atkinsiana,dispersal,,aril
Acacia craspedocarpa,dispersal,,aril
Acacia cracentis,dispersal,,aril
Acacia conjunctifolia,dispersal,,aril
Acacia campylophylla,dispersal,,aril
Acacia cambagei,dispersal,,aril
Acacia calyculata,dispersal,,aril
Acacia calcarata,dispersal,,aril
Acacia calcicola,dispersal,,aril
Acacia calamifolia,dispersal,,aril
Acacia calantha,dispersal,,aril
Acacia caesiella,dispersal,,aril
Acacia caerulescens,dispersal,,aril
Acacia bynoeana,dispersal,,aril
Acacia burkittii,dispersal,,aril
Acacia burbidgeae,dispersal,,aril
Acacia betchei,dispersal,,aril
Acacia baueri,dispersal,,aril
Acacia barakulensis,dispersal,,aril
Acacia auricoma,dispersal,,aril
Acacia cochlocarpa,dispersal,,aril
Acacia clydonophora,dispersal,,aril
Acacia cochlearis,dispersal,,aril
Acacia cognata,dispersal,,aril
Acacia aspera,dispersal,,aril
Acacia clelandii,dispersal,,aril
Acacia chamaeleon,dispersal,,aril
Acacia courtii,dispersal,,aril
Acacia continua,dispersal,,aril
Acacia consobrina,dispersal,,aril
Acacia consanguinea,dispersal,,aril
Acacia congesta,dispersal,,aril
Acacia complanata,dispersal,,aril
Acacia comans,dispersal,,aril
Acacia cataractae,dispersal,,aril
Acacia cassicula,dispersal,,aril
Acacia brachybotrya,dispersal,,aril
Acacia boormanii,dispersal,,aril
Acacia colei,dispersal,,aril
Acacia chapmanii,dispersal,,aril
Acacia ausfeldii,dispersal,,aril
Acacia binata,dispersal,,aril
Acacia conferta,dispersal,,aril
Acacia assimilis,dispersal,,aril
Acacia arrecta,dispersal,,aril
Acacia clunies-rossiae,dispersal,,aril
Acacia citrinoviridis,dispersal,,aril
Acacia arafurica,dispersal,,aril
Acacia aprica,dispersal,,aril
Acacia colletioides,dispersal,,aril
Acacia axillaris,dispersal,,aril
Acacia beckleri,dispersal,,aril
Acacia chartacea,dispersal,,aril
Acacia cowaniana,dispersal,,aril
Acacia buxifolia,dispersal,,aril
Acacia concolorans,dispersal,,aril
Acacia bivenosa,dispersal,,aril
Acacia binervata,dispersal,,aril
Acacia ascendens,dispersal,,aril
Acacia citriodora,dispersal,,aril
Acacia chrysotricha,dispersal,,aril
Acacia covenyi,dispersal,,aril
Acacia baeuerlenii,dispersal,,aril
Acacia celsa,dispersal,,aril
Acacia carens,dispersal,,aril
Acacia biflora,dispersal,,aril
Acacia bifaria,dispersal,,aril
Acacia brunioides,dispersal,,aril
Acacia costiniana,dispersal,,aril
Acacia blakelyi,dispersal,,aril
Acacia bidentata,dispersal,,aril
Acacia beauverdiana,dispersal,,aril
Acacia baxteri,dispersal,,aril
Acacia coriacea,dispersal,,aril
Acacia costata,dispersal,,aril
Acacia balsamea,dispersal,,aril
Acacia ayersiana,dispersal,,aril
Acacia awestoniana,dispersal,,aril
Acacia coolgardiensis,dispersal,,aril
Acacia auronitens,dispersal,,aril
Acacia caesariata,dispersal,,aril
Acacia celastrifolia,dispersal,,aril
Acacia aulacophylla,dispersal,,aril
Acacia botrydion,dispersal,,aril
Acacia confluens,dispersal,,aril
Acacia arcuatilis,dispersal,,aril
Acacia asepala,dispersal,,aril
Acacia ashbyae,dispersal,,aril
Acacia argutifolia,dispersal,,aril
Acacia argyraea,dispersal,,aril
