species,seed_mass
Abelmoschus ficulneus,21.6392
Abelmoschus moschatus,15.1672414
Abrophyllum ornans,0.052
Abutilon auritum,3.8208
Abutilon fraseri,1.12
Abutilon guineense,4.6028
Abutilon hannii,5.0112
Abutilon indicum,2.6536
Abutilon lepidum,2.0796
Abutilon leucopetalum,2.9234
Abutilon malvifolium,2.16
Abutilon otocarpum,2.24
Abutilon oxycarpum,1.24
Acacia acanthoclada,4.0484
Acacia acinacea,10.9
Acacia acradenia,7.6
Acacia acrionastes,20.4276
Acacia aculeatissima,11.1672
Acacia acuminata,34.01
Acacia acuminata,15.2
Acacia adoxa,7.3148
Acacia adsurgens,7.494
Acacia adunca,47.9
Acacia aestivalis,111.099
Acacia alata,19.6516
Acacia alata,11.2092
Acacia alata,7.3511
Acacia alcockii,18.1524
Acacia alpina,15.424
Acacia amblygona,10.004
Acacia ammobia,8
Acacia amoena,9.88
Acacia ampliceps,22.87
Acacia anceps,23.2308
Acacia ancistrocarpa,36.67
Acacia ancistrophylla,5.4152
Acacia aneura,16.45996
Acacia aneura,12.7
Acacia anfractuosa,3.7552
Acacia anthochaera,14.9732
Acacia aphylla,17.081
Acacia aprepta,5.8828
Acacia aprica,2.7687
Acacia argyrophylla,58.7632
Acacia arida,4.6892
Acacia ascendens,5.6156
Acacia asepala,4.6832
Acacia asparagoides,7.318
Acacia aspera,13.1
Acacia aspera,14.514
Acacia assimilis,2.871
Acacia assimilis,2.302
Acacia ataxiphylla,32.324
Acacia atkinsiana,10.2324
Acacia atopa,11.58
Acacia aulacocarpa,19
Acacia auratiflora,4.905
Acacia aureocrinita,28.4136
Acacia auriculiformis,20
Acacia ausfeldii,11.676
Acacia awestoniana,8.886
Acacia baeuerlenii,27.55
Acacia baileyana,21.8
Acacia bakeri,39.7932
Acacia bancroftiorum,58.914
Acacia barattensis,7.998
Acacia barrettiorum,4.457561
Acacia barringtonensis,11.812
Acacia baueri,13.5827027
Acacia beadleana,13.884
Acacia beauverdiana,2.8772
Acacia beckleri,17.8
Acacia beckleri,18.1468
Acacia betchei,32.314
Acacia binervata,18.2
Acacia binervia,10.248
Acacia bivenosa,17.547
Acacia blakei,6.5964
Acacia blakelyi,23.132
Acacia boormanii,13.26
Acacia botrydion,19.4704
Acacia brachybotrya,21.42
Acacia brachypoda,13.9116
Acacia brachystachya,23.2
Acacia brassii,7.8476
Acacia browniana,4.5972
Acacia brownii,7.6044
Acacia brumalis,16.1984
Acacia brunioides,10.342
Acacia bulgaensis,8.1992
Acacia burbidgeae,8.0684
Acacia burkittii,20.824
Acacia burrana,10.7628
Acacia burrowii,5.312
Acacia buxifolia,15.7
