original_term,fruit_type,fruit_dehiscence,fruit_fleshiness,dispersal_appendage
"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",NA,dehiscent,dry,fleshy_reward
Dry dehiscent or indehsicent without attractant or wing,NA,NA,dry,
"Fleshy (berry, pome, pepo, etc.)",NA,NA,fleshy,
"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",NA,NA,dry,wing_or_plume
Spore,spore,NA,NA,
"fleshy (berry, pome, pepo, etc.)",NA,NA,fleshy,
"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",NA,indehiscent,dry,wing_or_plume
