error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Kew_2019_1_12675,Metcalfe_2009,Acronychia vestita,McDonald's,NA,Metcalfe_2009_007,seed_mass,660,mg,NA,multisite_mean,unknown,Acronychia vestita
Duplicate of Kew_2019_1_05623,Metcalfe_2009,Adenanthera pavonina,McDonald's,NA,Metcalfe_2009_008,seed_mass,230,mg,NA,multisite_mean,unknown,Adenanthera pavonina
Duplicate of Grubb_1996_031,Metcalfe_2009,Aglaia sapindina,Weiss,NA,Metcalfe_2009_010,seed_mass,330,mg,NA,multisite_mean,unknown,Aglaia sapindina
Duplicate of Grubb_1996_057,Metcalfe_2009,Alpinia caerulea,McDonald's,NA,Metcalfe_2009_014,seed_mass,16,mg,NA,multisite_mean,unknown,Alpinia caerulea
Duplicate of Kew_2019_1_11357,Metcalfe_2009,Ardisia brevipedata,Weiss,NA,Metcalfe_2009_022,seed_mass,73,mg,NA,multisite_mean,unknown,Ardisia brevipedata
Duplicate of Kew_2019_1_07021,Metcalfe_2009,Brachychiton acerifolius,Henry's,NA,Metcalfe_2009_030,seed_mass,170,mg,NA,multisite_mean,unknown,Brachychiton acerifolius
Duplicate of Kew_2019_1_00676,Metcalfe_2009,Calamus australis,Zonta,NA,Metcalfe_2009_033,seed_mass,410,mg,NA,multisite_mean,unknown,Calamus australis
Duplicate of Kew_2019_1_04198,Metcalfe_2009,Callicarpa longifolia,Mackay's,NA,Metcalfe_2009_036,seed_mass,0.41,mg,NA,multisite_mean,unknown,Callicarpa longifolia
Duplicate of Kew_2019_1_00984,Metcalfe_2009,Canarium vitiense,Mackay's,NA,Metcalfe_2009_041,seed_mass,650,mg,NA,multisite_mean,unknown,Canarium vitiense
Duplicate of Kew_2019_1_01081,Metcalfe_2009,Cardiopteris moluccana,Siam,NA,Metcalfe_2009_043,seed_mass,11,mg,NA,multisite_mean,unknown,Cardiopteris moluccana
Duplicate of Grubb_1996_131,Metcalfe_2009,Castanospora alphandi,Siam,NA,Metcalfe_2009_048,seed_mass,2000,mg,NA,multisite_mean,unknown,Castanospora alphandii
Duplicate of Kew_2019_1_05809,Metcalfe_2009,Castanospermum australe,Henry's,NA,Metcalfe_2009_049,seed_mass,14000,mg,NA,multisite_mean,unknown,Castanospermum australe
Duplicate of Kew_2019_1_13625,Metcalfe_2009,Cayratia saponaria,Mackay's,NA,Metcalfe_2009_050,seed_mass,23,mg,NA,multisite_mean,unknown,Cayratia saponaria
