error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of NTH_2014_573,Metcalfe_2009,Syzygium hemilamprum,Mackay's,NA,Metcalfe_2009_006,plant_height,30,m,NA,multisite_max,NA,Acmena hemilampra ssp. hemilampra
Duplicate of Barlow_1981_0325,Metcalfe_2009,Arytera divaricata,Mackay's,NA,Metcalfe_2009_024,plant_height,30,m,NA,multisite_max,NA,Arytera divaricata
Duplicate of Barlow_1981_0475,Metcalfe_2009,Beilschmiedia obtusifolia,Harney's,NA,Metcalfe_2009_029,plant_height,35,m,NA,multisite_max,NA,Beilschmiedia obtusifolia
Duplicate of Brock_1993_040,Metcalfe_2009,Breynia cernua,Mackay's,NA,Metcalfe_2009_031,plant_height,5,m,NA,multisite_max,NA,Breynia cernua
Duplicate of Barlow_1981_0584,Metcalfe_2009,Cananga odorata,Zonta,NA,Metcalfe_2009_040,plant_height,30,m,NA,multisite_max,NA,Cananga odorata
Duplicate of Hughes_1992_172,Metcalfe_2009,Centella asiatica,McDonald's,NA,Metcalfe_2009_052,plant_height,0.1,m,NA,multisite_max,NA,Centella asiatica
Duplicate of GrassBase_2014_0226,Metcalfe_2009,Centotheca lappacea,Mackay's,NA,Metcalfe_2009_053,plant_height,1,m,NA,multisite_max,NA,Centotheca lappacea
Duplicate of Barlow_1981_0888,Metcalfe_2009,Cordyline cannifolia,McDonald's,NA,Metcalfe_2009_067,plant_height,2,m,NA,multisite_max,NA,Cordyline cannifolia
Duplicate of Barlow_1981_0926,Metcalfe_2009,Cryptocarya clarksoniana,Henry's,NA,Metcalfe_2009_074,plant_height,19,m,NA,multisite_max,NA,Cryptocarya clarksoniana
Duplicate of Barlow_1981_0942,Metcalfe_2009,Cryptocarya hypospodia,McDonald's,NA,Metcalfe_2009_075,plant_height,30,m,NA,multisite_max,NA,Cryptocarya hypospodia
Duplicate of Barlow_1981_0943,Metcalfe_2009,Cryptocarya laevigata,Mackay's,NA,Metcalfe_2009_076,plant_height,7,m,NA,multisite_max,NA,Cryptocarya laevigata
Duplicate of Barlow_1981_0947,Metcalfe_2009,Cryptocarya mackinnoniana,Siam,NA,Metcalfe_2009_077,plant_height,25,m,NA,multisite_max,NA,Cryptocarya mackinnoniana
Duplicate of Barlow_1981_0951,Metcalfe_2009,Cryptocarya murrayi,Mackay's,NA,Metcalfe_2009_078,plant_height,30,m,NA,multisite_max,NA,Cryptocarya murrayi
Duplicate of Barlow_1981_0967,Metcalfe_2009,Cryptocarya vulgaris,Mackay's,NA,Metcalfe_2009_080,plant_height,30,m,NA,multisite_max,NA,Cryptocarya vulgaris
Duplicate of Barlow_1981_1112,Metcalfe_2009,Darlingia darlingiana,Mackay's,NA,Metcalfe_2009_086,plant_height,30,m,NA,multisite_max,NA,Darlingia darlingiana
Duplicate of Barlow_1981_1208,Metcalfe_2009,Diploglottis diphyllostegia,Henry's,NA,Metcalfe_2009_095,plant_height,30,m,NA,multisite_max,NA,Diploglottis diphyllostegia
Duplicate of Barlow_1981_1475,Metcalfe_2009,Endiandra cowleyana,Harney's,NA,Metcalfe_2009_108,plant_height,30,m,NA,multisite_max,NA,Endiandra cowleyana
Duplicate of Barlow_1981_1485,Metcalfe_2009,Endiandra hypotephra,McDonald's,NA,Metcalfe_2009_109,plant_height,30,m,NA,multisite_max,NA,Endiandra hypotephra
Duplicate of Barlow_1981_1534,Metcalfe_2009,Eupomatia barbata,Mackay's,NA,Metcalfe_2009_113,plant_height,1,m,NA,multisite_max,NA,Eupomatia barbata
Duplicate of Barlow_1981_1567,Metcalfe_2009,Ficus hispida var. hispida,Zonta,NA,Metcalfe_2009_119,plant_height,13,m,NA,multisite_max,NA,Ficus hispida var. hispida
Duplicate of Barlow_1981_1568,Metcalfe_2009,Ficus leptoclada,Shane's,NA,Metcalfe_2009_120,plant_height,15,m,NA,multisite_max,NA,Ficus leptoclada
Duplicate of Barlow_1981_1598,Metcalfe_2009,Ficus racemosa,Weiss,NA,Metcalfe_2009_122,plant_height,35,m,NA,multisite_max,NA,Ficus racemosa var. racemosa
Duplicate of Barlow_1981_1601,Metcalfe_2009,Ficus septica,Henry's,NA,Metcalfe_2009_123,plant_height,15,m,NA,multisite_max,NA,Ficus septica
Duplicate of Barlow_1981_1640,Metcalfe_2009,Gomphandra australiana,McDonald's,NA,Metcalfe_2009_134,plant_height,20,m,NA,multisite_max,NA,Gomphandra australiana
Duplicate of Barlow_1981_2074,Metcalfe_2009,Grevillea hilliana,McDonald's,NA,Metcalfe_2009_137,plant_height,30,m,NA,multisite_max,NA,Grevillea hilliana
Duplicate of Barlow_1981_2397,Metcalfe_2009,Guioa acutifolia,Henry's,NA,Metcalfe_2009_138,plant_height,20,m,NA,multisite_max,NA,Guioa acutifolia
Duplicate of Barlow_1981_2656,Metcalfe_2009,Harpullia rhyticarpa,McDonald's,NA,Metcalfe_2009_140,plant_height,6,m,NA,multisite_max,NA,Harpullia rhyticarpa
Duplicate of Barlow_1981_2671,Metcalfe_2009,Helicia nortoniana,McDonald's,NA,Metcalfe_2009_142,plant_height,20,m,NA,multisite_max,NA,Helicia nortoniana
Duplicate of Barlow_1981_2698,Metcalfe_2009,Hornstedtia scottiana,McDonald's,NA,Metcalfe_2009_147,plant_height,4,m,NA,multisite_max,NA,Hornstedtia scottiana
Duplicate of Barlow_1981_2730,Metcalfe_2009,Ilex arnhemensis,Weiss,NA,Metcalfe_2009_155,plant_height,25,m,NA,multisite_max,NA,Ilex arnhemensis ssp. ferdinandi
Duplicate of Barlow_1981_2932,Metcalfe_2009,Litsea bindoniana,McDonald's,NA,Metcalfe_2009_162,plant_height,30,m,NA,multisite_max,NA,Litsea bindoniana
Duplicate of Barlow_1981_2938,Metcalfe_2009,Litsea leefeana,Mackay's,NA,Metcalfe_2009_163,plant_height,30,m,NA,multisite_max,NA,Litsea leefeana
Duplicate of WAH_1998_3995,Metcalfe_2009,Ludwigia octovalvis,McDonald's,NA,Metcalfe_2009_165,plant_height,4,m,NA,multisite_max,NA,Ludwigia octovalvis
Duplicate of Barlow_1981_3090,Metcalfe_2009,Mischocarpus exangulatus,Mackay's,NA,Metcalfe_2009_184,plant_height,15,m,NA,multisite_max,NA,Mischocarpus exangulatus
Duplicate of Barlow_1981_3092,Metcalfe_2009,Mischocarpus lachnocarpus,Siam,NA,Metcalfe_2009_185,plant_height,20,m,NA,multisite_max,NA,Mischocarpus lachnocarpus
Duplicate of Brock_1993_241,Metcalfe_2009,Morinda citrifolia,McDonald's,NA,Metcalfe_2009_186,plant_height,10,m,NA,multisite_max,NA,Morinda citrifolia
Duplicate of Barlow_1981_3128,Metcalfe_2009,Neolitsea dealbata,Zonta,NA,Metcalfe_2009_190,plant_height,15,m,NA,multisite_max,NA,Neolitsea dealbata
Duplicate of Barlow_1981_3201,Metcalfe_2009,Pararchidendron pruinosum var. pruinosum,Harney's,NA,Metcalfe_2009_197,plant_height,20,m,NA,multisite_max,NA,Pararchidendron pruinosum var. pruinosum
Duplicate of Barlow_1981_3591,Metcalfe_2009,Pipturus argenteus,Mackay's,NA,Metcalfe_2009_205,plant_height,10,m,NA,multisite_max,NA,Pipturus argenteus
Duplicate of Barlow_1981_3694,Metcalfe_2009,Rhus taitensis,Weiss,NA,Metcalfe_2009_232,plant_height,30,m,NA,multisite_max,NA,Rhus taitensis
Duplicate of Barlow_1981_3698,Metcalfe_2009,Rhysotoechia robertsonii,Mackay's,NA,Metcalfe_2009_234,plant_height,16,m,NA,multisite_max,NA,Rhysotoechia robertsonii
Duplicate of Barlow_1981_3726,Metcalfe_2009,Sarcopteryx martyana,Mackay's,NA,Metcalfe_2009_238,plant_height,20,m,NA,multisite_max,NA,Sarcopteryx martyana
Duplicate of Barlow_1981_3733,Metcalfe_2009,Sarcotoechia protracta,Zonta,NA,Metcalfe_2009_239,plant_height,13,m,NA,multisite_max,NA,Sarcotoechia protracta
Duplicate of Brock_1993_302,Metcalfe_2009,Syzygium angophoroides,Siam,NA,Metcalfe_2009_256,plant_height,30,m,NA,multisite_max,NA,Syzygium angophoroides
Duplicate of Brock_1993_115,Metcalfe_2009,Tabernaemontana pandacaqui,McDonald's,NA,Metcalfe_2009_262,plant_height,4,m,NA,multisite_max,NA,Tabernaemontana pandacaqui
Duplicate of Barlow_1981_4032,Metcalfe_2009,Tapeinochilos ananassae,McDonald's,NA,Metcalfe_2009_263,plant_height,4,m,NA,multisite_max,NA,Tapeinochilos ananassae
