Site Numbers,Site name,GPS Coordinate type,LAT_DECIMA,LONG_DECIM,Altitude,Country,Landscape,LAND_USE_INTENSITY,LAND USE,Habitat type,Distance to Forest,Soil series,soil type,Carbon,Nitrogen,Pavail,CaEC,MgEC,KEC,SumEC,Date sampled,Nspecies,Tallest Plant,RE ,no. stems >10 cm/0.1 ha,fragment size
1.1,Harney's,Decimal degrees (Datum GDA94),-18.016,145.9509,5,Australia,Tully-Murray,1,Natural,lightly-logged continuous rain forest,0,Timara,alluvium,5.14,0.3,80,3.67,2.35,1.54,7.56,5-Feb,39,24,7.3.10a,89,>100 ha
1.2,McDonald's,Decimal degrees (Datum GDA94),-18.00741,145.99097,10,Australia,Tully-Murray,1,Natural,lightly-logged riparian rain forest fragment,0,Tully,alluvium,3.98,0.37,22,7.4,3,0.55,10.98,5-May,100,37,7.3.10a,135,6 ha
2.1,Zonta,Decimal degrees (Datum GDA94),-18.02467,145.96619,5,Australia,Tully-Murray,1,Natural,lightly-logged continuous rain forest,0,Bulgun,organic,4.25,0.19,14,0.13,0.24,0.05,0.5,5-Feb,64,35,7.3.10c,188,>100 ha
2.2,Henry's,Decimal degrees (Datum GDA94),-18.02929,145.86262,25,Australia,Tully-Murray,1,Natural,lightly-logged rain forest fragment,0,Coom,alluvium,2.71,0.19,13,3.43,1.8,0.28,5.75,5-Sep,85,35,7.3.10c,108,90 ha
3.1,Mackay's,Decimal degrees (Datum GDA94),-17.9531,145.80872,15,Australia,Tully-Murray,2,Natural,disturbed riparian rain forest fragment,0,Innisfail,alluvium,4.06,0.3,47,9.6,3,0.43,13.12,6-Jul,125,40,7.3.17,53,11 ha
3.2,Shane's,Decimal degrees (Datum GDA94),-18.0165,145.96706,5,Australia,Tully-Murray,2,Natural,heavily disturbed rain forest fragment,0,Bulgun,organic,4.25,0.19,14,0.13,0.24,0.05,0.5,5-Feb,69,28,7.3.10a,187,2.5 ha
4.2,Siam,Decimal degrees (Datum GDA94),-17.97553,145.85248,15,Australia,Tully-Murray,3,Semi-natural,10 year old riparian revegetation,2500,Liverpool,alluvium,1.27,0.11,19,0.35,0.68,0.2,1.25,5-May,73,16,"reveg site, mixed planting.",61,<1 ha
5.2,Weiss,Decimal degrees (Datum GDA94),-18.00518,145.92534,10,Australia,Tully-Murray,3,Semi-natural,10 year old riparian revegetation,3125,Tully,alluvium,3.98,0.37,22,7.4,3,0.55,10.98,5-May,83,15,"reveg site, mixed planting.",141,<1 ha
