Date,Site,Position,Spp,Branchno,DryweightGroup,Date dryweight
24-Apr,F13N,Top,BoFol,1,0.013,30-Apr
24-Apr,F13N,Top,BoFol,2,0.013,30-Apr
24-Apr,F13N,Top,BoFol,3,0.011,30-Apr
24-Apr,F13N,Top,OlFro,1,0.094,30-Apr
24-Apr,F13N,Top,OlFro,2,0.069,30-Apr
24-Apr,F13N,Top,OlFro,3,0.069,30-Apr
24-Apr,F13N,Mid,BoFol,1,0.011,30-Apr
24-Apr,F13N,Mid,BoFol,2,0.014,30-Apr
24-Apr,F13N,Mid,BoFol,3,0.02,30-Apr
24-Apr,F13N,Mid,OlFro,3,0.111,30-Apr
24-Apr,F13N,Mid,OlFro,1,0.08,30-Apr
24-Apr,F13N,Mid,OlFro,2,0.162,30-Apr
24-Apr,F13N,Bottom,KuMue,1,0.008,30-Apr
24-Apr,F13N,Bottom,KuMue,2,0.015,30-Apr
24-Apr,F13N,Bottom,KuMue,3,0.013,30-Apr
24-Apr,F20,Mid,OlFro,1,0.11,30-Apr
24-Apr,F20,Mid,OlFro,2,0.101,30-Apr
24-Apr,F20,Mid,OlFro,3,0.078,30-Apr
24-Apr,F20S,Top,OlFro,1,0.085,30-Apr
24-Apr,F20S,Top,OlFro,2,0.135,30-Apr
24-Apr,F20S,Top,OlFro,3,0.214,30-Apr
24-Apr,F25N,Top,EpGun,1,0.019,30-Apr
24-Apr,F25N,Top,EpGun,2,0.018,30-Apr
24-Apr,F25N,Top,EpGun,3,0.01,30-Apr
24-Apr,F13S,Top,BoFol,1,0.015,30-Apr
24-Apr,F13S,Top,BoFol,2,0.01,30-Apr
24-Apr,F13S,Top,BoFol,3,0.013,30-Apr
24-Apr,F16S,Top,PoLaw,1,0.034,30-Apr
24-Apr,F16S,Top,PoLaw,2,0.034,30-Apr
24-Apr,F16S,Top,PoLaw,3,0.031,30-Apr
24-Apr,F16S,Mid,OlFla,1,0.141,30-Apr
24-Apr,F16S,Mid,OlFla,2,0.093,30-Apr
