family,taxa,spauth,infraspecauth,planttype,maxdsm,phopath,refdesc,refshort
ACANTHACEAE,Acanthus ebracteatus,Vahl,,hyhal,SW,C3,"Van Steenis, C.G.J. 1962. The distribution of mangrove plant genera and its significance for paleogeography. Koninkligke Nerderlandse Akademie van Wetenschappen, 65:164-169.","(Van Steenis, 1962)"
ACANTHACEAE,Acanthus ebracteatus,Vahl,,hyhal,SW,C3,"Well, A.G. 1983. Distribution of mangroves species in Australia. In: Biology and ecology of mangroves, vol. 8 Tasks for Vegetation Science. (Ed. by H.J Teas), pp. 57-76. W. Junk, The Hague.","(Well, 1983)"
ACANTHACEAE,Acanthus ilicifolius,L.,,hyhal,SW,C3,"Burkill, I.H. 1935. Dictionary of the economic products of the Malay Peninsula. London: Crown Agents for the Colonies.","(Burkill, 1935)"
ACANTHACEAE,Acanthus ilicifolius,L.,,hyhal,SW,C3,"Morton, J.F. 1976. Craft industries from coastal wetland vegetation. In: Esturine processes, vol. 1, pp. 254-266. New York Academic.","(Morton, 1976)"
ACANTHACEAE,Acanthus ilicifolius,L.,,hyhal,SW,C3,"Peng, L. and Xin-Men, W. 1983. Ecological note on mangroves of Fujian China. In: Biology and ecology of mangroves, vol. 8 Tasks for Vegetation Science. (Ed. by H.J. Teas), pp 31-36. W. Junk,The Hague.","(Peng & Xin-Men, 1983)"
ACANTHACEAE,Acanthus ilicifolius,L.,,hyhal,SW,C3,"Van Steenis, C.G.J. 1962. The distribution of mangrove plant genera and its significance for paleogeography. Koninkligke Nerderlandse Akademie van Wetenschappen, 65:164-169.","(Van Steenis, 1962)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Clough, B.F. 1984. Growth and salt balance of the mangroves Avicennia marina (Forsk.) Viehr. and Rhizophora stylosa Griff. in relation to salinity. Australian Journal of Plant Physiology. 11:419-430.","(Clough, 1984)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Clough, B.F., Boto, K.G. and Attiwell, P.M. 1983. Mangroves and sewage. In: Biology and Ecology of Mangroves (Ed. by H.J. Teas), pp. 151-161. W.Junk,The Hague.","(Clough et al., 1983)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Farquhar, G.D., Ball, M.C., Von Caemmerer, S. and Roksandic Z. 1982. Effect of salinity and humidity on d13C value of halophytes - evidence for diffusional isotope fractionation determined by the ratio of intercellular atmospheric partial pressure of CO2 ","(Farquhar et al., 1982)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Mepham, R.H. and Mepham, J.S. 1985. The flora of tidal forests - a rationalization of the use of the term ""mangrove"". South African Journal of Botany, 51(2):75-99.","(Mepham & Mepham, 1985)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Peng, L. and Xin-Men, W. 1983. Ecological note on mangroves of Fujian China. In: Biology and ecology of mangroves, vol. 8 Tasks for Vegetation Science. (Ed. by H.J. Teas), pp 31-36. W. Junk,The Hague.","(Peng & Xin-Men, 1983)"
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,hyhal,SW,C3,"Taylor, F.J. 1983. The New Zealand Mangrove Association. In: Teas, HJ, ed Biology and ecology of mangroves, Tasks for Vegetation Science, 8:77-79.","(Taylor, 1983)"
AIZOACEAE,Disphyma crassifolium,(L.) L.Bolus,,psamm,56,C3,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AIZOACEAE,Disphyma crassifolium,(L.) L.Bolus,,psamm,56,C3,"Bond, P. and Goldblatt, P. 1984. Plants of the Cape flora: A descriptive catalogue. Journal of South African Botany Supplement, 13:455.","(Bond & Goldblatt, 1984)"
AIZOACEAE,Disphyma crassifolium,(L.) L.Bolus,,psamm,56,C3,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis calcarea,Chinnock,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis calva,Chinnock,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis glabra,(Ewart) C.A.Gardner,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis intermedia,Diels,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis quadrifida,(F.Muell.) Pax,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis rodwayi,(Ewart) C.A.Gardner,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Gunniopsis septifraga,(F.Muell.) Chinnock,,hyhal,,,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
