species_name,flowering time,growth habit,longevity
Acrachne racemosa,NA,tufted,annual
Agrostis australiensis,NA,NA,NA
Agrostis bettyae,NA,NA,NA
Agrostis boormanii,NA,tufted,NA
Agrostis diemenica,NA,NA,perennial
Agrostis joyceae,NA,tufted,NA
Agrostis muelleriana,NA,tufted,NA
Agrostis parviflora,NA,tufted,NA
Agrostis propinqua,NA,tufted,NA
Agrostis thompsoniae,NA,tufted,NA
Agrostis venusta,NA,tufted,NA
Alexfloydia repens,NA,stoloniferous,NA
Alloteropsis cimicina,NA,NA,NA
Alloteropsis semialata,NA,rhizomatous,perennial
Amphibromus archeri,NA,tufted/rhizatomous,perennial
Amphibromus fluitans,NA,tufted/rhizatomous,perennial
Amphibromus macrorhinus,NA,tufted,perennial
Amphibromus neesii,NA,tufted,NA
Amphibromus nervosus,NA,tufted,NA
Amphibromus pithogastrus,NA,tufted,NA
Amphibromus recurvatus,summer,NA,NA
Amphibromus sinuatus,NA,stoloniferous,NA
Amphibromus vickeryae,NA,NA,perennial
Amphibromus whitei,NA,NA,perennial
Amphipogon amphipogonoides,NA,tufted,perennial
Amphipogon avenaceus,NA,tufted,perennial
Amphipogon caricinus,NA,tufted,perennial
Amphipogon caricinus var. caricinus,NA,tufted,perennial
Amphipogon caricinus var. scaber,NA,tufted,perennial
Amphipogon debilis,NA,tufted,perennial
Amphipogon laguroides,NA,tufted,perennial
Amphipogon laguroides subsp. havelii,NA,tufted,perennial
Amphipogon laguroides subsp. laguroides,NA,tufted,perennial
Amphipogon sericeus,NA,tufted,perennial
Amphipogon setaceus,NA,tufted,NA
Amphipogon strictus,NA,tufted,perennial
Amphipogon turbinatus,NA,tufted,perennial
Ancistrachne maidenii,summer-autumn,tufted,perennial
Ancistrachne uncinulata,NA,tufted,perennial
Anisopogon avenaceus,NA,NA,NA
Apluda mutica,NA,NA,perennial
Aristida acuta,NA,tufted,NA
Aristida annua,autumn,tufted,NA
Aristida anthoxanthoides,NA,tufted,NA
Aristida arida,NA,tufted,perennial
Aristida australis,NA,tufted,perennial
Aristida behriana,all year,tufted,NA
Aristida benthamii,NA,tufted,perennial
Aristida benthamii var. benthamii,NA,tufted,perennial
Aristida benthamii var. spinulifera,NA,tufted,perennial
Aristida biglandulosa,dec-oct,tufted,perennial
Aristida blakei,all year,tufted,perennial
Aristida burbidgeae,feb-aug,tufted,perennial
Aristida burraensis,jul,tufted,perennial
Aristida calycina,NA,tufted,perennial
Aristida calycina var. calycina,NA,tufted,NA
Aristida calycina var. filifolia,NA,tufted,NA
Aristida calycina var. praealta,NA,tufted,NA
Aristida capillifolia,all year,tufted,NA
