name_original,metadata_id,primary_source,raw_trait_value,trait,units
Derris sp. Daintree,10,9,2,dispersal mode,NA
Freycinetia excelsa,10,9,1?,dispersal mode,NA
Freycinetia scandens,10,9,1?,dispersal mode,NA
Gymnanthera oblonga,10,9,2,dispersal mode,NA
Hypserpa decumbens,10,9,1,dispersal mode,NA
Ipomoea aculeata,10,9,2,dispersal mode,NA
Jasminum didymum,10,9,1,dispersal mode,NA
Jasminum didymum subsp didymum,10,9,1,dispersal mode,NA
Jasminum didymum subsp lineare,10,9,1,dispersal mode,NA
Jasminum didymum subsp racemosum,10,9,1,dispersal mode,NA
Rhamnella vitiensis,10,9,1,dispersal mode,NA
Sarcostemma brunonianum,10,9,2,dispersal mode,NA
Sarcostemma viminale subsp. brunonianum,10,9,2,dispersal mode,NA
Sicyos australis,10,9,1,dispersal mode,NA
Abrus precatorius subsp. africanus,10,9,3,habit,NA
Alyxia spicata,10,9,1,habit,NA
Calamus australis,10,9,2,habit,NA
Calamus caryotoides,10,9,2,habit,NA
Carissa ovata,10,9,1,habit,NA
Cissus cardiophylla,10,9,1,habit,NA
Cissus hastata,10,9,1,habit,NA
Cissus opaca,10,9,3,habit,NA
Cissus repens,10,9,3,habit,NA
Colubrina asiatica,10,9,1,habit,NA
Colubrina asiatica var. asiatica,10,9,1,habit,NA
Connarus conchocarpus,10,9,1,habit,NA
Connarus conchocarpus subsp. conchocarpus,10,9,1,habit,NA
Cynanchum carnosum,10,9,3,habit,NA
Deeringia amaranthoides,10,9,1,habit,NA
Derris scandens,10,9,1,habit,NA
Gynochthodes sessilis,10,9,1,habit,NA
Hypserpa laurina,10,9,1,habit,NA
Jasminum dallachi,10,9,1,habit,NA
Jasminum elongatum,10,9,3,habit,NA
Jasminum volubile,10,9,3,habit,NA
Marsdenia flavescens,10,9,3,habit,NA
Marsdenia fraseri,10,9,3,habit,NA
Marsdenia liisae,10,9,1,habit,NA
Marsdenia longiloba,10,9,3,habit,NA
Melodinus australis,10,9,1,habit,NA
Melodorum uhrii,10,9,1,habit,NA
Neosepicaea jucunda,10,9,1,habit,NA
Pandorea pandorana subsp. pandorana,10,9,3,habit,NA
Parsonsia longipetiolata,10,9,1,habit,NA
Parsonsia rotata,10,9,1,habit,NA
Parsonsia sankowskyana,10,9,1,habit,NA
Parsonsia straminea,10,9,1,habit,NA
Parsonsia velutina,10,9,1,habit,NA
Pisonia aculeata,10,9,1,habit,NA
Salacia chinensis,10,9,1,habit,NA
Salacia disepala,10,9,1,habit,NA
Smilax blumei,10,9,2,habit,NA
Stictocardia tiliifolia,10,9,3,habit,NA
Thozetia racemosa,10,9,3,habit,NA
Tragia novae-hollandiae,10,9,3,habit,NA
Uvaria concava,10,9,1,habit,NA
Vandasina retusa,10,9,1,habit,NA
Cissus opaca,10,9,5,seed breadth,mm
Cissus opaca,10,9,6,seed length,mm
Cissus opaca,10,9,5,seed width,mm
Connarus conchocarpus,10,9,6,seed breadth,mm
Connarus conchocarpus,10,9,17,seed length,mm
Connarus conchocarpus,10,9,10.5,seed width,mm
Connarus conchocarpus subsp. conchocarpus,10,9,6,seed breadth,mm
Connarus conchocarpus subsp. conchocarpus,10,9,17,seed length,mm
Connarus conchocarpus subsp. conchocarpus,10,9,10.5,seed width,mm
