Family,Species,Habitats,Gill category,Primary juvenile period,Secondary juvenile period,Growth form,Site,not_in_Clarke_2015,seed_storage_location,resprouting_capacity,regen_strategy
Anacardiaceae,Euroschinus falcatus var. falcatus,"RF, WSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Apiaceae,Platysace ericiodes,DSF,V,NA,2,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Apiaceae,Platysace lanceolata,DSF,II,3,2,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Apiaceae,Xanthosia pilosa,DSF,V,NA,2,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Apocynaceae,Alyxia ruscifolia,"RF, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Apocynaceae,Marsdenia rostrata,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Apocynaceae,Tylophora paniculata,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Araliaceae,Astrotricha longifolia s.l.,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Araliaceae,Astrotricha roddii,RO,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Araliaceae,Cephalaralia cephalobotrys,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Araliaceae,Polyscias elegans,"RF, WSF",II,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Araliaceae,Polyscias murrayi,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Araliaceae,Polyscias sambucifolia subsp. A (sens. Fl. NSW),"GW, DSF, WSF",IV,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Asteraceae,Cassinia compacta,WSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Cassinia laevis,GW,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Cassinia lepschii,"DSF, RO",V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
