original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia spp,Acacia sp.,"Acacia sp. [Barrett_2009, Northwest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Acacia spp,Acacia sp.,"Acacia sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Atriplex spp,Atriplex sp.,"Atriplex sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Baumea spp,Baumea sp.,"Baumea sp. [Barrett_2009, Forest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Boronia sp..,Boronia sp.,"Boronia sp. [Barrett_2009, Albany Fraser Inland East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Borya sp..,Borya sp.,"Borya sp. [Barrett_2009, Albany Fraser Inland East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Borya spp,Borya sp.,"Borya sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Daviesia spp,Daviesia sp.,"Daviesia sp. [Barrett_2009, Nuytsland]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Eremophila spp,Eremophila sp.,"Eremophila sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Eucalyptus spp,Eucalyptus sp.,"Eucalyptus sp. [Barrett_2009, Esperance Sandplain West]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Eucalyptus spp,Eucalyptus sp.,"Eucalyptus sp. [Barrett_2009, Greenstone]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
