var_name,trait_name,unit
growth form,plant_growth_form,NA
height (cm),plant_height,cm
plant longevity,life_history,NA
leaf area (mm2),leaf_area,mm2
storage organ present,storage_organ_present,NA
diaspore weight (mg),diaspore_mass,mg
seed mass (mg),seed_mass,mg
