species,site,leaves_dry_mass_mg,leaves_N_mg_g-1,leaves_P_mg_g-1,leaves_K_mg_g-1,leaves_S_mg_g-1,leaves_Ca_mg_g-1,leaves_Mg_mg_g-1,leaves_Na_mg_g-1,leaves_Cl_mg_g-1,leaves_Fe_ug_g-1,leaves_Zn_ug_g-1,leaves_Mn_ug_g-1,leaves_Cu_ug_g-1,fruit_dry_mass_mg,fruit_N_mg_g-1,fruit_P_mg_g-1,fruit_K_mg_g-1,fruit_S_mg_g-1,fruit_Ca_mg_g-1,fruit_Mg_mg_g-1,fruit_Na_mg_g-1,fruit_Cl_mg_g-1,fruit_Fe_ug_g-1,fruit_Zn_ug_g-1,fruit_Mn_ug_g-1,fruit_Cu_ug_g-1,seed_dry_mass_mg,seed_N_mg_g-1,seed_P_mg_g-1,seed_K_mg_g-1,seed_S_mg_g-1,seed_Ca_mg_g-1,seed_Mg_mg_g-1,seed_Na_mg_g-1,seed_Cl_mg_g-1,seed_Fe_ug_g-1,seed_Zn_ug_g-1,seed_Mn_ug_g-1,seed_Cu_ug_g-1
Grevillea banksii,"Dalkeith, Perth",,,,,,,,,,,,,,114.2,4.8,0.1,9.7,1,2.5,1.1,4.5,4.9,194.5,7.7,32.3,4,45,28.8,7.7,6.9,1.7,4.7,3.1,2.5,2.8,59.1,50.8,156.6,29.2
Grevillea candelabroides,Irwin River Valley in Irwin system,385.6,8.9,0.9,8,1.4,29.6,1,0.4,,121.6,12.2,142.3,2.8,78.5,3,0.1,9.9,0.9,9,0.6,0.7,,37.1,2.1,40.5,2.3,23,30.5,14.8,11.5,0.9,13.5,3,0.1,,70,123.1,255.7,18.1
Grevillea eriostachya,N of Cataby Creek in Bassendean system,,8.2,0.3,2.8,0.9,6.6,0.6,0.8,4.1,553.3,8.6,10.9,1.5,235.2,9.9,0.1,18.4,1,1.8,2.1,1.5,3.6,481.6,18,9.1,6.2,51,39.4,13.4,15.6,2.1,2.9,7.5,1.5,0.9,77.7,103.4,27.7,57.2
Grevillea excelsior,Southern Cross in Boorabbin system,979.2,6.4,0.2,4,0.4,4.9,0.8,0.3,6.2,176.8,7.9,99,1.9,582.6,6.8,0.1,10.9,0.6,1.6,0.8,1.1,5.3,63.1,9.6,34,4,86,38.7,12.8,11.3,2.3,4.1,5.8,2.7,1.4,105.8,149.9,198.7,44.2
Grevillea hookeriana,Boorabbin in Boorabbin system,,,,,,,,,,,,,,132.2,7.4,0.1,14.2,0.6,2.2,1.3,2.8,,159.2,5.2,41.8,3.5,42.8,38.7,13.4,3.9,2,1.8,1.6,1.3,,35.9,29.8,50.3,16
Grevillea petrophiloides,Wongan Hills in Guangan system,,,,,,,,,,,,,,89.6,6.3,0.1,11.7,0.9,3.6,1,2.3,,2233.2,22.4,69.2,5.4,23.8,45.2,10.5,10.1,2.3,15.3,4.5,0.2,,152.6,147.5,252.7,29.3
Grevillea pinaster,Northampton in Northampton system,,,,,,,,,,,,,,753.1,2.3,0.1,6,1,2,0.6,0.9,3.8,52.4,5.1,14.2,3.1,78.6,30,12,13,2.9,16.1,5.1,0.2,0.4,48.7,132.4,202.3,35
Grevillea polybotrya,Eneabba in Tathra system,38.2,9.2,0.3,8.1,0.9,9.5,2.2,3.5,6.9,151.1,5.4,29.6,1.9,72.3,6.3,0.1,8.9,1.4,4.1,0.8,1.6,5.2,594,3.7,23,2.5,31.2,35.9,12.5,7.7,2.9,16.8,5.4,0.1,0.5,137.1,113,158.5,23.7
Grevillea tripartita,East Mt Barren (near Hopetoun) in Barren Ranges system,57.3,6.8,0.2,7.6,0.7,12,0.9,3.4,4.9,48.1,3.9,31.9,2.2,263.4,2.3,0.1,8.9,0.8,3.7,0.7,3.2,8.1,47.9,2.5,19.1,2.8,45,32.6,6.1,66.6,2.7,21.8,2.7,0.2,0.6,48.3,35.5,138.5,30.2
