WKT,Latitude,Longitude,name,Urbanisation_category,Description
POINT (150.8943022 -34.0163035),150.8943022,-34.0163035,423 Long Point,Cat 1,Long Point
POINT (150.9508037 -33.912727),150.9508037,-33.912727,738 South Park,Cat 1,South Park
POINT (150.9841944 -33.9127237),150.9841944,-33.9127237,888 Birdwood Reserve,Cat 2,Birdwood Reserve
POINT (150.9929853 -33.8946852),150.9929853,-33.8946852,940 Bass Hill (Kawabata reserve),Cat 1,Bass Hill (Kawabata reserve)
POINT (151.0071094 -33.9611958),151.0071094,-33.9611958,983 Victor avenue park,Cat 3,Victor avenue park
POINT (151.0204005 -33.9803634),151.0204005,-33.9803634,1078 Alfords Point (Casuarina rd oval),Cat 2,Alfords Point (Casuarina rd oval)
POINT (151.0482868 -33.9583443),151.0482868,-33.9583443,1175 Peakhurst,Cat 3,Peakhurst
POINT (151.0510113 -33.9350687),151.0510113,-33.9350687,1223 Punchbowl (George Cayley Reserve),Cat 2,Punchbowl (George Cayley Reserve)
POINT (151.0628934 -33.7553945),151.0628934,-33.7553945,1285 Beecroft (Chilworth Res),Cat 4,Beecroft (Chilworth Res)
POINT (151.0725635 -34.0845548),151.0725635,-34.0845548,1295 RNP 1 (Winifred Falls),Cat 1,RNP 1 (Winifred Falls)
POINT (151.0804163 -33.7812236),151.0804163,-33.7812236,1370 Edna Hunt Sanctuary,Cat 4,Edna Hunt Sanctuary
POINT (151.0955635 -33.8899222),151.0955635,-33.8899222,1405 Henley park,Cat 2,Henley park
POINT (151.1163705 -34.1386488),151.1163705,-34.1386488,1467 Wattamolla Falls,Cat 1,Wattamolla Falls
POINT (151.113428 -33.9689956),151.113428,-33.9689956,1485 Kempt Field (Allawah park),Cat 2,Kempt Field (Allawah park)
POINT (151.1196729 -33.9449572),151.1196729,-33.9449572,1487 Bardwell Valley Parklands,Cat 2,Bardwell Valley Parklands
POINT (151.1312475 -33.7408076),151.1312475,-33.7408076,1600 Sheldon Forest,Cat 4,Sheldon Forest
POINT (151.1585782 -33.7652055),151.1585782,-33.7652055,1695 Regimental park (Sidewalk),Cat 5,Regimental park (Sidewalk)
POINT (151.1623564 -33.8069556),151.1623564,-33.8069556,1738 Stringybark Creek (Batten reserve),Cat 5,Stringybark Creek (Batten reserve)
POINT (151.1660744 -33.7168245),151.1660744,-33.7168245,1747 St Ives (Kuringgai Creek Track),Cat 3,St Ives (Kuringgai Creek Track)
POINT (151.1831741 -33.8539909),151.1831741,-33.8539909,1816 Mort Bay Park,Cat 3,Mort Bay Park
POINT (151.1892744 -33.8129345),151.1892744,-33.8129345,1820 Artarmon park,Cat 5,Artarmon park
POINT (151.1919266 -33.836703),151.1919266,-33.836703,1861 Badangi Reserve,Cat 5,Badangi Reserve
POINT (151.1935267 -33.8277054),151.2161997,-33.8277054,1862 Newlands park,Cat 4,Newlands park
POINT (151.2161997 -33.8324714),151.2161997,-33.8324714,1926 Forsyth Park,Cat 5,Forsyth Park
POINT (151.2289522 -33.6613029),151.2289522,-33.6613029,2022 Ku-Ring-Gai Chase NP,Cat 1,Ku-Ring-Gai Chase NP
POINT (151.2303359 -33.8742751),151.2303359,-33.8742751,2048 Rushcutters bay park,Cat 5,Rushcutters bay park
POINT (151.249768 -33.8867757),151.249768,-33.8867757,2094 Cooper park,Cat 4,Cooper park
POINT (151.2500692 -33.8291936),151.2500692,-33.8291936,2100 Lawry Plunkett Reserve,Cat 3,Lawry Plunkett Reserve
POINT (151.2491589 -33.7910361),151.2491589,-33.7910361,2103 Burnt Bridge Creek,Cat 4,Burnt Bridge Creek
POINT (151.284541 -33.6592044),151.284541,-33.6592044,2263 Bayview,Cat 3,Bayview
