Site code,Full name,"State, Locality, LGA",latitude (deg),longitude (deg),altitude (m),slope angle (degrees),slope aspect (degrees)
NET1,Mathinna,"Tasmania, Mathinna Plains, Dorset LGA",-41.3333333,147.75,800,6,294
NWT1,Balfour,"Tasmania, Balfour Forest Reserve, Circular Head LGA",-41.15,144.9833333,190,7,183
SWT1,Anne,"Tasmania, Mt Anne, Derwent Valley LGA",-42.9166667,146.4333333,600,19,344
BAT1,Lumeah,"NSW, Lumeah Forest Road, Mid-Coast Council LGA",-32.1166667,151.4166667,930,12,251
NEG1,Cascades,"NSW, Point Lookout precinct, Armidale Regional Council LGA",-30.5,152.4166667,1300,11,158
