Genus,species,subspecies,Location,Latitude,Longitude,Collectors,Dates,Order,Family,Species if known,# morphospecies,Source,DOI,pollination treatment,umbel order,flowering season,germination assay,plant_growth_form,life_history,flower_structural_sex_type,inflorescence_type,flower_colour,flower_ovules_per_functional_carpel_count ({count}),plant_height (maximum) (cm),breeding_system,flowers_per_inflorescence (mean) ({count}),seed_count (raw) ({count}),seed_germination (mean) (%),seed_dry_mass (mean) (mg),flowering_time,fire_time_from_fire_to_flowering (mo),fire_time_from_fire_to_peak_flowering (mo),measurement_remarks
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Apidae,Apis mellifera,1,"Davila, Y. C., & Wardle, G. M. (2002). Reproductive ecology of the Australian herb Trachymene incisa subsp. incisa (Apiaceae). Australian Journal of Botany, 50(5), 619-626.",https://doi.org/10.1071/BT02001,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Colletidae,,1,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Formicidae,,2,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Halictidae,,1,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Sphecidae,,4,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Hymenoptera,Vespidae,,1,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Lepidoptera,Arctidae,,1,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Lepidoptera,Hesperiidae,,2,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Lepidoptera,Lycaenidae,,2,,,,,,,,,,,,,,,,,,,,,,
Trachymene,incisa,incisa,"Agnes Banks Nature Reserve, NSW",-33.633,150.683,"Yvonne Davila, Glenda Wardle",1999-02/1999-05,Lepidoptera,Oecophoridae,,1,,,,,,,,,,,,,,,,,,,,,,
