Family,taxon_name,scraped_name,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%),Location,aligned_name,suggested_name,aligned_reason,taxonomic_status
Acanthaceae,Graptophyllum reticulatum,Graptophyllum reticulatum,un,stree,3,NA,0,0,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Graptophyllum reticulatum,Graptophyllum reticulatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Acanthaceae,Graptophyllum spinigerum,Graptophyllum spinigerum,un,stree,3,4,0,0,5,3,0,0,"Southeast Queensland, humid subtropical rainforests",Graptophyllum spinigerum,Graptophyllum spinigerum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Acanthaceae,Harnieria hygrophiloides,Harnieria hygrophiloides,un,stree,6,2,0,0,0,17,29,30,"Southeast Queensland, northern dry rainforests",Harnieria hygrophiloides,Harnieria hygrophiloides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Agavaceae,Cordyline congesta,Cordyline congesta,ae,stree,4,NA,0,4,0,8,5,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Cordyline congesta,Cordyline congesta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Agavaceae,Cordyline murchisoniae,Cordyline murchisoniae,ae,stree,4,NA,0,4,0,8,0,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Cordyline murchisoniae,Cordyline murchisoniae,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Agavaceae,Cordyline petiolaris,Cordyline petiolaris,ae,stree,wide,NA,0,30,67,57,53,20,"Southeast Queensland, subtropical rainforests - widespread",Cordyline petiolaris,Cordyline petiolaris,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Agavaceae,Cordyline rubra,Cordyline rubra,ae,stree,wide,NA,100,61,71,67,41,15,"Southeast Queensland, subtropical rainforests - widespread",Cordyline rubra,Cordyline rubra,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Akaniaceae,Akania bidwillii,Akania bidwillii,eu,trees,2,8,0,52,19,3,0,0,"Southeast Queensland, cool humid subtropical rainforests",Akania bidwillii,Akania bidwillii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Alangiaceae,Alangium villosum subsp. polyosmoides,Alangium villosum subsp. polyosmoides,ae,trees,2,7,0,48,33,10,0,0,"Southeast Queensland, cool humid subtropical rainforests",Alangium villosum subsp. polyosmoides,Alangium villosum subsp. polyosmoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Alangiaceae,Alangium villosum subsp. tomentosum,Alangium villosum subsp. tomentosum,ae,trees,6,7,0,0,10,42,41,48,"Southeast Queensland, northern dry rainforests",Alangium villosum subsp. tomentosum,Alangium villosum subsp. tomentosum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
