site_ID,latitude,longitude,name_original,raw_trait_value ,trait ,units,primary_source_id,metadata_id
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia acinacea,1.567,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia alata,1.347,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia ampliceps,1.286,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia argyrophylla,1.613,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia aspera,1.877,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia beckleri,1.762,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia brachybotrya,1.706,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia caesiella,1.898,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia calamifolia,1.631,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia cupularis,1.204,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia dealbata,1.78,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia decurrens,1.721,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia difformis,2.126,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia elata,1.745,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia elongata,1.995,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia extensa,1.58,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia floribunda,1.957,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia genistifolia,1.928,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia hemiteles,1.539,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia howittii,1.687,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia imbricata,1.49,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia implexa,1.762,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia irrorata,1.612,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia iteaphylla,1.342,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia ixiophylla,1.706,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia jibberdingensis,1.272,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia kempeana,1.721,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia lasiocalyx,1.357,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia leiophylla,1.817,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia leptoneura,1.421,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia longissima,1.653,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia melanoxylon,1.55,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia merrallii,1.428,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia microcarpa,1.463,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia mucronata,1.992,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia pulchella,2.035,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia pycnantha,1.658,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia pyrifolia,1.254,genome size,picograms,4,4
Australian National Botanic Gardens_101,-35.26666667,149.1,Acacia retinodes,1.733,genome size,picograms,4,4
