Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (%),Leaf area (mm2)
Unknown orchid,91,87,6.386,16.3,Undefined,0.01,NA,64.22,571.95
Viola cleistogamoides,91,87,15.843,4.1,Undefined,NA,NA,28.56,52.916
Vittadinia cuneata,91,87,7.492,18.5,Wind,1.54,erect leafy,14.15,13.3
Wahlenbergia graniticola,91,87,11.829,NA,Mobile,0.012,erect leafy,24.12,36.78
Wahlenbergia stricta,91,87,29.447,NA,Mobile,0.01,erect leafy,12.29,34.159
Wurmbea dioica subsp. dioica,91,87,24.475,10.9,Undefined,NA,NA,17.93,114.679
Arthropodium sp.,91,87,18.517,8.3,Undefined,1.9,tussock,16.28,1761.597
Austrodanthonia sp.,91,87,2.59,38,Adhesion,0.19,tussock,53.36,412.55
Austrostipa sp.,91,87,2.945,53.6,Adhesion,4.2,tussock,53.32,625.33
Avena sp.,91,87,21.469,65,Wind,9,tussock,27.01,1838
Caladenia sp.,91,87,NA,NA,Wind,0.001,NA,NA,NA
Geranium sp.,91,87,11,NA,Undefined,0.89,erect leafy,29.41,110
Juncus sp.,91,87,9.83,NA,Mobile,0.02,tussock,24.9,612.5
Microseris sp.,91,87,8.198,NA,Wind,2.69,erect leafy,18.01,89.689
Oxalis sp.,91,87,NA,NA,Undefined,0.57,short basal,NA,NA
Poa sp.,91,87,4.49,48,Wind,0.71,tussock,7.05,42.19
Stellaria sp.,91,87,22.9,0.9,Unassisted,0.096,NA,18.38,11.45
Trifolium sp.,91,87,6.189,1.9,Undefined,1,NA,51.26,39.12
Vulpia sp.,91,87,20.342,42,Adhesion,20.622,tussock,31.63,38.582
