floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,29,Acanthaceae,,Harnieria,hygrophiloides,"Justicia hygrophiloides, Calophanoides hygrophiloides",herb,2,,February,December,capsule,April,December,,,,8,10,,,2,2,,,10,,2,rainforest/dry rainforest,,,,,,1,,1,,,,,,1,,,,,,,0,1050,1050,2,64,Windsor Tableland,16.21666667,145.0333333,8,150,"Brunswick Heads, NSW",28.51666667,153.55,,,,,12.3,12.3,0,16,16,28,28,12,12
,30,Acanthaceae,,Hemigraphis,alternata,Hermigraphis colorata,herb,prostrate,,September,December (April),,,,,,,,,,,,,,,10,Introduced,,rainforest/coastal,,,,,,,1,1,,1,,,,,,,,,,,0,240,240,1,50,Cooktown,15.46666667,145.25,3,80,Cairns,16.91666667,145.7666667,,India,,,1.5,1.5,0,15,15,16,16,1,1
,31,Acanthaceae,,Hemigraphis,royenii,,herb,prostrate,,June,December,capsule,October,October,,,,8,9,,,1,2,,,10,,3,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,80,80,1,30,Rocky River east of Coen & Cape Tribulation,13.78333333,143.7,2,30,Rocky River east of Coen & Cape Tribulation,16.07,143.7,,New Guinea,8,,2.3,8.1,5.8,13,13,13,13,0,5
,32,Acanthaceae,,Hypoestes,floribunda,,herb/shrub,1.2,,January,November,capsule,June,January,,,,9,13,,,1,2,,,10,,2.5,subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,1000,1000,1,2,Cape York,10.68333333,142.5166667,7,149,SE Qld,28,0,NT,,,,17.3,17.3,0,10,10,28,28,17,17
,33,Acanthaceae,,Hypoestes,phyllostachya,,herb/shrub,1,,November,November,capsule,January,June,,,,10,12,,,2,3,,,10,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,500,840,340,3,81,Davies Creek,17.01666667,145.6333333,3,107,Tully Falls,17.78333333,145.5666667,,Madagascar,,,0.8,0.8,0,17,17,17,17,0.5,0.5
,34,Acanthaceae,,Justicia,betonica,,shrub,2,,May,(August),capsule,August,August,,,,8,10,,,,,,,11,Introduced,,rainforest,,,,,,,,1,,,,,,,,1,,,,,0,50,50,1,54,Cedar Bay NP,15.8,145.3333333,3,112,Silkwood near Tully,17.73333333,146.0166667,,South Africa,,,1.9,1.9,0,15,15,17,17,1,1
,35,Acanthaceae,,Lepidagathis,royenii,,herb,0.3,,October,December,capsule,,,,,,4,5,,,,,,,11,,2,dry rainforest,,,,,,1,,,1,,,,,,,,,,,,40,40,0,1,31,Massy Creek near Rocky River,13.91666667,143.9333333,1,31,Massy Creek near Rocky River,13.91666667,143.9333333,,,,,0,0,0,13,13,13,13,0,0
,36,Acanthaceae,,Odontonema,tubaceforme,,shrub,2,,March,May,,,,,,,,,,,,,,,11,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,760,760,2,60,Cape Tribulation,16.06666667,145.4666667,7,149,SE Qld,28,0,,central America,,,11.9,11.9,0,16,16,28,28,11,11
,37,Acanthaceae,,Peristrophe,brassii,,herb/shrub,1,,June,August,capsule,June,August,,,,8,10,,,2,2,,,11,,2,rainforest,,,,,,,,1,,,,,,,,,1,,,,15,440,425,1,15,Temple Bay north of Bolt Head,12.3,143.1333333,1,28,McIlwraith Range,13.75,143.3333333,,,,,1.5,1.5,0,12,12,13,13,1,1
,38,Acanthaceae,,Pseuderanthemum,variabile,,herb/shrub,1,,November,May,capsule,November,May,,,,10,15,,,3,3,,,11,,2.5,warm temperate/subtropical/tropical rainforest,,,,,,,,1,,,,,,,1,,,,,,0,960,960,1,1,Torres Strait Islands,9.3,0,10,150,"Bega, NSW",36.66666667,149.9,NT,,,,27.4,27.4,0,9,9,36,36,27,27
