floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,756,Euphorbiaceae,,Bridelia,leichhardtii,"Bridelia faginea, Bridelia melanthesoides var. australiensis",tree,15,,October,July,berry,January,August,,,,3,7,3,7,5,5,94,,175,,4,subtropical/tropical/dry rainforest/coastal,,,,,,1,1,1,,1,,1,,1,,1,,,,,0,800,800,3,115,Forty Mile Scrub NP,18.08333333,144.8333333,8,149,"Sugarloaf Mountain, SE Qld",28.68333333,152.0666667,NT & WA,Malesia & Asia,-30,,10.6,58.7,48.1,9,9,36,36,27,27
,757,Euphorbiaceae,,Bridelia,tomentosa,"Bridelia phyllanthoides, Bridelia tomentosa var. eriantha",shrub,5,,February,June,berry,May,August,,,,4,7,3,6,3,5,,,175,,4,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,0,770,770,1,1,Torres Strait Islands,9.3,0,6,137,Proserpine area,20.4,148.5666667,NT & WA,"New Guinea, Malesia, SE Asia, Taiwan & India",-25,,11.1,45.4,34.3,9,-25,20,20,11,45
,758,Euphorbiaceae,,Choriceras,majus,,tree,20,,March,January,capsule,September,November (May),,,,8,10,8,10,,,,,175,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,700,700,2,58,Bloomfield River,15.91666667,145.35,2,66,Daintree River,16.28333333,145.45,,,,,0.4,0.4,0,15,15,16,16,0.5,0.5
,759,Euphorbiaceae,,Choriceras,tricorne,Dissiliaria tricornis,tree,10,,January,December,capsule,April,October,,,,4,10,5,11,5,5,,,176,,3,rainforest/dry rainforest/coastal,,,,,,1,1,1,1,1,,1,,,,1,,,1,,0,700,700,1,2,Cape York,10.68333333,142.5166667,4,118,Hinchinbrook Island,18.35,146.2333333,NT,New Guinea,8,,7.7,10.4,2.7,10,10,18,18,7,10
,760,Euphorbiaceae,,Claoxylon,angustifolium,,tree,3,,November,June,capsule,May,July,,,,4,5,6,6,,,,,176,,2,rainforest/coastal,,,,,,,1,1,,1,,,,,1,,,,,,0,1000,1000,2,66,Daintree NP,16.15,145.3666667,6,141,Eungella NP,21.03333333,148.6166667,,,,,4.9,4.9,0,16,16,21,21,4,4
77,,Euphorbiaceae,,Claoxylon,australe,,tree,9,0.3,October,November,capsule,January,March,Brown Cuckoo-Dove & King Parrot,brown_cuckoo-dove king_parrot,birds,6,6,6,6,,,"70, 72",139,,,2.5,warm temperate/subtropical/riverine/dry rainforest,,,1,1,1,1,,,,,,,,,,,,,,,,,,6,132,Bowen,20,148.2333333,10,150,"Eden, NSW",37.05,149.9,,,,,17.1,17.1,0,9,9,36,36,27,27
,761,Euphorbiaceae,,Claoxylon,hillii,,shrub,5,,September,October,capsule,October,February,,,,5,6,8,10,,,,,176,,2.5,dry rainforest/coastal,,,,,,1,1,,,1,,1,,,,,,,,,0,120,120,1,1,Torres Strait Islands,9.3,0,3,109,Mission Beach,17.93333333,146.0833333,NT & WA,,,,8.6,8.6,0,9,9,17,17,8,8
,762,Euphorbiaceae,,Claoxylon,tenerifolium (australe latifolia),"Mercurialis tenerifolia, Claoxylon australe var. latifolia",tree,20,,May,January,capsule,August,January,Brown Cuckoo-dove,brown_cuckoo-dove,birds,5,7,5,7,3,3,,139,176,,2.5,subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,1,1,,,,,,0,1100,1100,1,1,Torres Strait Islands,9.3,0,7,149,"Gympie, SE Qld",26.18333333,152.65,NT & WA,,,,16.9,16.9,0,9,9,36,36,27,27
,763,Euphorbiaceae,,Cleidion,spiciflorum,Cleidion javanicum auct.,tree,18,,July,January,capsule,September,April,,,,12,17,20,24,,,,,176,,4,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,720,720,1,22,Iron Range,12.76666667,143.3166667,6,143,Koumala near Sarina,21.6,149.2333333,,"New Guinea, Solomon Islands, Vanuatu, Malesia & Asia",-30,15,8.8,51.6,42.8,12,-30,21,21,8,51
,764,Euphorbiaceae,,Cleistanthus,apodus,,tree,12,,September,February,capsule,September,April,,,,7,10,8,12,,,,,177,,3,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,400,400,1,2,Cape York,10.68333333,142.5166667,4,119,Herbert River,18.53333333,146.3,,New Guinea,8,,7.9,10.5,2.7,10,10,18,18,7,10
78,765,Euphorbiaceae,,Cleistanthus,cunninghamii,Labidiera cunninghamii,tree,10,0.2,August,December,capsule,January,December,White-headed Pigeon & King Parrot,white-headed_pigeon king_parrot,birds,5,8,5,13,,,94,140,177,,2,tropical/dry/littoral rainforest,,,,,,1,,1,,1,,,,1,,,,,,,0,800,800,6,137,Mt Dryander near Proserpine,20.25,148.55,9,150,"Dungog, NSW",32.4,151.75,,,,,12.2,12.2,0,9,9,36,36,27,27
,766,Euphorbiaceae,,Cleistanthus,dallachyanus,,tree,12,,January,December,capsule,January,December,,,,5,10,5,9,,,,,177,,2,dry rainforest/coastal,,,,,,1,1,,1,1,,1,,1,,1,,,,,0,500,500,1,1,Torres Strait Islands,9.3,0,6,148,Berserker Range near Rockhampton,23.35,150.6,,,,,14.1,14.1,0,9,9,23,23,14,14
,767,Euphorbiaceae,,Cleistanthus,discolor,,tree,10,,August,January,capsule,December,January,,,,7,14,7,14,,,,,177,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,40,900,860,2,66,Daintree River,16.28333333,145.45,3,116,Walter Hill Range near Cardwell,17.83333333,145.9833333,,,,,1.6,1.6,0,16,16,17,17,1,1
,768,Euphorbiaceae,,Cleistanthus,hylandii,,tree,15,,September,December,capsule,September,February,,,,4,7,6,9,,,,,177,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,600,600,1,2,Cape York,10.68333333,142.5166667,1,43,McIvor River near Cooktown,15.15,145.2333333,,,,,4.5,4.5,0,10,10,15,15,4,4
,769,Euphorbiaceae,,Cleistanthus,myrianthus,,tree,12,,October,May,capsule,July,September,,,,7,9,9,14,,,,,177,,4,rainforest,,,,,,,,1,,,,,,,,,,,,,0,390,390,1,50,Rossville near Cooktown,15.75,145.2666667,2,66,Daintree,16.25,145.3166667,,"New Guinea, Malesia & Solomon Islands",-10,,0.5,26.3,25.8,15,-10,16,16,0.5,26
,770,Euphorbiaceae,,Cleistanthus,peninsularis,Cleistanthus semiopacus var. curvaminis,tree,16,,September,December,capsule,December,January,,,,3,7,5,10,,,,,178,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,1,,,,,,,0,300,300,1,1,Torres Strait Islands,9.3,0,1,40,Musgrave near Lakefield NP,14.78333333,143.5,,,,,5.5,5.5,0,9,9,14,14,5,5
,771,Euphorbiaceae,,Cleistanthus,semiopacus,,tree,20,,August,January,capsule,December,January,,,,4,7,4,8,,,,,178,,2,rainforest/coastal,,,,,,,1,1,,1,,,,,,,,,,,0,840,840,1,35,Bathurst Bay,14.23333333,144.3666667,5,126,Rollingstone north of Townsville,19.03333333,146.3833333,,,,,4.8,4.8,0,14,14,19,19,4,4
,772,Euphorbiaceae,,Cleistanthus,xerophilus,,tree,6,,June,December,capsule,September,May,,,,4,7,6,9,,,,,178,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,300,300,1,1,Torres Strait Islands,9.3,0,5,126,Townsville area,19.25,146.8166667,,,,,10,10,0,9,9,19,19,10,10
,773,Euphorbiaceae,,Codiaeum,membranaceum,,tree,6,,April,July (December),capsule,November,November,,,,8,8,8,8,5,5,,,178,,2,dry rainforest,,,,,,1,,,1,,,,,,,,,,,,0,240,240,1,1,Torres Strait Islands,9.3,0,1,50,Mt Webb near Cooktown,15.08333333,145.1333333,,,,,5.8,5.8,0,9,9,15,15,5,5
,774,Euphorbiaceae,,Codiaeum,variagatum,,shrub,5,,January,December,capsule,June,January,,,,5,9,5,10,5,5,,,178,,4,rainforest,,,,,,,,1,,,,,,,,,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,5,122,Seaview Range,18.86666667,145.9166667,,"New Guinea, Malesia & Melanesia",-10,,9.6,28.9,19.3,9,-10,18,18,9,28
79,775,Euphorbiaceae,,Croton,acronychioides,Croton affinis,tree,14,0.15,November,May,capsule,November,August,,,,7,11,6,10,6,7,72,141,179,,2,subtropical/tropical/dry rainforest,,,,1,,1,,1,,,,,,1,,,,,,,0,1000,1000,2,64,Windsor Tableland,16.21666667,145.0333333,8,150,"Richmond River, NSW",28.48333333,152.9666667,,,,,12.3,12.3,0,9,9,36,36,27,27
,776,Euphorbiaceae,,Croton,arnhemicus,,tree,15,,September,April,capsule,October,March,,,,6,12,5,12,5,6,,,179,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,1,,,,0,600,600,1,1,Torres Strait Islands,9.3,0,6,141,Lake Elphinstone west of Eungella,21.21666667,148.2166667,,,,,11.9,11.9,0,9,9,21,21,11,11
,777,Euphorbiaceae,,Croton,brachypus,,shrub,5,,February,December,capsule,June,July,,,,5,6,5,6,4,5,,,179,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,500,500,1,22,Iron Range,12.76666667,143.3166667,1,28,McIlwraith Range,13.75,143.3333333,,,,,1,1,0,12,12,13,13,1,1
,778,Euphorbiaceae,,Croton,capitis-yor,,tree,8,,November,June,capsule,May,June (October),,,,6,7,7,8,5,5,,,179,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,420,420,1,2,Cape York,10.68333333,142.5166667,1,50,Normanby River northwest of Cooktown,15.41666667,0,,,,,4.7,4.7,0,10,10,15,15,4,4
,779,Euphorbiaceae,,Croton,caudatus,,vine,,,November,January,capsule,January,April,,,,14,22,14,24,8,10,,,179,,4,dry rainforest/coastal,,,,,,1,1,,,1,,1,,,,,,,,,0,20,20,1,22,Portland Road near Iron Range,12.58333333,143.4,1,22,Portland Road near Iron Range,12.58333333,143.4,,"Christmas Island, Malesia & SE Asia",-10,,0,22.6,22.6,12,-10,12,12,0,22
,780,Euphorbiaceae,,Croton,choristadenius,"Croton philombros, Croton pusilliflorus, Croton semunculus",tree,10,,July,July,capsule,,,,,,4,5,5,6,3,3,,,179,,3,dry rainforest,,,,,,1,,,,,,1,,,,,,,,,160,160,0,1,25,Macrossan Range north of Rocky River,13.41666667,143.4166667,1,25,Macrossan Range east of Coen,13.41666667,143.4166667,,New Guinea,8,,0,5.4,5.4,13,13,13,13,0,5
,781,Euphorbiaceae,,Croton,densivestitus,,tree,6,,June,February,capsule,March,July,,,,4,7,6,8,5,5,,,180,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,820,820,3,80,Cairns,16.91666667,145.7666667,3,,North Johnstone River,17.5,0,,,,,0.6,0.6,0,16,16,17,17,0.5,0.5
,782,Euphorbiaceae,,Croton,dockrillii,,shrub,3,,April,January,capsule,July,July,,,,4,8,4,8,4,5,,,180,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,100,100,1,2,Cape York,10.68333333,142.5166667,1,30,Rocky River east of Coen,13.78333333,143.7,,,,,3.1,3.1,0,10,10,13,13,3,3
80,783,Euphorbiaceae,,Croton,insularis,,tree,25,0.25,January,December,capsule,January,December,,,,4,9,5,8,3,6,77,142,180,,5,warm temperate/subtropical/tropical/dry rainforest,,,1,1,,1,,1,,,,,,1,,,,,,,50,980,930,1,22,Iron Range,12.76666667,143.3166667,10,150,"Blue Mountians, NSW",33.65,150.2833333,,New Caledonia & Vanuatu,15,22,20.9,20.9,0,9,9,36,36,27,27
,784,Euphorbiaceae,,Croton,magneticus,,shrub,5,,December,February,capsule,January,March,,,,8,8,8,8,5,5,,,180,,2,dry rainforest,,,,,,1,,,,,,,,1,,,,,,,0,540,540,5,,Greenvale Station south of Mt Garnet,18.95,145.1166667,6,141,Mt Blackjack west of Eungella,21.2,0,,,,,2.3,2.3,0,18,18,21,21,2,2
,785,Euphorbiaceae,,Croton,multicaulis,"Croton sp. (Myall Creek), Croton sp. (Weipa)",shrub,1.5,,November,July,capsule,January,September,,,,5,8,7,8,4,5,,,180,,2,rainforest,,,,,,,,1,,,,,,,,,1,,,,0,1000,1000,1,1,Torres Strait Islands,9.3,0,6,,Porcupine Gorge NP near Hughenden,20.36666667,144.45,,,,,11.1,11.1,0,9,9,20,20,11,11
,786,Euphorbiaceae,,Croton,mutabilis,"Croton sp. (Possum Scrub), Croton storkii auct.",tree,6,,November,January,capsule,January,April,,,,4,5,6,8,3,4,,,180,,2,dry rainforest,,,,,,1,,,1,,,1,,1,,,,,,,0,75,75,1,14,Wenlock River,12.05,141.9166667,1,31,Massy Creek on Silver Plains,13.91666667,143.9333333,,,,,1.9,1.9,0,12,12,13,13,1,1
,787,Euphorbiaceae,,Croton,phebalioides,Croton maidenii,tree,8,,March,December,capsule,January,December,,,,6,9,6,10,4,6,88,,180,,2,warm temperate/subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,220,700,480,2,72,Mt Elephant near Mt Carbine,16.45,144.9333333,12,150,"Glenbawn, Hunter River, NSW",32.08333333,151,,,,,15.6,15.6,0,9,9,36,36,27,27
,788,Euphorbiaceae,,Croton,rarus,Croton sp. (Watson River),shrub,5,,December,February,capsule,,,,,,4,5,4,5,4,4,,,181,,2,dry rainforest,,,,,,1,,,1,,,1,,1,,,,,,,0,120,120,1,18,Weipa,12.61666667,141.8666667,1,48,Kowanyama,15.46666667,141.7333333,,,,,2.9,2.9,0,12,12,15,15,2,2
,789,Euphorbiaceae,,Croton,simulans,,shrub,5,,November,November,,,,,,,,,,,,,,,181,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,300,300,0,1,28,McIlwraith Range,13.75,143.3333333,1,28,McIlwraith Range,13.75,143.3333333,,,,,0,0,0,13,13,13,13,0,0
81,,Euphorbiaceae,,Croton,stigmatosus,Croton phebalioides,tree,15,0.25,April,December,capsule,December,December,,,,6,8,6,8,,,70,142,,,2.1,dry rainforest,,,,,,1,,,,,,,,,,,,,,,,,,7,149,"Imbil, SE Qld",26.45,152.6666667,9,150,"Hastings River, NSW",31.41666667,152.3666667,,,,,5,5,0,9,9,36,36,27,27
,790,Euphorbiaceae,,Croton,stockeri,Croton wassi-kussae auct.,shrub,4,,June,November,,,,,,,,,,,,,,,181,,2,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,0,200,200,1,29,Chester River,13.7,143.5333333,1,31,Massy Creek just south of Rocky River,13.91666667,143.9333333,,,,,0.2,0.2,0,13,13,13,13,0.5,0.5
,791,Euphorbiaceae,,Croton,triacros,,tree,8,,October,July,capsule,October,July,,,,4,7,5,8,3,5,,,181,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,1000,1000,1,22,Mt Carter near Iron Range,13.05,143.25,6,142,Scawfell Island near Mackay,20.86666667,149.6,,,,,7.8,7.8,0,13,13,20,20,7,7
82,,Euphorbiaceae,,Croton,verreauxii,,tree,20,0.2,November,January,capsule,April,September,,,,6,6,6,6,2,2,72,143,,,2.5,dry rainforest,1,,,,,1,,,,,,,,,,,,,,,,,,7,149,"Gympie, SE Qld",26.18333333,152.65,10,150,"Illawarra, NSW",34.33333333,150.8333333,,,,,8.2,8.2,0,9,9,36,36,27,27
,792,Euphorbiaceae,,Croton,waterhouseae,,shrub,4,,January,January,,,,,,,,,,,,,,,181,,2,dry rainforest,,,,,,1,,,,,,1,,,,,,,,,0,0,0,1,1,Gabba Island (Torres Strait),9.75,142.6333333,1,1,Gabba Island (Torres Strait),9.75,142.6333333,,,,,0,0,0,9,9,9,9,0,0
,793,Euphorbiaceae,,Dimorphocalyx,australiensis,Tritaxis australiensis,tree,15,,January,December,capsule,October,July,,,,5,11,8,11,5,5,,,181,,4,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,540,540,1,1,Torres Strait Islands,9.3,0,5.5,141,Eungella,21.1,148.4333333,,New Guinea & Malesia,-10,,11.8,31.1,19.3,9,-10,21,21,11,31
,794,Euphorbiaceae,,Dissiliaria,baloghioides,,tree,36,,January,June,capsule,February,December,,,,12,21,15,22,8,10,117,,181,,2,subtropical/tropical rainforest,,,,,,,,1,,,,,,,,,,,,,0,500,500,6,137,Mt Dryander near Proserpine,20.25,148.55,7,149,"Mt Tamborine, SE Qld",27.96666667,153.1833333,,,,,7.7,7.7,0,9,9,36,36,27,27
,795,Euphorbiaceae,,Dissiliaria,indistincta,,tree,25,,December,June,capsule,March,December,,,,12,17,13,18,5,9,,,181,,2,rainforest/dry rainforest/coastal,,,,,,1,1,1,,1,,,,1,,,,,,,40,500,460,5,126,Townsville,19.25,146.8166667,6,137,Mt Dryander near Proserpine,20.25,148.55,,,,,1,1,0,19,19,20,20,1,1
,796,Euphorbiaceae,,Dissiliaria,laxinervis,,tree,30,,January,(September),capsule,January,December,Eclectus Parrot,eclectus_parrot,birds,14,18,13,20,8,10,,,182,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,80,80,1,22,Iron Range,12.76666667,143.3166667,1,22,Iron Range,12.76666667,143.3166667,,,,,0,0,0,12,12,12,12,0,0
,,Euphorbiaceae,,Dissiliaria,muelleri,,tree,,,,,capsule,,,,,,8,8,8,8,,,102,,,,2.1,dry rainforest,,,,,,1,,,,,,,,,,,,,,,,,,7,149,"Mt Bauple, Qld",25.8,152.5666667,7,149,"Mt Bauple, Qld",25.8,152.5666667,,,,,0,0,0,,,,,,
,797,Euphorbiaceae,,Dissiliaria,surculosa,,tree,17,,November,November,capsule,February,July,,,,9,10,11,12,5,6,,,182,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,,,,,,,,0,600,600,1,29,Chester River,13.7,143.5333333,1,34,Cape Melville,14.16666667,144.5166667,,,,,0.5,0.5,0,13,13,14,14,0.5,0.5
,798,Euphorbiaceae,,Dissiliaria,tuckeri,Dissiliaria laxinervis auct.,tree,30,,December,December,capsule,April,November,,,,13,15,18,23,8,10,,,182,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,500,500,1,54,Cedar Bay NP,15.8,145.3333333,2,66,Daintree River,16.28333333,145.45,,,,,0.5,0.5,0,15,15,16,16,0.5,0.5
,799,Euphorbiaceae,,Drypetes,acuminata,Drypetes lasiogyna var australasica auct.,tree,20,,September,November,drupe,November,January,Golden Bowerbird,golden_bowerbird,birds,10,25,9,11,20,20,,,182,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,600,1130,530,2,66,Daintree NP,16.15,145.3666667,5,124,Paluma,19,146.2,,,,,2.9,2.9,0,16,16,19,19,2,2
83,800,Euphorbiaceae,,Drypetes,deplanchei,"Dryptes australasica, Hemicyclia austrolasica, Dryptes lasiogyna var. australasica, Drypetes deplanchei affinis, Drypetes affinis",tree,25,0.6,August,April,drupe,January,December,"Lewin's Honeyeater, Regent Bowerbird, Satin Bowerbird, Topknot Pigeon & Wompoo Fruit-dove",Lewins_honeyeater regent_bowerbird satin_bowerbird topknot_pigeon Wompoo_fruit-dove,birds,10,20,8,11,8,20,"75, 100",144,182,ORE187,5,subtropical/tropical/dry rainforest/coastal,,,,,,1,1,1,,1,,1,,1,,1,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,9,150,"Dungog, NSW",32.4,151.75,NT & WA,New Guinea & New Caledonia,8,22,23.1,24.4,1.3,9,9,36,36,27,27
,801,Euphorbiaceae,,Drypetes,iodoformis,Drypetes subcubica,tree,20,,November,February,drupe,July,August,,,,20,25,12,15,,,,,183,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,160,760,600,2,55,Mt Finnigan near Cooktown,15.81666667,145.2833333,3,105,Innisfail area,17.58333333,146.0833333,,,,,1.8,1.8,0,15,15,17,17,1,1
,802,Euphorbiaceae,,Drypetes,vernicosa,,shrub,4,,April,September,drupe,April,July (November - February),,,,10,15,10,12,,,,,183,,2,dry rainforest,,,,,,1,,,,,,,,1,,,,,,,0,400,400,1,8,Heathlands NP,11.61666667,142.5833333,1,43,McIvor River near Cooktown,15.15,145.2333333,,,,,3.5,3.5,0,11,11,15,15,3,3
,803,Euphorbiaceae,,Endospermum,mymecophilum,Endospermum medullosum auct.,tree,36,,August,January,drupe,July,January,,,,6,10,5,8,,,,,183,,3,rainforest,,,,,,,,1,,,,,,,,,,,,,0,300,300,1,1,Torres Strait Islands,9.3,0,3,109,Mission Beach,17.93333333,146.0833333,NT,New Guinea,8,,8.6,9.9,1.3,9,9,17,17,8,9
,804,Euphorbiaceae,,Euphorbia,cyathophora,Euphorbia heterophylla auct.,shrub,2,,January,November,capsule,September,June,,,,3,4,5,6,2,3,,,183,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,8,150,NSW,29.5,0,,America,,,20.2,20.2,0,9,9,29,29,20,20
,805,Euphorbiaceae,,Euphorbia,plumerioides,,tree,5,,July,September,capsule,September,September,,,,4,8,4,9,4,4,,,183,,4,dry rainforest/coastal,,,,,,1,1,,,1,,1,,1,,,,,,,0,200,200,1,1,Torres Strait Islands,9.3,0,6,137,Dingo Beach near Proserpine,20.08333333,148.5,WA,"New Guinea, Malesia & SE Asia",-10,,10.8,30.1,19.3,9,-10,20,20,10,30
,806,Euphorbiaceae,,Euphorbia,tannensis,"Euphorbia eremophila, Euphorbia deserticola",shrub,1.5,,February,July (October & November),capsule,February,November,,,,4,6,4,6,2,4,,,183,,2.5,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,400,700,300,3,86,Chillagoe area,17.15,144.5166667,8,150,NSW,29.5,0,NT & WA,,,,12.4,12.4,0,17,17,29,29,12,12
84,807,Euphorbiaceae,,Excoecaria,agallocha,,tree,20,0.3,November,March (June),capsule,January,July,,,,4,14,4,14,5,5,"72, 88",145,184,,4,littoral rainforest,,,,,,,1,,,1,1,,,,,,,,,,0,0,0,1,1,Torres Strait Islands,9.3,0,9,150,"Port Macquarie, NSW",31.41666667,152.9166667,NT & WA,"Norfolk Island, Melanesia, Malesia, Asia, India & Sri Lanka",-30,,22.1,61.4,39.3,9,9,36,36,27,27
85,808,Euphorbiaceae,,Excoecaria,dallachyana,Excoecaria agallocha var. dallachiana,tree,15,0.45,January,December,capsule,January,December,,,,6,10,7,10,4,5,72,146,184,,2,tropical/riverine/dry rainforest,,,,,1,1,,1,,,,,,1,,,,,,,60,600,540,5,126,Townsville,19.25,146.8166667,8,150,"Richmond River, NSW",28.48333333,152.9666667,,,,,9.2,9.2,0,9,9,36,36,27,27
,809,Euphorbiaceae,,Flueggea,leucopyrus,,shrub,5,,December,March,berry,December,August,Pale-headed Rosella,pale-headed_rosella,birds,4,7,6,8,2,3,,,184,,1,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,350,870,520,1,41,Lizard Island near Cooktown,14.66666667,145.45,7,149,"Mt Biggenden, SE Qld",25.53333333,151.9833333,,India & Sri Lanka,-20,,10.9,45.5,34.7,9,9,36,36,27,27
,810,Euphorbiaceae,,Flueggea,virosa,Securinega melanthesioides,shrub,5,,April,February,berry,November,June,Yellow-spotted Honeyeater & Helmeted Friarbird,yellow-spotted_honeyeater helmeted_friarbird,birds,2,7,3,8,2,3,,,184,,4,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,0,840,840,1,1,Torres Strait Islands,9.3,0,6,149,"Marlborough area, SE Qld",22.8,149.8833333,NT & WA,New Guinea & Indonesia,5,,13.5,17.8,4.3,9,9,22,22,13,17
86,,Euphorbiaceae,,Fontainea,australis,,tree,5,,December,January,drupe,July,July,,,,23,23,23,23,12,12,,146,,,2.1,subtropical rainforest,,,,1,,,,,,,,,,,,,,,,,,,,7,149,"around Limpinwood NR, NSW",28.3,153.3,7,150,"around Limpinwood NR, NSW",28.3,153.3,,,,,0,0,0,9,9,36,36,27,27
,,Euphorbiaceae,,Fontainea,fugax,,,,,,,drupe?,,,,,,,,,,,,,,,,2.1,subtropical rainforest,,,,,,,,,,,,,,,,,,,,,,,,7,149,Nour Nour,25.28,151.42,7,149,Binjour,25.47,151.38,,,,,0.2,0.2,0,,,,,,
87,,Euphorbiaceae,,Fontainea,oraria,,tree,7,0.1,November,January,drupe,March,April,,,,20,24,20,24,15,15,,147,,,2.1,littoral rainforest,,,,,,,,,,1,,,,,,,,,,,,,,8,150,"3km south of Lennox Head, NSW",28.83333333,153.6,8,150,"3km south of Lennox Head, NSW",28.83333333,153.6,,,,,0,0,0,9,9,36,36,27,27
,811,Euphorbiaceae,,Fontainea,picrosperma,,tree,25,,September,December,drupe,December,February,"Cassowary, Musky Rat-kangaroo & Giant White-tailed Rat",cassowary musky_rat-kangaroo giant_white-tailed_rat,birds mammals,24,35,16,31,20,26,,,184,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,680,1200,520,3,92,Lake Eacham,17.28333333,145.6333333,3,103,Ravenshoe,17.6,145.4833333,,,,,0.3,0.3,0,17,17,17,17,0.5,0.5
,,Euphorbiaceae,,Fontainea,venosa,"Fontainea pancheri, Fontainea (Bahrs Scrub)",tree,,,,,,,,,,,,,,,,,85,,,,2.1,dry rainforest,,,,,,1,,,,,,,,,,,,,,,,,,7,149,"Gympie, SE Qld",26.18333333,152.65,7,149,"Beenleigh, SE Qld",27.71666667,153.2,,,,,1.5,1.5,0,,,,,,
,,Euphorbiaceae,,Fontainea,rostrata,Fonainea (Deep Creek),tree,,,,,,,,,,,,,,,,,89,,,,2.1,dry rainforest,,,,,,1,,,,,,,,,,,,,,,,,,7,149,"Gympie, SE Qld",26.18333333,152.65,7,149,"Gympie, SE Qld",26.18333333,152.65,,,,,0,0,0,,,,,,
,,Euphorbiaceae,,Fontainea,australis,Fontainea (Tweed Valley),tree,,,,,,,,,,,,,,,,,85,,,,2.1,subtropical rainforest,,,,1,,,,,,,,,,,,,,,,,,,,8,150,"Tweed River, NSW",28.21666667,153.55,8,150,"Tintenbar, NSW",28.78333333,153.5166667,,,,,0.6,0.6,0,,,,,,
,,Euphorbiaceae,,Fontainea,oraria,,,,,,,,,,,,,,,,,,,,,,,2.1,littoral rainforest,,,,,,,,,,1,,,,,,,,,,,,,,,,"Lennox Head, NSW",28.81666667,153.5833333,,,"Lennox Head, NSW",28.81666667,153.5833333,,,,,0,0,0,,,,,,
