original_term,fruit_type,fruit_dehiscence,fruit_fleshiness,dispersal_appendage
capsule,,,,
berry,,,,
drupe,,,,
nut,,,,
follicle,,,,
nutlet,,,,
schizocarp,,,,
a pair of mericarps,mericarp,,,
capsule?,capsule,,,
multiple fruit,multiple_fruit,,,
cocci,follicle,,,
dry & winged,,,dry,wings
drupe?,drupe,,,
nut or achene,nut achene,indehiscent,dry,
cypsella,achene,,,
achene,,,,
dehiscent pod,legume,,,
indehiscent pod,legume_indehiscent,,,
pod,legume,,,
flat pod,legume,,,
samara,,,,
cone containing samaras,samara,,,
dry berry,berry,,dry,
woody capsule,capsule,,,
fleshy,NA,NA,fleshy,
disarticulating pod,legume,,,
nut-like,nut,,,
shizocarp,schizocarp,,,
samara or nut,nut samara,indehiscent,dry,
nut disguised as a drupe,nut,,,
many-seeded nut,NA,,,
fig,syconium,,,
multiple fruit or berry,multiple_fruit berry,,,
berry?,berry,,,
aggregated capsule,capsule multiple_fruit,,,
drupe-like,drupe,,,
woody follicle,follicle,,,
cluster of nuts or achenes,nut achene,indehiscent,dry,
aggregate fruit,multiple_fruit,,,
capsule or follicle,capsule follicle,dehiscent,dry,
thin-walled capsule,capsule,,,
samala or capsule?,capsule samara,,dry,
capsule or samara,capsule samara,,dry,
enclosed in aril,NA,NA,NA,aril
cluster of capsules,capsule,,,
nut (the seed-like object inside each fleshy sac),,indehiscent,fleshy,
seed-like nut,nut,,,
