Scientific Name,metadata_id,primary_source_id,longevity,Height (cm),Seed Dispersal,McIntyre L.F,Veg. Spread
Acacia acinacea s.l. ,87,83,perennial,150,Ant,Phanerophyte,No
Acacia aculeatissima,87,83,perennial,40,Ant,Chamaephyte,No
Acacia baileyana,87,83,perennial,500,Ant,Phanerophyte,No
Acacia dealbata,87,83,perennial,3000,Ant,Phanerophyte,No
Acacia gunnii,87,83,perennial,100,Ant,Phanerophyte,No
Acacia hakeoides,87,83,perennial,400,Ant,Phanerophyte ,No
Acacia iteaphylla,87,83,perennial,300,Ant,Phanerophyte,No
Acacia longifolia s.l.,87,83,perennial,1000,Ant,Phanerophyte,No
Acacia mearnsii,87,83,perennial,1200,Ant,Phanerophyte,No 
Acacia melanoxylon,87,83,perennial,3000,Ant,Phanerophyte ,No
Acacia myrtifolia,87,83,perennial,100,Ant,Phanerophyte,No
Acacia paradoxa,87,83,perennial,200,Ant,Phanerophyte,No
Acacia spinescens,87,83,perennial,100,Ant,Phanerophyte,No
Acacia verniciflua,87,83,perennial,600,Ant,Phanerophyte,No
Acacia verticillata,87,83,perennial,400,Ant,Phanerophyte,No
Acaena agnipila,87,83,perennial,50,Adhesion,Hemi Partial ,Yes
Acaena echinata,87,83,perennial,40,Adhesion,Hemi Partial ,No
Acaena novae-zelandiae,87,83,perennial,20,Adhesion,Chamaephyte,Yes
Acetosella vulgaris,87,83,perennial,50,Undefined ,Hemi Partial,Yes 
Acrotriche serrulata,87,83,perennial,30,Ingestion,Chamaephyte,No
Allocasuarina luehmannii,87,83,perennial,1500,Wind,Phanerophyte,Yes
Allocasuarina torulosa,87,83,perennial,1000,Wind,Phanerophyte,No 
Allocasuarina verticillata,87,83,perennial,1000,Wind,Phanerophyte,No
Amphibromus neesii,87,83,perennial,150,Undefined,Hemi Erect ,No
Amyema pendula ,87,83,perennial,2500,Ingestion,Phanerophyte,No
Angianthus preissianus,87,83,annual,8,Wind,Therophyte,No
Aphelia gracilis,87,83,annual,4,Undefined,Therophyte,No
Aphelia pumilio,87,83,annual,3,Undefined,Therophyte,No
Arthropodium milleflorum s.s.,87,83,perennial,100,Mobile ,Geophyte,No
Arthropodium minus,87,83,perennial,50,Undefined ,Geophyte,No
Arthropodium strictum s.l.,87,83,perennial,120,Undefined ,Geophyte,No
Asperula conferta,87,83,perennial,15,Undefined,Chamaephyte ,Yes
