species,survey,Site,"Latitude, Longitude",Month of Survey,Day,Time,Patch,Umbel phase,#umbel/patch,Date,collection_date,pollinator_raw,flower_visitor,trait_name,pollinator_counts
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,male,9,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,5
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,male,9,,2003-02,Ant,ant,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,male,9,,2003-02,Fly,fly,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,male,9,,2003-02,Mosquito,mosquito,pollination_vector_possible,3
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,female,3,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,female,3,,2003-02,Ant,ant,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,2,male,12,,2003-02,Ant,ant,pollination_vector_possible,5
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,3,male,10,,2003-02,Ant,ant,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,3,female,3,,2003-02,Ant,ant,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,5,male,7,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,4
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,5,male,7,,2003-02,Ant,ant,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,5,female,4,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,6,male,12,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,8
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,6,male,12,,2003-02,Fly,fly,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,6,female,1,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,1,male,9,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,2
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,1,female,3,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,7
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,1,female,3,,2003-02,Hoverfly,hoverfly,pollination_vector_possible,2
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,3,male,10,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,7
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,4,male,9,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,2
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,4,female,5,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,3
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,5,male,7,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,1
Trachymene incisa,2003,Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,5,female,4,,2003-02,"Native bee (Colletidae, Halictidae)",colletidae sweat_bee,pollination_vector_possible,2
