Species,Latitude,Longitude,Site 
Acacia linifolia,"33o 39' 40"" S","151o 11' 26"" S",Perimeter Track
Acacia myrtifolia,,,
Acacia suavolens,,,
Banksia ericifolia,,,
Banksia marginata,,,
Banksia oblongifolia,,,
Banksia spinulosa,,,
Boronia ledifolia,,,
Boronia pinnata,,,
Bossiaea heterophylla,,,
Conospermum longifolium,,,
Dillwynia retorta,,,
Dodonaea triquetra,,,
Gompholobium grandiflorum,,,
Grevillea buxifolia,,,
Grevillea sericea,,,
Hakea gibbosa,,,
Hakea sericea,,,
Hakea teretifolia,,,
Hibbertia bracteata,,,
Hovea linearifolia,,,
Isopogon anethifolius,,,
Lambertia formosa,,,
Lasiopetalum ferrugineum,,,
Leptospermum arachnoides,,,
Micrantheum ericoides,,,
Persoonia levis,,,
Persoonia pinnifolia,,,
Petrophile pulchella,,,
Phyllotta phyllicoides,,,
Pimelea linifolia,,,
Pultenaea elliptica,,,
Pultenaea linophylla,,,
Tetratheca ericifolia,,,
,,,
Acacia linifolia,"33o 40' 53"" S","151o 8' 50"" S",Murrua Track (Woodland)
Acacia myrtifolia,,,
Acacia suavolens,,,
Banksia ericifolia,,,
Banksia marginata,,,
Banksia oblongifolia,,,
Banksia spinulosa,,,
Boronia ledifolia,,,
Boronia pinnata,,,
Bossiaea heterophylla,,,
Conospermum longifolium,,,
Crowea saligna,,,
Dillwynia retorta,,,
Dodonaea triquetra,,,
Eriostemon australasium,,,
Gompholobium grandiflorum,,,
Grevillea buxifolia,,,
Grevillea sericea,,,
Hakea gibbosa,,,
Hakea sericea,,,
Hakea teretifolia,,,
Hibbertia bracteata,,,
Hovea linearifolia,,,
Isopogon anethifolius,,,
Lambertia formosa,,,
Lasiopetalum ferrugineum,,,
Micrantheum ericoides,,,
Persoonia levis,,,
Persoonia pinnifolia,,,
Petrophile pulchella,,,
Phyllotta phyllicoides,,,
Pimelea linifolia,,,
Pultenaea elliptica,,,
Pultenaea linophylla,,,
Tetratheca ericifolia,,,
Woollsia pungens,,,
,,,
Angophora hispida,"33o 41' 7"" S","151o 7' 51"" S",Chase Trail (Woodland)
Acacia linifolia,,,
Acacia myrtifolia,,,
Acacia suavolens,,,
Banksia ericifolia,,,
Banksia marginata,,,
Banksia oblongifolia,,,
Banksia spinulosa,,,
Boronia ledifolia,,,
Boronia pinnata,,,
Bossiaea heterophylla,,,
Bossiaea scolopendria,,,
Comesperma ericinum,,,
Conospermum longifolium,,,
Crowea saligna,,,
Dillwynia retorta,,,
Dodonaea triquetra,,,
Eriostemon australasium,,,
Gompholobium grandiflorum,,,
Grevillea buxifolia,,,
Grevillea sericea,,,
Hakea gibbosa,,,
Hakea sericea,,,
Hakea teretifolia,,,
Hibbertia bracteata,,,
Hovea linearifolia,,,
Isopogon anethifolius,,,
Lambertia formosa,,,
Lasiopetalum ferrugineum,,,
Leptospermum arachnoides,,,
Micrantheum ericoides,,,
Persoonia levis,,,
Persoonia pinnifolia,,,
Petrophile pulchella,,,
Phyllotta phyllicoides,,,
Pimelea linifolia,,,
Pultenaea elliptica,,,
Pultenaea linophylla,,,
Tetratheca ericifolia,,,
,,,
Angophora hispida,"33o 38' 25"" S","151o 10' 58"" S",Long Track
Bossiaea scolopendria,,,
Comesperma ericinum,,,
Conospermum ericifolium,,,
Crowea saligna,,,
Eriostemon australasium,,,
Epacris pulchella,,,
Hemigenia purpurea,,,
Kunzea capitata,,,
Leptospermum squarrosum,,,
Persoonia lanceolata,,,
Pultenaea stipularis,,,
Woollsia pungens,,,
,,,
Conospermum ericifolium,"33o 41' 45"" S","151o 6' 38"" S",Chase Trail (Heath)
Epacris pulchella,,,
Hemigenia purpurea,,,
Kunzea capitata,,,
Leptospermum squarrosum,,,
Persoonia lanceolata,,,
Woollsia pungens,,,
,,,
,,,
Angophora hispida,"33o 40' 58"" S","151o 8' 38"" S",Murrua Track (Heath)
Bossiaea scolopendria,,,
Comesperma ericinum,,,
Conospermum ericifolium,,,
Epacris pulchella,,,
Hemigenia purpurea,,,
Kunzea capitata,,,
Leptospermum arachnoides,,,
Persoonia lanceolata,,,
Pultenaea stipularis,,,
