Time,Plant ID,Sex,photo/mass,Mean photo,Mean cond,Mean trans,Tot Lf area(mm),Lf ar(mm)/st(mm),No. lvs,Tot Lf wt(g),Lf wt(g) for flw est,SLA(area/wt),Lf(g)/stm(g),#flws in situ,#lvs in situ,#flws/tot Lf wt(g),M flwr wt(g),flw wt(g) tot,flw(g)/lf(g),No. fruit,M frt wt(mg),frt(g)/lf(g),Repbio(g) tot,Repbio(g)/Lf(g),#frt/#flw,dist ck (m),dist dn (m),LAI plant,DIFN plant,LAI canopy,DIFN canopy,Height cm,Base canopy cm,Long diam cm,Short diam cm,Vol cm^3,% lf N,Lf N (g)/lf(g)(br),% flw N,Flw N(g)/lf(g)(br),% frt N,RA N(g)/lf(g)(br),Chla+b umol/m2,species_name,context
flowering,2,female,1.892271632,27.72666667,0.437,5.034666667,51796.88,152.3437647,48,3.535,2.577604167,14.65258274,1.921822333,156,35,60.52131744,0.003,0.468,0.181563952,88,8.955681818,0.30574904,0.9921,0.384892301,0.564102564,15,2,5.85,0.406,6.21,0.449,260,55,140,120,2704911.2,NA,NA,3.568,NA,2.048,NA,28.92151345,Gynatrix pulchella,female plant at flowering stage
flowering,4,female,NA,NA,NA,NA,42591.75,141.9725,56,2.209,1.775089286,19.28100951,0.743796087,49,45,27.60424526,0.0024,0.1176,0.066250189,0,NA,NA,0.1176,0.066250189,0,NA,NA,7.6,0.32,NA,NA,290,40,280,270,14844025.2,NA,NA,3.627,NA,NA,NA,56.25393989,Gynatrix pulchella,female plant at flowering stage
flowering,6,female,1.608850718,22.11333333,0.365733333,3.646,53590.98,141.0288947,104,3.899,3.261663462,13.74480123,0.959045628,399,87,122.3302173,0.0019,0.7581,0.232427413,7,4.585714286,0.009841604,0.7769,0.238191343,0.01754386,5.7,1.25,3.07,0.621,8.43,0.317,345,80,445,230,21302158,4.199,0.109829044,NA,0.227348059,1.5025,0.232565487,130.1564292,Gynatrix pulchella,female plant at flowering stage
flowering,8,female,1.895999534,23.63333333,0.4726,4.608666667,14021.7,23.3695,21,1.1249,2.035533333,12.46484132,0.90827614,164,38,80.56856516,0.00256,0.41984,0.206255527,83,7.273493976,0.296580749,0.81106,0.398450856,0.506097561,1.6,0,7.89,0.304,8.02,0.434,415,80,365,365,35052614.5,4.356,0.152747496,NA,0.045511345,2.062,0.116064381,158.0603799,Gynatrix pulchella,female plant at flowering stage
flowering,10,female,1.349161653,23.08,0.5884,5.672666667,26551.65,74.79338028,34,1.5521,2.05425,17.10691966,0.981782529,63,45,30.66812705,0.0017,0.1071,0.052135816,0,NA,NA,0.1071,0.052135816,0,8,0,6.25,0.397,9.42,0.334,215,60,90,85,931285.8,4.263,0.089591208,NA,0.040076784,NA,0.040076784,149.2757149,Gynatrix pulchella,female plant at flowering stage
flowering,12,female,1.861197846,26.2,0.4492,5.022666667,73896.98,153.9520417,79,5.2495,5.448848101,14.0769559,2.105527034,176,82,32.30040492,0.0026,0.4576,0.083981053,45,7.64,0.063095905,0.6844,0.125604529,0.255681818,0.7,1.2,6.77,0.375,6.05,0.472,300,80,215,190,7058373.2,3.46,0.09751664,3.18,0.117094016,1.528,0.180029529,149.7774768,Gynatrix pulchella,female plant at flowering stage
flowering,14,female,1.197691405,22.78666667,0.449466667,4.509333333,46431.71,42.99232407,30,2.4405,1.9524,19.02549068,2.054120024,106,24,54.29215325,0.00184,0.19504,0.099897562,2,5.1,0.005224339,0.20156,0.103237042,0.018867925,6,2,5.33,0.442,9.51,0.268,260,50,120,90,1781283,4.482,0.07964514,3.035,0.080549096,NA,0.082835271,142.8752468,Gynatrix pulchella,female plant at flowering stage
flowering,16,female,1.746616487,29.60666667,0.583866667,5.812666667,126839.96,264.24991669999997,106,7.4828,5.153249057,16.95086866,2.130819831,89,73,17.2706576,0.00162,0.14418,0.027978465,24,7.266666667,0.033842727,0.2797,0.054276437,0.269662921,0.7,1.4,4.75,0.483,10.26,0.213,270,60,140,100,2309070.6,3.77,0.17565561,NA,0.02009718,NA,0.037820827,125.210877,Gynatrix pulchella,female plant at flowering stage
flowering,18,female,1.350102881,25.12,0.425866667,5.562666667,93069.02,344.7000741,70,5.0021,3.215635714,18.60598948,1.257567377,88,45,27.36628394,0.0026,0.2288,0.071152338,34,6.388235294,0.067544964,0.3576,0.111206627,0.386363636,8.9,1.7,10.58,0.201,10.97,0.23,275,30,135,100,2597704.4,4.092,0.056199528,NA,0.08375355,NA,0.152745082,178.4868908,Gynatrix pulchella,female plant at flowering stage
flowering,20,female,2.075506519,25.84666667,0.357933333,4.528666667,146309.98,390.1599467,186,11.7488,7.453539785,12.45318501,1.636961489,239,118,32.06530144,0.00216,0.51624,0.069261051,114,10.7877193,0.16499543,1.4998,0.201219829,0.476987448,7.8,2.4,13.45,0.137,7.43,0.395,280,55,280,210,10390817.7,3.927,0.167651484,NA,0.05399147,NA,0.18493852,149.7577792,Gynatrix pulchella,female plant at flowering stage
flowering,22,female,NA,NA,NA,NA,99080.07,396.32028,77,4.7163,NA,21.0080084,1.563448916,NA,52,NA,0.0013,NA,NA,9,5.6,NA,NA,NA,NA,NA,NA,13.89,0.121,NA,NA,175,50,225,90,1988039.1,3.814,0.142902952,NA,0.056973024,NA,0.063268926,NA,Gynatrix pulchella,female plant at flowering stage
flowering,24,female,1.461905202,23.23333333,0.388733333,4.068,57980.62,163.3256901,40,3.6483,NA,15.89250336,2.884031621,NA,33,NA,0.00268,NA,NA,33,11.26969697,NA,NA,NA,NA,4.6,1.6,8.9,0.27,10.84,0.27,390,80,200,195,9495463.7,3.886,0.15522627,NA,0.052449971,NA,0.095219019,NA,Gynatrix pulchella,female plant at flowering stage
flowering,26,female,NA,NA,NA,NA,64385.9,83.07858065,41,5.1317,NA,12.54669992,2.733407905,NA,34,NA,0.00204,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,13.29,0.133,NA,NA,225,75,170,90,1802488.7,NA,NA,NA,NA,NA,NA,NA,Gynatrix pulchella,female plant at flowering stage
