name_original ,growth form,Dispersal mechanism
Abutilon otocarpum,Forb,Wind
Acacia colletioides,Shrub,Ants
Acacia doratoxylon,Shrub,Ants
Acacia excelsa,Shrub,Ants
Acacia oswaldii,Shrub,Ants
Alectryon oleifolius,Tree,Ants
Alternanthera sp.,Forb,Wind
Apophyllum anomalum,Tree,Fleshy-fruited
Aristida behriana,Grass,Vertebrates
Aristida contorta,Grass,Vertebrates
Aristida jerichoensis,Grass,Vertebrates
Aristida ramosa,Grass,Vertebrates
Aristida vagans,Grass,Vertebrates
Asparagus asparagoides,Forb,Unassisted
Asperula conferta,Forb,Unassisted
Atriplex leptocarpa,Forb,Wind
Atriplex semibaccata,Forb,Wind
Atriplex spinibracrea,Forb,Wind
Atriplex stipitata,Forb,Wind
Austrodanthonia caespitosa,Grass,Wind
Austrostipa nodosa,Grass,Vertebrates
Austrostipa scabra,Grass,Vertebrates
Austrostipa verticillata,Grass,Vertebrates
Axonopus fissifolius,Grass,Wind
Boerhavia dominii,Forb,Vertebrates
Brachyscome heterodonta,Forb,Wind
Brunoniella australis,Forb,Unassisted
Bulbinopsis bulbosa,Forb,Unassisted
Bursaria spinosa subsp. microphylla,Shrub,Unassisted
Callitris glaucophylla,Tree,Wind
Calotis cuneifolia,Forb,Vertebrates
Calotis lappulacea,Forb,Vertebrates
Carex inversa,Forb,Unassisted
Casuarina cristata,Tree,Wind
Casuarina torulosa,Tree,Wind
Cenchrus ciliaris,Grass,Wind
Chamaesyce drummondii,Forb,Unassisted
Cheilanthes distans,Forb,Unassisted
Cheilanthes sieberi,Forb,Unassisted
Chenopodium curvispicatum,Forb,Unassisted
Chenopodium desertorum,Forb,Unassisted
Chloris truncata,Grass,Unassisted
Chloris ventricosa,Grass,Wind
Chorizema parviflora,Forb,Ants
Commelina cyanea,Forb,Unassisted
Convolvulus erubescens,Forb,Unassisted
Cymbopogon refractus,Grass,Wind
Cynodon dactylon,Grass,Unassisted
Cyperus gracilis,Forb,Unassisted
Daviesia genistifolia,Sub-shrub,Ants
Daviesia ulicifolia,Sub-shrub,Ants
Desmodium varians,Forb,Unassisted
Dichanthium sericeum,Grass,Wind
Dichelachne micrantha,Grass,Wind
Dichondra repens,Forb,Unassisted
Digitaria brownii,Grass,Wind
Digitaria coenicola,Grass,Wind
Digitaria hystrichoides,Grass,Wind
Dillwynia sieberi,Shrub,Ants
Dodonaea viscosa subsp. angustissima,Shrub,Ants
Dysphania glomulifera,Forb,Unassisted
Echinopogon ovatus,Grass,Wind
Einadia hastata,Forb,Fleshy-fruited
Einadia nutans,Forb,Fleshy-fruited
Elymus scaber,Grass,Wind
Enchylaena tomentosa,Shrub,Fleshy-fruited
Enteropogon acicularis,Grass,Wind
Eragrostis brownii,Grass,Unassisted
Eragrostis curvula,Grass,Unassisted
Eragrostis dielsii,Grass,Unassisted
Eragrostis eriopoda,Grass,Unassisted
Eragrostis parviflora,Grass,Unassisted
Eremocitrus glauca,Shrub,Fleshy-fruited
Eremophila debilis,Shrub,Fleshy-fruited
Eremophila longifolia,Shrub,Fleshy-fruited
Eremophila mitchellii,Shrub,Wind
Eremophila sturtii,Shrub,Wind
Exocarpos aphyllus,Shrub,Fleshy-fruited
Fimbristylis dichotoma,Forb,Fleshy-fruited
Geijera parviflora,Tree,Fleshy-fruited
Glycine canescens,Forb,Unassisted
Glycine tabacina species complex,Forb,Unassisted
Gnaphalium involucrum,Forb,Wind
Gnaphalium spicatum,Forb,Wind
Goodenia cycloptera,Forb,Wind
Goodenia willisiana,Forb,Wind
Hypericum japonicum,Forb,Wind
Hypochaeris radicata,Forb,Wind
Jasminum lineare,Forb,Wind
Juncus cognatus,Forb,Unassisted
Laxmannia gracilis,Forb,Unassisted
Leucopogon juniperus,Shrub,Unassisted
Lomandra filiformis subsp. filiformis,Forb,Unassisted
Lomandra multiflora subsp. multiflora,Forb,Unassisted
Lotus australis,Forb,Unassisted
Lycium ferocissimum,Shrub,Fleshy-fruited
Maireana appressa,Forb,Wind
Maireana brevifolia,Sub-shrub,Wind
Maireana enchylaenoides,Forb,Wind
Maireana georgei,Sub-shrub,Wind
Maireana humillima,Forb,Wind
Maireana lanosa,Forb,Wind
Maireana lobiflora,Forb,Wind
Maireana microphylla,Sub-shrub,Wind
Maireana pentatropis,Forb,Wind
Maireana sclerolaenoides,Forb,Unassisted
Maireana triptera,Forb,Wind
Maireana turbinata,Forb,Wind
Marrubium vulgare,Forb,Wind
Marsdenia australis,Forb,Fleshy-fruited
Minuria leptophylla,Forb,Wind
Monachather paradoxa,Grass,Wind
Olearia muelleri,Sub-shrub,Wind
Olearia pimeleoides,Sub-shrub,Wind
Opercularia diphylla,Forb,Vertebrates
Oxalis pes-caprae,Forb,Unassisted
Panicum decompositum,Grass,Wind
Panicum simile,Grass,Wind
Panicum subxerophilum,Grass,Wind
Paspalidium albovillosum,Grass,Wind
Paspalidium constrictum,Grass,Wind
Paspalidium distans,Grass,Wind
Paspalidium gracile,Grass,Wind
Paspalum dilatatum,Grass,Wind
Persoonia tenuifolia,Shrub,Wind
Pimelea microcephala subsp. microcephala,Sub-shrub,Fleshy-fruited
Pittosporum phylliraeoides,Shrub,Fleshy-fruited
Plantago gaudichaudii,Forb,Unassisted
Plantago varia,Forb,Unassisted
Polygala japonica,Forb,Wind
Polymeria calycina,Forb,Unassisted
Ptilotus obovatus var. obovatus,Forb,Unassisted
Rhagodia spinescens,Sub-shrub,Fleshy-fruited
Richardia stellaris,Forb,Unassisted
Rostellularia adscendens,Forb,Unassisted
Scaevola humilis,Sub-shrub,Wind
Sclerolaena bicornis ,Forb,Ants
Sclerolaena birchii,Forb,Vertebrates
Sclerolaena diacantha,Forb,Ants
Sclerolaena muricata,Forb,Vertebrates
Sclerolaena obliquicuspis,Forb,Vertebrates
Senecio madagascariensis,Forb,Wind
Senna artemisioides nothosubsp. coriacea,Shrub,Ants
Senna artemisioides subsp. filifolia,Shrub,Ants
Senna artemisioides subsp. petiolaris,Shrub,Ants
Setaria gracilis,Grass,Wind
Sida corrugata,Forb,Unassisted
Sida cryphiopetala,Forb,Wind
Sida cunninghamii,Forb,Wind
Sida rhombifolia,Forb,Wind
Solanum esuriale,Forb,Fleshy-fruited
Solanum ferocissimum,Forb,Fleshy-fruited
Solanum nigrum,Forb,Fleshy-fruited
Solanum prinophyllum,Forb,Fleshy-fruited
Solenogyne bellioides,Forb,Wind
Stackhousia sp. ,Forb,Unassisted
Stipa elegantissima,Grass,Vertebrates
Templetonia aculeata,Shrub,Ants
Teucrium racemosum,Forb,Wind
Themeda australis,Grass,Wind
Thyridolepis mitchelliana,Grass,Wind
Tricoryne elatior,Forb,Unassisted
Tripogon loliiformis,Grass,Vertebrates
Vernonia cinerea var. cinerea,Forb,Unassisted
Veronica plebeia,Forb,Unassisted
Vittadinia cuneata,Forb,Wind
Zygophyllum eremaeum,Forb,Unassisted
