trait_name,lookup,value
flowering_time,feb-april,feb-apr
flowering_time,jan/june,jan/jun
flowering_time,jan-july,jan-jul
flowering_time,july,jul
flowering_time,june,jun
flowering_time,may-july,may-jul
flowering_time,october,oct
flowering_time,sep-jen,sep-jun
life_history,annual || perennial,annual/perennial
life_history,perennial/annual,annual/perennial
photosynthetic_pathway,c3,c3
photosynthetic_pathway,c4,c4
photosynthetic_pathway,?c4,
