"var_name","character","unit"
"flowering time",flowering_time,""
"growth habit",growth_habit,""
"longevity",life_history,""
"maximum height",plant_height_max,"m"
"maximum leaf length",leaf_length_max,"mm"
"maximum leaf width",leaf_width_max,"mm"
"maximum seed length",seed_length_max,"mm"
"minimum height",plant_height_min,"m"
"minimum leaf length",leaf_length_min,"mm"
"minimum leaf width",leaf_width_min,"mm"
"minimum seed length",seed_length_min,"mm"
"photosynthetic pathway",photosynthetic_pathway,""
