site,Family,growth form,leaf longevity,Leaf type,C3C4,Nfixer,SLA (cm2/g),Nmass (%),Narea (g/m2),Amass (nmol/g/s),Aarea (micromol/m2/s)
Solar Village,Cochlospermum fraseri,T,D,S,C3,No,199.8,1.77,0.89,248,12.4
Solar Village,Planchonia careya,T,D,S,C3,No,101.4,1.35,1.33,110,10.8
Solar Village,Terminalia ferdinandiana,T,D,S,C3,No,101.6,1.36,1.34,109,10.7
Solar Village,Erythrophleum chlorostachys,T,SD,C,C3,Yes,109.4,2.2,2.01,149,13.6
Solar Village,Eucalyptus clavigera,T,SD,S,C3,No,71.5,1.04,1.45,86,12
Solar Village,Xanthostemon paradoxus,T,SD,S,C3,No,125,1.1,0.88,149,11.9
Solar Village,Eucalyptus miniata,T,E,S,C3,No,80.7,1.7,2.11,131,16.6
Solar Village,Eucalyptus tetrodonta,T,E,S,C3,No,72.5,0.91,1.26,100,15.3
