Species ,Location,Condition,Population size,Time of collection,Plants sampled,seedset %,germination %,Seeds used in germination trials,Fire Response,ovules per flower,seed to ovule ratio
Verticordia albida,Site L,healthy road verge,16,Jan-96,16,24,19,54,,,
Verticordia albida,Site L,healthy road verge,16,Jan-97,12,20,30,53,,,
Verticordia albida,Site S,degraded road verge,<20,Jan-96,5,50,87,8,,,
Verticordia albida,Site S,degraded road verge,<20,Jan-97,7,56,12,50,,,
Verticordia albida,Site TSE,degraded road verge,<50,Jan-96,10,42,27,15,,,
Verticordia albida,Site TSE,degraded road verge,<50,Jan-97,20,38,10,50,,,
Verticordia albida,Site WW,"healthy reserve, park, remnant bush",1000+,Jan-95,8,46,-,-,,,
Verticordia albida,Site WW,"healthy reserve, park, remnant bush",1000+,Jan-96,500,68,29,78,,,
Verticordia albida,Site WW,"healthy reserve, park, remnant bush",1000+,Jan-97,25,50,29,31,,,
Verticordia attenuata,Site BH,degraded road verge,<100,Mar-94,30,13,36,47,,,
Verticordia attenuata,Site E,degraded road verge,<50,Mar-94,20,22,34,35,,,
Verticordia attenuata,Site E,degraded road verge,<50,Feb-95,30,48,26,66,,,
Verticordia attenuata,Site R,degraded road verge,1000+,Mar-94,50,8,54,28,,,
Verticordia bifimbriata,Site D,"healthy reserve, park, remnant bush",<30,Jan-95,12,50,-,-,,,
Verticordia bifimbriata,Site D,"healthy reserve, park, remnant bush",<30,Feb-99,15,17,68,28,,,
Verticordia carinata,Site NIT,"healthy reserve, park, remnant bush",1000+,Apr-96,100,20,48,23,,,
Verticordia carinata,Site NIT,"healthy reserve, park, remnant bush",1000+,Apr-97,400,13,45,38,,,
Verticordia carinata,Site NIT,"healthy reserve, park, remnant bush",1000+,Apr-98,100,15,11,36,,,
Verticordia comosa,Site NETS,"healhy road verge/reserve, park, remnant bush",100+,Jan-97,30,17,47,19,,,
Verticordia dasystylis subsp. oestopoia,Site BC,degraded road verge,8,Nov-97,8,6,75,16,,,
Verticordia densiflora var. caespitosa,Site FNR,"healthy reserve, park, remnant bush",100+,Feb-99,20,25,73,22,,,
Verticordia densiflora var. pedunculata,Site WLH,degraded road verge,<50,Feb-99,20,25,78,18,,,
Verticordia endlicheriana var. angustifolia,Site MB,"healthy reserve, park, remnant bush",1000+,Feb-95,50,11,24,17,,,
