Site_name,Locality,Species,leaf age,Replicate,Nitrogen_mg_g,Phosphorus_mg_g,Potassium_mg_g,Sulfur_mg_g,Carbon_mg_g,Calcium_mg_g,Magnesium_mg_g,Sodium_mg_g,Copper_mg_kg,Zinc_mg_kg,Manganese_mg_kg,Iron_mg_kg,Boron_mg_kg,Silicon_mg_kg,Nitrogen_Sulfur_Ratio,Nitrogen_Phosphorus_Ratio,Nitrogen_Potassium_Ratio,Carbon_Nitrogen_Ratio
Lapstone,"Lapstone 1, close to Lapstone train station",Eucalyptus punctata young leaves ,young,1,17.60,1.27,9.80,1.21,486.00,2.79,2.89,1.95,8.43,15.18,304.78,28.92,21.86,203.26,14.55,13.83,1.80,27.61
Lapstone,"Lapstone 1, close to Lapstone train station",Eucalyptus punctata young leaves ,young,2,14.60,1.08,7.27,1.07,487.00,2.27,2.58,1.95,6.19,11.55,230.14,<25,20.72,167.40,13.64,13.58,2.01,33.36
Lapstone,"Lapstone 1, close to Lapstone train station",Eucalyptus punctata young leaves ,young,3,14.90,0.99,5.56,1.00,485.00,3.02,3.31,3.50,8.11,12.98,193.84,30.68,26.02,241.79,14.90,15.02,2.68,32.55
Lapstone,"Lapstone 1, close to Lapstone train station",Eucalyptus punctata young leaves ,young,4,19.50,1.42,5.84,1.27,484.00,1.70,2.51,2.76,8.47,16.38,148.55,25.99,21.08,207.19,15.35,13.75,3.34,24.82
Lapstone,"Lapstone 1, close to Lapstone train station",Eucalyptus punctata young leaves ,young,5,16.90,1.19,7.92,1.22,481.00,3.44,3.22,3.15,7.04,10.85,198.59,27.90,25.03,222.02,13.85,14.19,2.13,28.46
Lapstone,"Lapstone 1, close to Lapstone train station",Persoonia linearis ,mature,1,7.62,0.36,2.65,0.81,507.00,2.66,2.47,2.63,1.83,19.70,405.56,85.71,13.70,568.75,9.41,21.20,2.88,66.54
Lapstone,"Lapstone 1, close to Lapstone train station",Persoonia linearis ,mature,2,8.54,0.42,3.88,0.83,495.00,3.59,3.71,2.41,2.39,11.01,501.03,70.45,17.49,365.34,10.29,20.57,2.20,57.96
Lapstone,"Lapstone 1, close to Lapstone train station",Persoonia linearis ,mature,3,9.04,0.39,2.87,0.76,488.00,2.75,2.19,2.27,2.65,15.77,330.40,66.62,19.90,340.65,11.89,23.28,3.15,53.98
Lapstone,"Lapstone 1, close to Lapstone train station",Persoonia linearis ,mature,4,10.20,0.40,4.08,0.86,493.00,3.27,3.72,1.98,3.00,13.76,422.73,84.11,18.74,247.91,11.86,25.29,2.50,48.33
Lapstone,"Lapstone 1, close to Lapstone train station",Persoonia linearis ,mature,5,8.96,0.45,4.30,0.82,481.00,2.17,2.71,3.02,2.66,26.25,270.15,81.99,23.96,319.35,10.93,20.03,2.08,53.68
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Eucalyptus resinifera,mature,1,10.00,0.30,2.70,1.04,526.00,5.99,1.68,1.07,5.17,6.40,109.57,39.43,33.66,400.67,9.62,32.80,3.70,52.60
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Eucalyptus resinifera,mature,2,10.10,0.37,3.04,0.89,510.00,5.19,1.80,1.38,4.13,22.27,78.30,43.64,42.44,226.65,11.35,27.43,3.32,50.50
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Eucalyptus resinifera,mature,3,11.90,0.51,5.47,0.89,519.00,10.64,1.84,1.32,6.75,14.45,152.91,49.55,28.55,242.52,13.37,23.15,2.17,43.61
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Eucalyptus resinifera,mature,4,9.63,0.35,3.87,0.92,523.00,6.82,2.39,1.34,4.32,7.94,89.99,31.55,51.24,497.67,10.47,27.68,2.49,54.31
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Eucalyptus resinifera,mature,5,8.69,0.36,4.23,0.96,507.00,9.30,1.64,1.62,6.32,8.15,236.85,36.68,41.52,349.71,9.05,23.90,2.05,58.34
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Xanthorrhoea media ,mature,1,5.89,0.20,9.81,0.63,470.00,3.73,1.69,0.40,2.48,5.53,28.05,<25,8.22,228.57,9.35,28.86,0.60,79.80
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Xanthorrhoea media ,mature,2,6.64,0.25,9.18,0.72,476.00,3.62,1.05,0.32,2.73,8.29,35.44,<25,8.13,250.02,9.22,26.63,0.72,71.69
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Xanthorrhoea media ,mature,3,6.50,0.24,7.26,0.73,477.00,4.40,1.01,0.34,2.02,10.74,45.65,<25,5.64,192.96,8.90,27.02,0.90,73.38
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Xanthorrhoea media ,mature,4,5.19,0.19,7.10,0.57,453.00,5.13,1.06,0.25,1.76,9.51,61.94,<25,21.53,274.76,9.11,27.81,0.73,87.28
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Xanthorrhoea media ,mature,5,5.31,0.20,9.67,0.61,453.00,7.60,1.44,0.43,1.86,7.27,65.33,<25,10.93,268.20,8.70,26.84,0.55,85.31
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Banksia spinulosa ,mature,1,9.33,0.42,4.48,1.57,496.00,4.95,1.85,0.62,2.55,5.43,65.01,58.17,31.37,124.98,5.94,22.38,2.08,53.16
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Banksia spinulosa ,mature,2,8.56,0.29,3.00,0.98,505.00,3.76,1.84,1.27,3.42,6.85,81.16,82.75,21.94,239.31,8.73,29.60,2.85,59.00
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Banksia spinulosa ,mature,3,7.57,0.20,2.76,0.97,493.00,2.95,2.21,0.97,2.31,6.14,121.70,58.55,19.36,<100,7.80,38.20,2.74,65.13
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Banksia spinulosa ,mature,4,8.26,0.26,3.11,1.01,504.00,3.00,2.10,1.50,2.42,5.24,134.07,64.77,21.36,<100,8.18,32.10,2.66,61.02
Dog Pound Creek Reserve1,Dog Pound Creek Reserve,Banksia spinulosa ,mature,5,8.75,0.26,2.97,1.07,490.00,4.19,1.30,1.44,2.37,5.65,147.39,50.19,23.89,101.78,8.18,34.04,2.95,56.00
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Eucalyptus pilularis,mature,1,8.29,0.37,2.52,0.83,535.00,4.28,3.44,1.33,2.73,9.82,116.58,<25,21.75,228.25,9.99,22.26,3.29,64.54
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Eucalyptus pilularis,mature,2,10.80,0.43,3.25,0.98,548.00,3.15,3.09,1.44,5.65,7.18,80.47,<25,19.50,231.53,11.02,25.31,3.33,50.74
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Eucalyptus pilularis,mature,3,11.40,0.44,3.67,0.99,552.00,3.01,2.82,1.68,7.28,10.17,70.29,<25,15.21,318.80,11.52,25.73,3.11,48.42
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Eucalyptus pilularis,mature,4,11.20,0.42,3.19,1.00,550.00,3.59,3.32,1.78,7.06,9.20,97.29,<25,25.91,220.68,11.20,26.96,3.51,49.11
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Eucalyptus pilularis,mature,5,12.10,0.51,3.53,1.01,540.00,3.28,2.45,1.52,4.62,8.34,68.98,<25,24.23,292.59,11.98,23.66,3.43,44.63
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Xanthorrhoea arborea ,mature,1,9.64,0.54,20.43,1.12,471.00,2.85,1.65,0.62,3.15,17.79,96.94,<25,6.25,145.12,8.61,17.83,0.47,48.86
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Xanthorrhoea arborea ,mature,2,9.95,0.42,22.54,0.88,465.00,3.17,2.45,0.55,2.57,11.74,69.51,<25,9.86,<100,11.31,23.59,0.44,46.73
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Xanthorrhoea arborea ,mature,3,6.87,0.49,12.85,0.88,452.00,4.49,3.20,0.36,2.04,30.35,71.48,<25,9.42,143.98,7.81,14.10,0.53,65.79
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Xanthorrhoea arborea ,mature,4,7.04,0.34,13.91,0.77,476.00,1.53,1.75,0.66,2.00,16.34,44.89,<25,6.57,127.56,9.15,20.52,0.51,67.57
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Xanthorrhoea arborea ,mature,5,8.36,0.48,15.69,1.10,465.00,5.22,2.50,0.27,2.77,15.84,115.44,<25,7.88,138.21,7.60,17.39,0.53,55.62
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Banksia serrata ,mature,1,7.05,0.69,2.47,0.88,515.00,3.02,2.07,0.78,2.02,7.06,82.41,29.61,15.38,105.28,8.01,10.18,2.85,73.05
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Banksia serrata ,mature,2,8.35,0.33,1.62,0.87,516.00,6.89,2.24,1.00,3.35,8.05,111.95,27.94,21.40,215.03,9.60,25.31,5.16,61.80
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Banksia serrata ,mature,3,7.23,0.31,2.30,0.84,516.00,3.85,2.13,1.26,2.44,5.60,109.02,29.25,13.29,210.63,8.61,23.30,3.15,71.37
