Site_name,Locality,Species,leaf age,Replicate,Nitrogen_mg_g,Phosphorus_mg_g,Potassium_mg_g,Sulfur_mg_g,Carbon_mg_g,Calcium_mg_g,Magnesium_mg_g,Sodium_mg_g,Copper_mg_kg,Zinc_mg_kg,Manganese_mg_kg,Iron_mg_kg,Boron_mg_kg,Silicon_mg_kg,Nitrogen_Sulfur_Ratio,Nitrogen_Phosphorus_Ratio,Nitrogen_Potassium_Ratio,Carbon_Nitrogen_Ratio
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Xanthorrhoea media,mature,1,5.56,0.27,9.33,0.66,466.00,5.66,1.18,0.82,2.14,16.36,157.21,<25,9.46,245.86,8.42,20.79,0.60,83.81
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Xanthorrhoea media,mature,2,4.84,0.17,6.01,0.68,454.00,7.04,1.45,1.00,1.59,14.27,199.69,<25,11.16,280.74,7.12,28.31,0.81,93.80
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Xanthorrhoea media,mature,3,6.01,0.21,6.76,0.79,466.00,6.18,1.35,1.74,1.99,13.98,206.08,<25,9.21,262.81,7.61,28.96,0.89,77.54
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Xanthorrhoea media,mature,4,7.27,0.30,10.04,0.88,451.50,4.05,1.19,0.28,3.38,12.53,94.67,<25,14.37,278.23,8.26,24.54,0.72,62.15
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Xanthorrhoea media,mature,5,4.89,0.17,4.71,0.65,461.00,3.29,0.90,0.97,1.67,12.85,50.98,<25,11.73,286.78,7.52,29.46,1.04,94.27
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Banksia serrata ,mature,1,5.80,0.22,3.22,0.78,487.00,4.34,1.57,1.34,2.05,6.08,281.16,32.67,23.47,305.82,7.44,26.40,1.80,83.97
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Banksia serrata ,mature,2,6.14,0.18,1.90,0.78,481.00,2.66,1.80,1.46,2.29,6.10,127.94,42.29,14.52,363.04,7.87,33.35,3.23,78.34
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Banksia serrata ,mature,3,6.34,0.20,2.04,0.77,504.00,4.86,1.83,0.97,2.36,5.22,336.96,36.76,14.78,348.36,8.23,31.26,3.11,79.50
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Banksia serrata ,mature,4,7.39,0.27,3.30,0.79,509.00,3.98,1.19,1.10,2.81,5.07,283.89,45.14,14.47,333.41,9.35,27.05,2.24,68.88
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Banksia serrata ,mature,5,5.82,0.18,1.94,0.77,508.00,5.91,1.82,1.15,1.91,4.65,411.61,65.89,11.97,383.48,7.56,31.62,3.01,87.29
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Eucalyptus eugenoides,mature,1,8.67,0.40,2.92,0.87,501.00,9.28,3.33,1.01,3.97,7.34,318.77,<25,26.12,349.20,9.97,21.81,2.97,57.79
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Eucalyptus eugenoides,mature,2,9.91,0.51,3.59,0.93,496.00,6.84,2.44,2.52,3.34,9.57,191.75,48.21,24.84,399.21,10.66,19.34,2.76,50.05
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Eucalyptus eugenoides,mature,3,9.01,0.42,3.56,0.92,510.00,6.33,2.13,2.32,3.20,7.18,225.74,<25,27.04,393.20,9.79,21.53,2.53,56.60
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Eucalyptus eugenoides,mature,4,7.43,0.30,3.16,0.82,492.00,6.75,2.33,1.40,2.80,7.88,186.13,<25,23.55,363.61,9.06,25.00,2.35,66.22
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Eucalyptus eugenoides,mature,5,9.43,0.47,3.53,1.06,503.00,7.61,2.53,1.95,3.02,7.89,203.44,30.20,23.08,366.37,8.90,20.18,2.67,53.34
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,1,6.42,0.29,10.09,0.76,462.00,5.26,1.07,1.09,2.12,8.89,92.78,<25,9.61,290.14,8.50,21.78,0.64,71.96
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,2,5.95,0.27,10.70,0.65,455.00,9.15,1.17,1.74,1.96,8.76,67.72,31.66,10.19,286.04,9.15,22.15,0.56,76.47
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,3,6.55,0.30,7.33,0.71,467.00,5.15,0.96,1.58,1.86,12.15,97.00,<25,9.73,294.37,9.23,21.96,0.89,71.30
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,4,5.45,0.21,6.44,0.67,468.00,4.26,0.71,1.89,1.66,9.24,46.70,<25,8.68,314.08,8.13,26.18,0.85,85.87
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,5,5.23,0.22,9.55,0.79,437.00,4.57,0.63,0.61,1.50,9.44,49.46,<25,25.54,305.32,6.62,23.44,0.55,83.56
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,1,7.86,0.29,3.18,1.15,506.00,4.89,1.14,1.34,2.67,4.70,296.36,58.80,18.74,409.98,6.83,27.51,2.47,64.38
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,2,7.45,0.25,2.70,0.93,484.00,8.21,1.86,1.66,2.19,5.11,359.57,33.51,22.12,388.41,8.01,29.24,2.76,64.97
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,3,6.79,0.25,1.70,1.04,503.00,5.85,1.28,1.62,1.92,4.96,364.92,45.91,15.94,374.35,6.53,27.02,3.99,74.08
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,4,6.18,0.29,2.63,0.88,499.00,5.50,1.67,2.03,1.92,4.30,243.57,35.48,18.70,405.65,7.02,21.28,2.35,80.74
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,5,6.83,0.22,2.33,0.84,497.00,3.58,0.75,2.51,2.14,4.33,223.01,40.74,20.28,369.50,8.13,31.66,2.94,72.77
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Angophora crassifolia,mature,1,11.10,0.66,8.83,1.02,492.00,4.48,1.27,1.11,3.75,47.50,176.25,29.46,26.00,372.09,10.88,16.84,1.26,44.32
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Angophora crassifolia,mature,2,11.70,0.80,8.42,1.00,507.00,3.57,1.50,0.64,4.01,60.61,144.47,35.20,12.98,386.71,11.70,14.57,1.39,43.33
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Angophora crassifolia,mature,3,12.90,0.61,8.04,1.05,508.00,4.11,1.52,0.65,4.01,56.85,108.68,28.32,10.83,372.89,12.29,21.27,1.61,39.38
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Angophora crassifolia,mature,4,10.90,0.45,4.56,0.99,514.00,5.38,0.98,0.79,4.18,68.97,249.62,32.89,13.82,337.47,11.01,24.45,2.39,47.16
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Angophora crassifolia,mature,5,10.80,0.67,5.48,0.93,494.00,4.69,1.53,0.74,2.87,141.35,227.62,30.79,17.73,301.17,11.61,16.15,1.97,45.74
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,1,6.11,0.25,9.40,0.88,459.00,5.70,0.65,0.39,2.50,23.47,82.54,<25,9.46,324.02,6.94,24.24,0.65,75.12
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,2,6.70,0.29,11.83,0.90,463.00,6.64,0.87,0.40,2.70,17.81,86.83,<25,10.08,308.59,7.44,23.49,0.57,69.10
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,3,5.67,0.23,9.94,0.76,460.50,6.56,0.65,1.32,1.74,13.27,119.94,<25,7.67,304.99,7.50,24.55,0.57,81.29
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,4,5.77,0.25,9.45,1.14,468.00,6.34,0.99,0.92,2.06,20.18,65.59,<25,5.91,292.48,5.06,22.92,0.61,81.11
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Xanthorrhoea media ,mature,5,6.77,0.27,8.30,0.71,474.00,8.16,1.22,1.24,1.93,9.40,111.55,<25,5.15,324.14,9.54,25.46,0.82,70.01
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,1,6.31,0.18,2.21,1.01,475.00,3.37,1.22,1.75,1.68,4.87,175.48,30.00,19.56,379.32,6.25,35.79,2.85,75.28
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,2,7.77,0.18,1.75,1.15,498.00,4.20,0.96,0.89,1.70,4.51,198.55,38.48,13.95,392.47,6.76,42.68,4.45,64.09
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,3,7.09,0.22,3.50,1.12,509.00,3.16,0.95,1.90,2.08,5.98,206.52,42.07,15.22,388.10,6.33,32.47,2.03,71.79
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,4,7.14,0.23,2.63,0.79,501.00,3.61,1.38,1.82,2.24,6.70,167.56,36.80,17.29,416.60,9.04,31.57,2.72,70.17
Kuringai Wildflower Garden3,"Ku-ring-gai Wildflower Garden, near horse fields",Banksia serrata ,mature,5,7.88,0.22,2.61,0.92,480.00,3.82,1.15,1.47,2.04,5.76,161.52,32.31,23.94,381.42,8.57,35.46,3.02,60.91
