Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Acaena ovina,95,91,22.64,NA,NA,NA,NA,NA,NA,NA,NA
Ajuga australis,95,91,32.67,NA,NA,NA,NA,NA,NA,NA,NA
Asperula conferta,95,91,18.99,NA,NA,NA,NA,NA,NA,NA,NA
Asperula scoparia,95,91,6.57,NA,NA,NA,NA,NA,NA,NA,NA
Calotis glandulosa F.Muell.,95,91,1.46,NA,NA,NA,NA,NA,NA,NA,NA
Carex breviculmis,95,91,21.58,NA,NA,NA,NA,NA,NA,NA,NA
Carex inversa,95,91,20.69,NA,NA,NA,NA,NA,NA,NA,NA
Chrysocephalum apiculatum,95,91,10.06,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus erubescens,95,91,31.88,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia variabilis,95,91,4.77,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sieberiana,95,91,66.36,NA,NA,NA,NA,NA,NA,NA,NA
Drosera peltata,95,91,32.29,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber var. scaber,95,91,19.1,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium billardiarim,95,91,14.35,NA,NA,NA,NA,NA,NA,NA,NA
Euchiton collinus,95,91,31.37,NA,NA,NA,NA,NA,NA,NA,NA
Geranium retrorsum,95,91,6.4,NA,NA,NA,NA,NA,NA,NA,NA
Geranium solanderi,95,91,14.02,NA,NA,NA,NA,NA,NA,NA,NA
Gonocarpus tetragynus,95,91,8.65,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia pinnatifida,95,91,6.53,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis heterophylla,95,91,1.78,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum gramineum,95,91,21.45,NA,NA,NA,NA,NA,NA,NA,NA
Leptorhynchos squamatus,95,91,38.29,NA,NA,NA,NA,NA,NA,NA,NA
Leucochrysum albicans,95,91,26.28,NA,NA,NA,NA,NA,NA,NA,NA
Linum marginale,95,91,23.26,NA,NA,NA,NA,NA,NA,NA,NA
Luzula densiflora,95,91,2.25,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis perennans,95,91,34.44,NA,NA,NA,NA,NA,NA,NA,NA
Pimelea curviflora,95,91,8.9,NA,NA,NA,NA,NA,NA,NA,NA
Pimelea glauca,95,91,9.9,NA,NA,NA,NA,NA,NA,NA,NA
Plantago varia,95,91,28.56,NA,NA,NA,NA,NA,NA,NA,NA
Poa labillardierei,95,91,3.42,NA,NA,NA,NA,NA,NA,NA,NA
Poa sieberiana,95,91,4.7,NA,NA,NA,NA,NA,NA,NA,NA
Poranthera microphylla,95,91,44.92,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus lappaceus,95,91,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Rumex brownii,95,91,13.39,NA,NA,NA,NA,NA,NA,NA,NA
Rumex dumosus,95,91,13.86,NA,NA,NA,NA,NA,NA,NA,NA
Schoenus apogon,95,91,7.01,NA,NA,NA,NA,NA,NA,NA,NA
Scleranthus biflorus,95,91,13.22,NA,NA,NA,NA,NA,NA,NA,NA
Solenogyne gunnii,95,91,15.65,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia monogyna,95,91,15.81,NA,NA,NA,NA,NA,NA,NA,NA
Swainsona behriana,95,91,3.57,NA,NA,NA,NA,NA,NA,NA,NA
Viola betonicifolia,95,91,35.74,NA,NA,NA,NA,NA,NA,NA,NA
Vittadinia cuneata,95,91,2.83,NA,NA,NA,NA,NA,NA,NA,NA
Wahlenbergia communis,95,91,43.12,NA,NA,NA,NA,NA,NA,NA,NA
Wahlenbergia stricta,95,91,29.45,NA,NA,NA,NA,NA,NA,NA,NA
Themeda triandra,95,91,18.47,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia sp.,95,91,3.22,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne sp.,95,91,7.61,NA,NA,NA,NA,NA,NA,NA,NA
Juncus sp.,95,91,9.83,NA,NA,NA,NA,NA,NA,NA,NA
Poa sp.,95,91,8.49,NA,NA,NA,NA,NA,NA,NA,NA
