,Species,SPcode,AI,MAP,MAT,Site,Site_code,meth,P50,CI2.5,CI97.5,P88,CI2.5_p88,CI97.5_p88,ks,ks.SE,PSI pd (MPa),PSI pd.SE,PSI leaf,PSI leaf.SE,PSI min,PSI min.SE,WoodDensity,WoodDensity.SE,Dh.mean,Dh.se,Vdensity.mean,Vdensity.se,Kth.mean,Kth.se,TLP.mean,tlp.se,lma.mean,lma.se
Units,,,,(mm),(°C),,,,(MPa),,,(MPa),,,(kg s-1 m-1 MPa-1),,,,(MPa),,(MPa),,(g cm-3),,(µm),,(mm-2),,(kg s-1 m-1 Mpa-1),,(MPa),,(g m-2),
1,Acacia aneura,ACAANE,4.6,267.5,19,Great Western Woodland,GWW,PLC_Bench,11.29696287,10.57859154,11.67800658,12.6751485,12.29599361,NA,0.67,0.105461947,7.1126,0.365101301,7.8176,0.424011627,7.801,0.451524972,0.882,0.017468066,43.09310502,NA,73.15905453,NA,6.168819093,NA,-3.351607039,0.045031441,NA,NA
2,Acacia aptaneura,ACAAPT,5.8,308,23,Alice mulga,Alice,PLC_Bench,10.36664138,9.843802616,10.73672685,11.59318492,11.20073164,NA,0.907142857,0.188535211,5.5475,0.754501767,6.4525,0.639887685,6.4525,0.639887685,0.7774,0.01522695,32.70156998,2.899005661,131.0082137,25.44544669,3.485295383,0.514993164,-3.774269482,0.515758545,NA,NA
3,Acacia hemiteles,ACAHEM,4.6,267.5,19,Great Western Woodland,GWW,PLC_Bench,5.25682851,4.033658788,5.885103907,8.479898022,7.471131082,NA,1.715332065,0.11865817,3.837,0.445655809,4.1786,0.505430074,3.9786,0.458070693,0.763666667,0.022719546,44.24898584,2.768349655,73.141357,6.168548181,6.871981528,1.130660072,-2.676161634,0.07426296,NA,NA
4,Acacia Melanoxylon,ACAMEL,0.5,1500,9,Warra,Warra,PLC_Bench,5.130206159,3.694175254,5.65770699,NA,6.655516766,NA,1.322475085,0.124234117,0.4,0.06244998,1.303333333,0.305523231,1.19,0.150443788,0.5226,0.011020889,43.40518368,2.430019772,55.22319324,3.573506071,4.871792632,0.872875375,-2.551,0.073020545,151.1741787,10.38877862
5,Atherosperma moschatum,ATHMOS,0.5,1500,9,Warra,Warra,PLC_Cavitron,2.937921084,2.798427104,3.075909386,4.401951292,4.086470866,5.092790627,0.485892469,0.09035072,0.526666667,0.174578858,1.188,0.131062326,1.027,0.138391955,0.5864,0.013962808,20.12785904,0.188643611,560.397349,100.3665218,2.271087756,0.460448574,-1.486367111,0.114120532,NA,NA
6,Callitris verrucosa,CALVER,5.4,240,17,Calperum,SA,PLC_Centrifuge,11.8658944,11.61228196,12.15707056,NA,13.7731254,NA,0.366240493,0.026255516,5.844,0.266056385,6.174,0.238361071,6.044,0.245857682,0.659,0.015365546,10.25690014,0.438125408,4032.369978,202.9529217,1.097544995,0.14043,-4.841290986,0.180768549,NA,NA
7,Cardwellia sublimis,CARSUB,0.4,5180,25,Daintree,DRO,PLC_Bench,3.426608545,3.08702776,3.766679104,NA,4.627841314,NA,2.28,0.320594686,0.45,0.011547005,1.49,0.32,0.863333333,0.080897741,0.565,0.023211656,57.24966441,4.022515348,67.5602896,9.882956412,19.60588584,6.196565229,-1.72933537,0.119008941,135.6186203,5.796276483
8,Castanospermum australe,CASAUS,0.4,5180,25,Daintree,DRO,Ks_Bench,1.520586342,0.956099461,1.978456784,3.55676162,2.223148134,NA,1.582486227,0.251162928,0.504666667,0.099190613,1.516666667,0.092616293,0.996666667,0.054873592,0.3702,0.025449645,54.22954919,6.546574308,50.52334701,11.74961558,11.59473963,4.358804746,-1.605900242,0.114674426,92.2699809,6.883082666
9,Cleistanthus myrianthus,CLEMYR,0.4,5180,25,Daintree,DRO,PLC_Bench,4.646534949,4.031863394,5.185757163,6.391736081,5.791462202,NA,1.811111111,0.20237784,0.453333333,0.146211415,2.263333333,0.226960594,1.303333333,0.16596519,0.5735,0.040552435,27.44989178,1.885351024,247.9168888,17.51638744,3.507121503,0.667515806,-1.522393363,0.082883842,85.91641824,3.503747799
