Location,Location.n,Quadrat Names,latitude (deg),longitude (deg)
DorrigoNP,1,"DN1:3,DR1:3",-30.359054,152.735787
BorderRangesNP,2,"RN1:3,RR1:3",-28.3885,153.0513
BunyaMtNP,3,"BN1:3,BR1:3",-26.886047,151.605447
MairyCairncross,4,"MN1:3,MR1:3",-26.778623,152.882047
Quinkin,5,Q1:3,-17.301913,145.580348
Curtain FigNP,5,CF1:3,-17.283918,145.57121
WooroonoranNP,6,"WN1:3,WR1:9",-17.369926,145.739885
