SppName,WD,WDS
Acacia.melanoxylon,0.57,RK
Ackama.paniculosa,0.56,GWD
Acronychia.oblongifolia,0.54,RK
Akania.bidwillii,0.57,RK
Archontophoenix.cunninghamiana,0.78,DM
Argyrodendron.actinophyllum,0.71,RK
Atractocarpus.benthamianus,0.79,JW
Beilschmiedia.elliptica,0.7,RK
Cinnamomum.virens,0.48,RK
Citronella.moorei,0.56,RK
Claoxylon.australe,0.59,RK
Cryptocarya.glaucescens,0.54,RK
Cryptocarya.meisneriana,0.64,NA
Cryptocarya.obovata,0.55,RK
Daphnandra.apatela,0.56,GWD
Daphnandra.melasmena,0.56,GWD
Dendrocnide.excelsa,0.21,RK
Denhamia.celastroides,0.72,RK
Diospyros.australis,0.63,GWD
Diploglottis.australis,0.6,RK
Doryphora.sassafras,0.52,RK
Ehretia.acuminata,0.49,RK
Elattostachys.nervosa,0.66,RK
Endiandra.crassiflora,0.67,RK
Geissois.benthamiana,0.58,RK
Guilfolya.monostylis,0.36,RK
Helicia.glabrifolia,0.58,RK
Ligustrum.sinense,0.41,RK
Linospadix.monostachya,0.82,JW
Litsea.reticulata,0.43,RK
Melicope.hayesii,0.53,GWD
Myrsine.variabilis,0.71,RK
Neolitsea.dealbata,0.56,DM
Orites.excelsus,0.5,RK
Pittosporum.multiflorum,0.64,RK
Polyscias.murrayi,0.27,RK
Pouteria.australis,0.76,RK
Sarcopteryx.stipata,0.84,RK
Scolopia.braunii,0.63,DM
Sloanea.australis,0.52,DM
Sloanea.woollsii,0.53,RK
Solanum.mauritianum,0.42,DM
Synoum.glandulosum,0.51,RK
Syzygium.australe,0.59,RK
Syzygium.crebrinerve,0.63,RK
Syzygium.smithii,0.63,GWD
Wilkiea.huegeliana,0.57,RK
Acronychia.octandra,0.46,RK
Alangium.villosum.polyosmoides,0.57,RK
Archidendron.grandiflorum,0.51,RK
Argyrodendron.trifoliolatum,0.8,JW
Baloghia.inophylla,0.62,GWD
Brachychiton.acerifolius,0.34,RK
Cinnamomum.oliveri,0.46,RK
Cryptocarya.erythroxylon,0.62,RK
Diospyros.pentamera,0.57,RK
Duboisia.myoporoides,0.38,RK
Dysoxylum.fraserianum,0.62,RK
Dysoxylum.rufum,0.53,DM
Emmenosperma.alphitoniodes,0.69,RK
Melicope.micrococca,0.53,RK
Neolitsea.australiensis,0.58,RK
Polyosma.cunninghamii,0.62,RK
Quintinia.verdonii,0.45,RK
Syzygium.ingens,0.47,RK
Acacia.maidenii,0.62,GWD
Alectryon.connatus,NA,NA
Alectryon.subdentatus,NA,NA
Alphitonia.excelsa,0.56,RK
Alyxia.ruscifolia,NA,NA
Araucaria.bidwilli,0.44,RK
Brachychiton.discolor,0.26,GWD
Bridelia.leichhardtii,0.61,GWD
Capparis.arborea,0.7,RK
Cryptocarya.triplonervis.var.pubens,0.65,RK
Elaeocarpus.kirtonii,0.58,RK
Elaeodendron.australe,0.73,GWD
Elattostachys.xylocarpa,0.7,DM
Geijera.salicifolia,0.78,GWD
Guioa.semiglauca,0.66,RK
Hodgkinsonia.ovatiflora,0.63,NA
Jagera.pseudorhus,0.63,RK
Notolaea.longifolia,0.87,GWD
Psydrax.odorata,0.87,GWD
Solanum.corifolium,0.42,NA
Streblus.brunonianus,0.65,RK
Symplocos.thwaitesii,0.54,RK
Anthocarapa.nitidula,0.64,RK
Aphananthe.philippinensis,0.59,RK
Arytera.distylis,0.63,RK
Castanospermum.australe,0.62,DM
Drypetes.deplanchei,0.72,RK
Endiandra.compressa,0.8,RK
Endiandra.virens,0.62,RK
Euroschinis.falcatus.var.falcatus,0.41,RK
Ficus.coronata,0.4,RK
Glochidion.ferdinandi,0.6,RK
Gossia.bidwilli,0.68,RK
Hedraianthera.porphyropetala,0.69,RK
Ligustrum.lucidum,0.45,RK
Litsea.leefeana,0.42,DM
Lophostemon.confertus,0.69,RK
Mallotus.phillipensis,0.62,DM
Maytenus.disperma,0.77,DM
Melicope.elleryana,0.5,DM
Niemeyera.chartacea,0.63,RK
Olea.paniculata,0.73,RK
Pilidiostigma.glabrum,0.56,RK
Syzygium.hemilamprum.hemilamprum,0.56,RK
Syzygium.hodgkinsoniae,0.6,RK
Tabernaemontana.pandacaqui,0.47,RK
Toona.ciliata,0.39,RK
Wilkiea.macrophylla,0.67,RK
Aglaia.australiensis,0.75,DM
Aglaia.meridionalis,0.75,DM
Aglaia.tomentosa,0.8,DM
Argyrodendron.peralatum,0.74,JW
Argyrodendron.sp.Boonjee,0.74,DM
Arytera.divaricata,0.61,DM
Atractocarpus.merikin,0.8,JW
Cardwellia.sublimis,0.46,DM
Castanospora.alphandii,0.58,DM
Celtis.paniculata,0.58,DM
Codiaeum.variegatum,0.49,NA
Croton.triacros,0.5,DM
Cryptocarya.putida,0.54,NA
Cupaniopsis.flagelliformis,0.79,DM
Daphnandra.repandula,0.58,GWD
Dendrocnide.photinophylla,0.21,DM
Diospyros.cupulosa,0.84,GWD
Diploglottis.diphyllostegia,0.42,DM
Doryphora.aromatica,0.46,DM
Dysoxylum.parasiticum,0.6,DM
Dysoxylum.pettigrewianum,0.71,DM
Endiandra.cowleyana,0.64,JW
Endiandra.insignis,0.68,GWD
Endiandra.monothyra,0.68,GWD
Ficus.congesta,0.43,DM
Ficus.copiosa,0.41,GWD
Ficus.fraserii,0.41,DM
Ficus.leptoclada,0.46,DM
Firmiana.papuana,0.34,GWD
Flindersia.brayleyana,0.48,DM
Flindersia.schottiana,0.56,DM
Gmelina.fasciculiflora,0.47,GWD
Gossia.dallachania,0.81,JW
Haplostichanthus.submontanus,0.76,DM
Macaranga.inamoena,0.46,DM
Mallotus.polyadenos,0.62,DM
Melia.azedarch,0.39,GWD
Melicope.vitiflora,0.51,DM
Myristica.insipida,0.46,DM
Pilidiostigma.tropicum,0.63,DM
Planchonella.myrsinodendron,0.65,JW
Polyalthia.nitidissima,0.45,DM
Polyscias.elegans,0.4,DM
Tarenna.dallachiana,0.76,NA
Ternstroemia.cherryi,0.56,DM
Wilkiea.longipes,0.52,DM
Zanthoxylum.ovaliflorum,0.61,GWD
Zanthoxylum.veneficum,0.65,DM
Aceriatum.sericoleopsis,0.57,GWD
Acronychia.parviflora,0.57,GWD
Acronychia.vestita,0.58,DM
Aglaia.sapindina,0.44,DM
Alphitonia.petriei,0.43,DM
Alphitonia.whitei,0.63,DM
Alstonia.scholaris,0.33,DM
Antidesma.erostre,0.73,GWD
Apodytes.brachystylis,0.54,DM
Archidendron.lucyi,0.5,GWD
Archidendron.vallantii,0.4374,DM
Archidendron.whitei,0.5,GWD
Ardisia.brevipedata,0.68,DM
Athertonia.diversifolia,0.56,GWD
Austromeullera.trinervia,0.57,DM
Beilschmiedia.bancroftii,0.65,GWD
Beilschmiedia.brunnea,0.45,JW
Beilschmiedia.tooram,0.78,JW
Brombya.platynema,0.62,JW
Citronella.smythii,0.56,DM
Corynocarpus.cribbianus,0.57,DM
Cryptocarya.grandis,0.71,JW
Cryptocarya.mackinnoniana,0.72,DM
Cryptocarya.pleurosperma,0.57,JW
Darlingia.ferruginea,0.52,GWD
Delarbrea.micheana,0.63,JW
Diploglottis.bracteata,0.81,DM
Dysoxylum.papuanum,0.63,JW
Elaeocarpus.grandis,0.41,DM
Endiandra.bessaphila,0.8,DM
Endiandra.palmerstonii,0.65,GWD
Endiandra.sankeyana,0.71,JW
Endiandra.wolfei,0.86,JW
Erythroxylon.sp.(Brewer.LA),0.81,JW
Eupomatia.laurina,0.54,DM
Fontainea.picrosperma,0.46,DM
Franciscodendron.laurifolium,0.37,DM
Garcinia.gibbsiae,0.82,DM
