species_name,original_name,wood_density_Ilic_2000,wood_density_Kooyman_2011,wood_density_Metcalfe_2009,wood_density_Sams_2017,wood_density_Zanne_2009,wood_density_to_keep,wood_density_unique
Acacia maidenii,Acacia maidenii,0.62,NA,NA,0.62,NA,omit,NA
Acacia melanoxylon,Acacia melanoxylon,0.555,0.52,NA,0.57,0.6034999999999999,keep,0.57
Aceratium sericoleopsis,Aceriatum sericoleopsis,NA,NA,NA,0.57,NA,keep,0.57
Acronychia oblongifolia,Acronychia oblongifolia,NA,0.5375,NA,0.54,NA,omit,NA
Acronychia octandra,Acronychia octandra,0.551,0.4558,NA,0.46,NA,omit,NA
Acronychia parviflora,Acronychia parviflora,NA,NA,NA,0.57,NA,keep,0.57
Acronychia vestita,Acronychia vestita,0.5373333333333333,0.484,0.577,0.58,NA,omit,NA
Aglaia australiensis,Aglaia australiensis,NA,NA,NA,0.75,NA,keep,0.75
Aglaia meridionalis,Aglaia meridionalis,NA,NA,NA,0.75,NA,keep,0.75
Aglaia sapindina,Aglaia sapindina,NA,NA,0.437,0.44,NA,omit,NA
Aglaia tomentosa,Aglaia tomentosa,NA,NA,NA,0.8,NA,keep,0.8
Akania bidwillii,Akania bidwillii,0.573,0.5719,NA,0.57,NA,omit,NA
Alangium villosum subsp. polyosmoides,Alangium villosum.polyosmoides,NA,NA,NA,0.57,NA,keep,0.57
Alphitonia excelsa,Alphitonia excelsa,0.619,0.562,NA,0.56,NA,omit,NA
Alphitonia petriei,Alphitonia petriei,0.443,0.43,NA,0.43,NA,omit,NA
Alphitonia whitei,Alphitonia whitei,0.6100000000000001,0.534,NA,0.63,NA,keep,0.63
Alstonia scholaris,Alstonia scholaris,0.3415,0.335,0.333,0.33,0.327,omit,NA
Anthocarapa nitidula,Anthocarapa nitidula,0.689,0.64,NA,0.64,NA,omit,NA
Antidesma erostre,Antidesma erostre,0.732,0.67,NA,0.73,NA,omit,NA
Aphananthe philippinensis,Aphananthe philippinensis,0.616,0.593,NA,0.59,0.5,omit,NA
Apodytes brachystylis,Apodytes brachystylis,0.564,0.53,NA,0.54,NA,keep,0.54
Araucaria bidwillii,Araucaria bidwilli,NA,NA,NA,0.44,NA,keep,0.44
Archidendron grandiflorum,Archidendron grandiflorum,0.538,0.51,NA,0.51,NA,omit,NA
Archidendron lucyi,Archidendron lucyi,NA,NA,NA,0.5,NA,keep,0.5
Archidendron vaillantii,Archidendron vallantii,NA,NA,NA,0.4374,NA,keep,0.4374
Archidendron whitei,Archidendron whitii,NA,NA,NA,0.5,NA,keep,0.5
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,0.827,NA,NA,0.78,NA,keep,0.78
Ardisia brevipedata,Ardisia brevipedata,NA,NA,0.672,0.68,NA,keep,0.68
Argyrodendron Boonjee,Argyrodendron sp.Boonji,NA,NA,NA,0.74,NA,keep,0.74
Argyrodendron peralatum,Argyrodendron peratelum,NA,NA,NA,0.74,NA,keep,0.74
Argyrodendron trifoliolatum,Argyrodendron trifoliatum,NA,NA,NA,0.8,NA,keep,0.8
Arytera distylis,Arytera distylis,NA,0.6321,NA,0.63,NA,omit,NA
Arytera divaricata,Arytera divaricata,0.633,0.59,0.605,0.61,NA,keep,0.61
Athertonia diversifolia,Athertonia diversifolia,NA,0.55,NA,0.56,NA,keep,0.56
Atractocarpus benthamianus,Atractocarpus benthamianus,NA,0.774,NA,0.79,NA,keep,0.79
Atractocarpus merikin,Attractocarpus merikin,NA,NA,NA,0.8,NA,keep,0.8
Austromuellera trinervia,Austromeullera trinervia,NA,NA,NA,0.57,NA,keep,0.57
Baloghia inophylla,Baloghia inophylla,0.618,0.58,NA,0.62,NA,omit,NA
Beccariella brownlessiana,Pouteria brownlessiana,NA,NA,NA,0.66,NA,keep,0.66
Beilschmiedia bancroftii,Beilschmiedia bancroftii,0.5326666666666667,0.52,NA,0.65,0.646,omit,NA
