species_name,Sams,Zanne,Ilic,Metcalfe,Kooyman,,Zanne,Ilic,Metcalfe,Kooyman,,,,,,,,,,,
Acacia melanoxylon,0.57,0.6035,0.555,NA,0.52,,0.6035,0.555,,0.52,,0.60,0.56,,0.52,0,0,0,0,0,0
Archontophoenix cunninghamiana,0.78,NA,0.827,NA,NA,,,0.827,,,,,0.83,,,0,0,0,0,0,0
Heritiera actinophylla,0.71,NA,0.6852,NA,0.6681,,,0.6852,,0.6681,,,0.69,,0.67,0,0,0,0,0,0
Atractocarpus benthamianus,0.79,NA,NA,NA,0.774,,,,,0.774,,,,,0.77,0,0,0,0,0,0
Cryptocarya meisneriana,0.64,NA,NA,NA,0.6192,,,,,0.6192,,,,,0.62,0,0,0,0,0,0
Guilfoylia monostylis,0.36,NA,0.801,NA,NA,,,0.801,,,,,0.80,,,0,0,0,0,0,0
Melicope hayesii,0.53,NA,NA,NA,0.5375,,,,,0.5375,,,,,0.54,0,0,0,0,0,0
Synoum glandulosum,0.51,NA,0.556,NA,NA,,,0.556,,,,,0.56,,,0,0,0,0,0,0
Syzygium smithii,0.63,NA,0.638,NA,0.53,,,0.638,,0.53,,,0.64,,0.53,0,0,0,0,0,0
Argyrodendron trifoliolatum,0.8,NA,NA,NA,0.735,,,,,0.735,,,,,0.74,0,0,0,0,0,0
Dysoxylum rufum,0.53,NA,0.551,NA,NA,,,0.551,,,,,0.55,,,0,0,0,0,0,0
Melicope micrococca,0.53,NA,0.509333333,NA,0.5246,,,0.509333333,,0.5246,,,0.51,,0.52,0,0,0,0,0,0
Syzygium ingens,0.47,NA,0.456,NA,0.4644,,,0.456,,0.4644,,,0.46,,0.46,0,0,0,0,0,0
Araucaria bidwillii,0.44,NA,0.412666667,NA,0.392,,,0.412666667,,0.392,,,0.41,,0.39,0,0,0,0,0,0
Brachychiton discolor,0.26,NA,0.24675,NA,NA,,,0.24675,,,,,0.25,,,0,0,0,0,0,0
Elattostachys xylocarpa,0.7,NA,0.663,NA,0.6622,,,0.663,,0.6622,,,0.66,,0.66,0,0,0,0,0,0
Hodgkinsonia ovatiflora,0.63,NA,NA,NA,0.8256,,,,,0.8256,,,,,0.83,0,0,0,0,0,0
Jagera pseudorhus,0.63,NA,0.676,NA,NA,,,0.676,,,,,0.68,,,0,0,0,0,0,0
Drypetes deplanchei,0.72,NA,0.782,NA,NA,,,0.782,,,,,0.78,,,0,0,0,0,0,0
Gossia bidwillii,0.68,NA,NA,NA,0.731,,,,,0.731,,,,,0.73,0,0,0,0,0,0
Mallotus philippensis,0.62,0.56,0.65,NA,0.6,,0.56,0.65,,0.6,,0.56,0.65,,0.60,0,0,0,0,0,0
Maytenus disperma,0.77,NA,0.814,NA,0.74,,,0.814,,0.74,,,0.81,,0.74,0,0,0,0,0,0
Niemeyera chartacea,0.63,NA,0.663,NA,NA,,,0.663,,,,,0.66,,,0,0,0,0,0,0
Pilidiostigma glabrum,0.56,NA,NA,NA,0.6192,,,,,0.6192,,,,,0.62,0,0,0,0,0,0
Syzygium hemilamprum,0.56,NA,0.592,0.601,NA,,,0.592,0.601,,,,0.59,0.60,,0,0,0,0,0,0
Tabernaemontana pandacaqui,0.47,NA,NA,0.764,NA,,,,0.764,,,,,0.76,,0,0,0,0,0,0
Argyrodendron peralatum,0.74,NA,NA,NA,0.62,,,,,0.62,,,,,0.62,0,0,0,0,0,0
Celtis paniculata,0.58,NA,0.607,NA,0.57,,,0.607,,0.57,,,0.61,,0.57,0,0,0,0,0,0
Cupaniopsis flagelliformis,0.79,NA,NA,NA,0.7181,,,,,0.7181,,,,,0.72,0,0,0,0,0,0
Diploglottis diphyllostegia,0.42,NA,NA,0.692,NA,,,,0.692,,,,,0.69,,0,0,0,0,0,0
Ficus fraseri,0.41,NA,0.397666667,NA,0.39,,,0.397666667,,0.39,,,0.40,,0.39,0,0,0,0,0,0
Mallotus polyadenos,0.62,NA,0.65,NA,0.6,,,0.65,,0.6,,,0.65,,0.60,0,0,0,0,0,0
Ternstroemia cherryi,0.56,NA,0.581,NA,NA,,,0.581,,,,,0.58,,,0,0,0,0,0,0
Alphitonia whitei,0.63,NA,0.61,NA,0.534,,,0.61,,0.534,,,0.61,,0.53,0,0,0,0,0,0
Apodytes brachystylis,0.54,NA,0.564,NA,0.53,,,0.564,,0.53,,,0.56,,0.53,0,0,0,0,0,0
Archidendron vaillantii,0.4374,NA,0.37,NA,0.36,,,0.37,,0.36,,,0.37,,0.36,0,0,0,0,0,0
Ardisia brevipedata,0.68,NA,NA,0.672,NA,,,,0.672,,,,,0.67,,0,0,0,0,0,0
Athertonia diversifolia,0.56,NA,NA,NA,0.55,,,,,0.55,,,,,0.55,0,0,0,0,0,0
Austromuellera trinervia,0.57,NA,0.594,NA,0.56,,,0.594,,0.56,,,0.59,,0.56,0,0,0,0,0,0
Melicope platynema,0.62,NA,0.611,NA,NA,,,0.611,,,,,0.61,,,0,0,0,0,0,0
Corynocarpus cribbianus,0.57,NA,0.594,NA,NA,,,0.594,,,,,0.59,,,0,0,0,0,0,0
Cryptocarya grandis,0.71,0.715,NA,NA,NA,,0.715,,,,,0.72,,,,0,0,0,0,0,0
Diploglottis bracteata,0.81,NA,0.857,NA,0.77,,,0.857,,0.77,,,0.86,,0.77,0,0,0,0,0,0
Dysoxylum papuanum,0.63,NA,NA,0.605,0.59,,,,0.605,0.59,,,,0.61,0.59,0,0,0,0,0,0
Endiandra palmerstonii,0.65,0.605666667,0.589333333,NA,0.57,,0.605666667,0.589333333,,0.57,,0.61,0.59,,0.57,0,0,0,0,0,0
