original_term,fruit_type,fruit_dehiscence,fruit_fleshiness,dispersal_appendage
Pod_R,legume,,,fleshy_reward
Capsule_W,capsule,,,wing_or_plume
Drupe,drupe,,,
Capsule_N,capsule,,,
Samara,samara,,,
Berry,berry,,,
Capsule_R,capsule,,,fleshy_reward
Achene(plumed),achene,,,plumed
Nut,nut,,,
Follicle_W,follicle,,,wing_or_plume
Pod_N,pod,,,
Follicle_R,follicle,,,fleshy_reward
Cone,strobilus,,,
Follicle_N,follicle,,,
Fig,syconium,,,
