species,sla.mean,sla.sd,individual.n,leaf.n
Acacia maidenii,6.018246633,0.532316996,3,9
Acacia melanoxylon,5.557414676,NA,1,3
Aceriatum sericoleopsis,26.57589582,NA,1,3
Ackama paniculosa,10.25030836,1.130101872,7,21
Acronychia oblongifolia,14.54691571,5.761711968,4,12
Acronychia parviflora,21.96664746,NA,1,3
Acronychia vestita,16.00388733,NA,1,3
Aglaia australiensis,7.992086087,4.139310537,40,42
Aglaia tomentosa,14.88964825,1.897806557,11,25
Akania bidwillii,8.913022503,2.221636537,2,2
Alangium villosum.polyosmoides,20.21478292,NA,1,3
Alectryon connatus,9.815183371,0.060911452,2,4
Alectryon subdentatus,12.76047609,NA,1,2
Alphitonia excelsa,19.9491074,NA,1,3
Alyxia ruscifolia,6.852294363,1.784495916,3,9
Anthocarapa nitidula,11.92879674,0.703927025,2,4
Antidesma erostre,11.6491842,NA,1,3
Aphananthe philippinensis,10.33038361,NA,1,3
Apodytes brachystylis,14.39884137,1.93357045,18,54
Araucaria bidwilli,6.954309346,1.857892309,5,15
Archidendron grandiflorum,12.85896911,NA,1,2
Ardisia brevipedata,10.35874358,2.304990052,2,6
Argyrodendron actinophyllum,7.241325157,1.019750389,6,15
Argyrodendron peratelum,8.225145342,3.155298955,2,6
Argyrodendron sp.Boonji,5.428362179,0.136208259,3,7
Argyrodendron trifoliatum,9.62611358,2.503357279,24,64
Arytera distylis,12.8305294,NA,1,3
Arytera divaricata,10.68406497,3.590685941,3,7
Athertonia diversifolia,8.6086555,NA,1,3
Atractocarpus benthamianus,11.42589928,NA,1,3
Attractocarpus merikin,9.909365845,NA,1,3
Austromeullera trinervia,11.99928394,1.695473477,3,3
Baloghia inophylla,7.319783929,0.616638802,4,12
Beilschmiedia bancroftii,10.30425684,NA,1,3
Beilschmiedia elliptica,10.99563313,NA,1,3
Beilschmiedia tooram,9.265138438,0.67929131,8,24
Brachychiton acerifolius,15.20269031,3.494167296,5,12
Brachychiton discolor,13.09738172,7.482702652,2,5
Bridiella leichhardtii,6.136991576,NA,1,3
Brombya platynema,23.48063503,NA,1,3
Capparis arborea,7.926260451,1.620957713,7,21
Cardwellia sublimis,6.469658859,NA,1,1
Castanospermum australe,13.09597317,2.17241982,58,64
Castanospora alphandii,8.238192025,0.940302843,16,16
Celtis paniculata,14.74438082,NA,1,3
Cinnamomum oliveri,9.087197954,0.996027944,2,6
Cinnamomum virens,6.538322764,NA,1,3
Citronella moorei,16.27879392,5.628320036,2,6
Citronella smythii,14.14342386,NA,1,3
Cloaxylon australe,18.05188448,6.062449884,21,62
Codiaeum variegatum var moluccanum,12.90907406,1.904017992,9,27
Corynocarpus cribbianus,13.73270841,0.313041614,2,6
Croton triacros,13.55626998,NA,1,3
Cryptocarya erythroxylon,11.47782082,1.146792926,3,9
Cryptocarya glaucescens,6.871527294,NA,1,3
Cryptocarya grandis,12.7951905,2.13462009,3,9
Cryptocarya mackinnoniana,9.006800483,1.343871889,5,13
Cryptocarya meisneriana,11.31622701,1.107980434,14,42
Cryptocarya obovata,9.370726494,2.334863871,6,18
Cryptocarya pleurosperma,13.13218376,NA,1,3
Cryptocarya putida,7.671685194,NA,1,3
Cryptocarya triplonervis.var.pubens,11.39271358,1.29503776,4,11
Cupaniospsis flagelliformis,13.09941964,0.359755247,2,3
Daphnandra apetala,28.83878211,NA,1,3
Daphnandra melasmena,22.18956485,NA,1,3
Daphnandra rapandula,20.21471258,2.927180771,7,21
Delarbrea micheana,8.602241779,2.743160884,3,3
Dendrocnide excelsa,13.06425001,2.590939772,2,3
Denhamia celastroides,7.756850846,NA,1,3
Diospyros australis,5.300853682,2.266675833,4,12
Diospyros cupulosa,7.578984399,NA,1,3
Diospyros pentamera,8.263723959,NA,1,3
Diploglottis australis,7.790233991,1.528299024,5,5
Diploglottis bracteata,7.937390595,1.499730634,8,8
Diploglottis diphyllostegia,7.545068634,0.563154405,2,2
Doryphora aromatica,14.01690211,2.963979772,7,21
Doryphora sassafras,9.109954355,1.885269768,21,61
Drypetes deplanchei,8.187272303,NA,1,3
Duboisia myoporoides,15.98619648,1.861316576,2,6
Dysoxylum papuanum,15.86456783,NA,1,2
Dysoxylum parasiticum,11.90766806,NA,1,1
Dysoxylum pettigrewianum,14.98044774,5.783098383,3,4
Dysoxylum rufum,17.83499345,5.419284477,2,4
Ehretia acuminata,17.20599852,6.088977279,2,5
Elaeocarpus kirtonii,9.423923255,NA,1,3
Elaeodendron australe,9.228352391,0.320696919,3,9
Elattostachys nervosa,10.40521687,1.391933077,4,10
Elattostachys xylocarpa,10.9805381,0.445291301,2,6
Emmenosperma alphitoniodes,11.62405223,NA,1,3
Endiandra bessaphila,7.286490353,NA,1,2
Endiandra cowleyana,24.23039849,NA,1,3
Endiandra crassiflora,18.37679143,NA,1,3
Endiandra insignis,14.35150305,NA,1,1
Endiandra monothyra,12.73838168,2.814143276,8,22
Endiandra sankeyana,10.05520124,NA,1,3
Endiandra virens,14.39504196,4.588002795,2,4
Endiandra wolfei,11.06538613,NA,1,3
Euroschinis falcatus.var.falcatus,12.48392429,NA,1,1
Ficus copiosa,9.196521681,NA,1,3
Ficus coronata,18.66688111,6.306951294,3,9
Ficus fraserii,11.8577881,NA,1,3
Ficus leptoclada,48.95843748,NA,1,3
Fontainea picrosperma,19.51886376,NA,1,3
Franciscodendron laurifolium,11.35169564,1.187190474,9,21
Garcinia gibbsiae,9.252553958,0.744069735,2,6
Geijera salicifolia,12.67832542,5.629083604,2,6
Geissios benthami,9.511446095,1.240582843,3,9
Glochidion ferdinandi,16.43100795,NA,1,3
Gossia bidwilli,9.833148115,NA,1,3
Gossia dallachania,15.47501013,2.872295485,3,9
Guilfolya monostylis,19.47149505,1.006425572,2,6
Guioa semiglauca,10.05781159,1.928917254,31,79
Haplostichanthus johnsonii,12.78876839,NA,1,3
Haplosticanthus submontanus,12.71753415,2.18639595,3,9
Harpulia rhytocarpa,9.226280537,NA,1,1
Hedraianthera porphyropetala,11.91839322,0.990419277,2,6
Helicia glabrifolia,8.084191288,NA,1,3
Hodgkinsonia ovatiflora,11.90558694,NA,1,3
Hylandea dockrillii,8.447363217,1.527188437,2,6
Irvingbaileya australis,12.6171256,NA,1,3
Ligustrum lucidum,14.98215135,NA,1,3
Ligustrum sinense,24.0642874,5.050722625,3,9
Litsea leefeana,11.13269816,3.280322772,5,15
Litsea reticulata,9.819987697,3.335289073,2,6
