species_name,original_name,Sams,Ilic,Zanne,Metcalfe,Kooyman,mean_WD,Ilic_yes,Metcalfe_yes,Zanne_yes,Kooyman_yes,mean_yes,sum_matches
Ardisia brevipedata,Ardisia brevipedata,0.68,NA,NA,0.67,NA,0.67,NA,0,NA,NA,0,0
Athertonia diversifolia,Athertonia diversifolia,0.56,NA,NA,NA,0.55,0.55,NA,NA,NA,0,0,0
Beilschmiedia brunnea,Beilschmedia brunnea,0.45,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Melicope platynema,Brombya platynema,0.62,0.61,NA,NA,NA,0.61,0,NA,NA,NA,0,0
Corynocarpus cribbianus,Corynocarpus cribbianus,0.57,0.59,NA,NA,NA,0.59,0,NA,NA,NA,0,0
Cryptocarya grandis,Cryptocarya grandis,0.71,NA,0.72,NA,NA,0.72,NA,NA,0,NA,0,0
Diploglottis bracteata,Diploglottis bracteata,0.81,0.86,NA,NA,0.77,0.82,0,NA,NA,0,0,0
Dysoxylum papuanum,Dysoxylum papuanum,0.63,NA,NA,0.6,0.59,0.6,NA,0,NA,0,0,0
Endiandra bessaphila,Endiandra bessaphila,0.8,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Endiandra palmerstonii,Endiandra palmerstonii,0.65,0.59,0.61,NA,0.57,0.59,0,NA,0,0,0,0
Erythroxylon sp.,Erythroxylon sp,0.81,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Fontainea picrosperma,Fontainea picrosperma,0.46,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Franciscodendron laurifolium,Franciscodendron laurifolium,0.37,0.39,NA,NA,0.38,0.38,0,NA,NA,0,0,0
Garcinia gibbsiae,Garcinia gibbsiae,0.82,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Glochidion hylandii,Glochidian hylandii,0.66,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Gossia shepherdii,Gossia shepherdii,0.7,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Guioa lasioneura,Guioa lasioneura,0.53,NA,0.54,NA,NA,0.54,NA,NA,0,NA,0,0
Haplostichanthus johnsonii,Haplostichanthus johnsonii,0.62,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Harpullia rhyticarpa,Harpulia rhytocarpa,0.74,NA,NA,0.49,NA,0.49,NA,0,NA,NA,0,0
Myristica globosa,Myristica globosa,0.5,0.48,NA,NA,NA,0.48,0,NA,NA,NA,0,0
Niemeyera prunifera,Niemeyera prunifera,0.66,0.59,NA,NA,0.62,0.6,0,NA,NA,0,0,0
Opisthiolepis heterophylla,Opisthiolepus heterophylla,0.5,0.51,NA,NA,0.46,0.48,0,NA,NA,0,0,0
Oraniopsis appendiculata,Oraniopsis appendiculata,0.17,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Pittosporum rubiginosum,Pittosporum rubiginosum,0.88,NA,0.72,NA,NA,0.72,NA,NA,0,NA,0,0
Beccariella brownlessiana,Pouteria brownlessiana,0.66,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Planchonella xylocarpa,Pouteria xylocarpa,0.58,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Pseuduvaria hylandii,Pseudavarius hylandia,0.58,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Rhodomyrtus trineura subsp. capensis,Rhodomyrtus trineura.ssp.capensis,0.74,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Rockinghamia angustifolia,Rockinghamia angustifolia,0.65,0.69,NA,NA,0.64,0.66,0,NA,NA,0,0,0
Siphonodon australis,Siphonodon australia,0.65,0.68,0.7,NA,0.63,0.67,0,NA,0,0,0,0
Steganthera laxiflora,Steganthera laxiflora,0.5,0.55,NA,NA,NA,0.55,0,NA,NA,NA,0,0
Syzygium mulgraveanum,Syzigium mulgraveana,0.7,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
Wilkiea cordata,Wilkea chordata,0.68,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,0
