dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Corynocarpus rupestris,NA,Kooyman_2011_0199,plant_height,20,m,expert_max,NA,Corynocarpus rupestris-rupestris,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acsmithia davidsonii,NA,Kooyman_2011_0200,plant_height,15,m,expert_max,NA,Acsmithia davidsonii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Anodopetalum biglandulosum,NA,Kooyman_2011_0201,plant_height,12,m,expert_max,NA,Anodopetalum biglandulosum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Ceratopetalum apetalum,NA,Kooyman_2011_0202,plant_height,40,m,expert_max,NA,Ceratopetalum apetalum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Ceratopetalum macrophyllum,NA,Kooyman_2011_0203,plant_height,20,m,expert_max,NA,Ceratopetalum macrophyllum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Pullea stutzeri,NA,Kooyman_2011_0204,plant_height,30,m,expert_max,NA,Pullea stutzeri,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Schizomeria ovata,NA,Kooyman_2011_0205,plant_height,35,m,expert_max,NA,Schizomeria ovata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Schizomeria whitei,NA,Kooyman_2011_0206,plant_height,30,m,expert_max,NA,Schizomeria whitei,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Athrotaxis cupressoides,NA,Kooyman_2011_0207,plant_height,12,m,expert_max,NA,Athrotaxis cuppressoides,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Athrotaxis selaginoides,NA,Kooyman_2011_0208,plant_height,35,m,expert_max,NA,Athrotaxis selaginoides,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Athrotaxis laxifolia,NA,Kooyman_2011_0209,plant_height,10,m,expert_max,NA,Athrotaxis laxifolia,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Callitris baileyi,NA,Kooyman_2011_0210,plant_height,20,m,expert_max,NA,Callitris baileyi,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Callitris columellaris,NA,Kooyman_2011_0211,plant_height,20,m,expert_max,NA,Callitris glaucophylla,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Callitris columellaris,NA,Kooyman_2011_0212,plant_height,30,m,expert_max,NA,Callitris intratropica,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Dillenia alata,NA,Kooyman_2011_0213,plant_height,15,m,expert_max,NA,Dillenia alata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Hibbertia banksii,NA,Kooyman_2011_0214,plant_height,3,m,expert_max,NA,Hibbertia banksii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Hibbertia hexandra,NA,Kooyman_2011_0215,plant_height,5,m,expert_max,NA,Hibbertia hexandra,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Hibbertia melhanioides,NA,Kooyman_2011_0216,plant_height,1.5,m,expert_max,NA,Hibbertia melhanioides,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros australis,NA,Kooyman_2011_0217,plant_height,20,m,expert_max,NA,Diospyros australis,Sams_2017,NA,Sams_2017_019,plant_height,20,m,unknown,Diospyros australis
Kooyman_2011,Diospyros Baird,NA,Kooyman_2011_0218,plant_height,6,m,expert_max,NA,Diospyros Baird,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros Bamaga,NA,Kooyman_2011_0219,plant_height,6,m,expert_max,NA,Diospyros Bamaga,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros calycantha,NA,Kooyman_2011_0220,plant_height,20,m,expert_max,NA,Diospyros calycantha,NA,NA,NA,NA,NA,NA,NA,NA
