dataset_id,species_name,site_name,observation_id,trait_name,value,unit,value_type,replicates,original_name
Cooper_2013,Acanthus ilicifolius,NA,Cooper_2013_0001,seed_length,6,mm,expert_min,NA,Acanthus ilicifolius
Cooper_2013,Acanthus ilicifolius,NA,Cooper_2013_0001,seed_length,12,mm,expert_max,NA,Acanthus ilicifolius
Cooper_2013,Asystasia (Newcastle Bay),NA,Cooper_2013_0002,seed_length,3,mm,expert_min,NA,Asystasia (Newcastle Bay)
Cooper_2013,Asystasia (Newcastle Bay),NA,Cooper_2013_0002,seed_length,5,mm,expert_max,NA,Asystasia (Newcastle Bay)
Cooper_2013,Asystasia australasica,NA,Cooper_2013_0003,seed_length,2,mm,expert_min,NA,Asystasia australiasica
Cooper_2013,Asystasia australasica,NA,Cooper_2013_0003,seed_length,3,mm,expert_max,NA,Asystasia australiasica
Cooper_2013,Brillantaisia lamium,NA,Cooper_2013_0005,seed_length,1,mm,expert_min,NA,Brillantaisia lamium
Cooper_2013,Brillantaisia lamium,NA,Cooper_2013_0005,seed_length,2,mm,expert_max,NA,Brillantaisia lamium
Cooper_2013,Dicliptera spicata,NA,Cooper_2013_0006,seed_length,1,mm,expert_min,NA,Dicliptera spicata
Cooper_2013,Dicliptera spicata,NA,Cooper_2013_0006,seed_length,2,mm,expert_max,NA,Dicliptera spicata
Cooper_2013,Graptophyllum excelsum,NA,Cooper_2013_0008,seed_length,3,mm,expert_min,NA,Graptophyllum excelsum
Cooper_2013,Graptophyllum excelsum,NA,Cooper_2013_0008,seed_length,5,mm,expert_max,NA,Graptophyllum excelsum
Cooper_2013,Justicia hygrophiloides,NA,Cooper_2013_0011,seed_length,2,mm,expert_min,NA,Harnieria hygrophiloides
Cooper_2013,Justicia hygrophiloides,NA,Cooper_2013_0011,seed_length,2,mm,expert_max,NA,Harnieria hygrophiloides
Cooper_2013,Hemigraphis ciliata,NA,Cooper_2013_0013,seed_length,1,mm,expert_min,NA,Hemigraphis royenii
Cooper_2013,Hemigraphis ciliata,NA,Cooper_2013_0013,seed_length,2,mm,expert_max,NA,Hemigraphis royenii
Cooper_2013,Hypoestes floribunda,NA,Cooper_2013_0014,seed_length,1,mm,expert_min,NA,Hypoestes floribunda
Cooper_2013,Hypoestes floribunda,NA,Cooper_2013_0014,seed_length,2,mm,expert_max,NA,Hypoestes floribunda
Cooper_2013,Hypoestes phyllostachya,NA,Cooper_2013_0015,seed_length,2,mm,expert_min,NA,Hypoestes phyllostachya
Cooper_2013,Hypoestes phyllostachya,NA,Cooper_2013_0015,seed_length,3,mm,expert_max,NA,Hypoestes phyllostachya
Cooper_2013,Peristrophe brassii,NA,Cooper_2013_0019,seed_length,2,mm,expert_min,NA,Peristrophe brassii
Cooper_2013,Peristrophe brassii,NA,Cooper_2013_0019,seed_length,2,mm,expert_max,NA,Peristrophe brassii
Cooper_2013,Pseuderanthemum variabile,NA,Cooper_2013_0020,seed_length,3,mm,expert_min,NA,Pseuderanthemum variabile
Cooper_2013,Pseuderanthemum variabile,NA,Cooper_2013_0020,seed_length,3,mm,expert_max,NA,Pseuderanthemum variabile
Cooper_2013,Rhaphidospora cavernarum,NA,Cooper_2013_0021,seed_length,2,mm,expert_min,NA,Rhaphidospora cavernarum
Cooper_2013,Rhaphidospora cavernarum,NA,Cooper_2013_0021,seed_length,3,mm,expert_max,NA,Rhaphidospora cavernarum
Cooper_2013,Rostelllaria adscendes,NA,Cooper_2013_0022,seed_length,1,mm,expert_min,NA,Rostelllaria adscendes
Cooper_2013,Rostelllaria adscendes,NA,Cooper_2013_0022,seed_length,1,mm,expert_max,NA,Rostelllaria adscendes
Cooper_2013,Ruellia brevifolia,NA,Cooper_2013_0024,seed_length,2,mm,expert_min,NA,Stephanophysum longifolium
Cooper_2013,Ruellia brevifolia,NA,Cooper_2013_0024,seed_length,3,mm,expert_max,NA,Stephanophysum longifolium
Cooper_2013,Thunbergia alata,NA,Cooper_2013_0025,seed_length,4,mm,expert_min,NA,Thunbergia alata
Cooper_2013,Thunbergia alata,NA,Cooper_2013_0025,seed_length,4,mm,expert_max,NA,Thunbergia alata
Cooper_2013,Thunbergia arnhemica,NA,Cooper_2013_0026,seed_length,5,mm,expert_min,NA,Thunbergia arnhemica
Cooper_2013,Thunbergia arnhemica,NA,Cooper_2013_0026,seed_length,6,mm,expert_max,NA,Thunbergia arnhemica
Cooper_2013,Sauraia andreana,NA,Cooper_2013_0030,seed_length,0.5,mm,expert_min,NA,Sauraia andreana
Cooper_2013,Sauraia andreana,NA,Cooper_2013_0030,seed_length,0.5,mm,expert_max,NA,Sauraia andreana
Cooper_2013,Alangium (Claudie River),NA,Cooper_2013_0032,seed_length,12,mm,expert_min,NA,Alangium (Claudie River)
Cooper_2013,Alangium (Claudie River),NA,Cooper_2013_0032,seed_length,13,mm,expert_max,NA,Alangium (Claudie River)
Cooper_2013,Alangium villosum subsp. polyosmoides,NA,Cooper_2013_0033,seed_length,10,mm,expert_min,NA,Alangium villosum polysmoides
Cooper_2013,Alangium villosum subsp. polyosmoides,NA,Cooper_2013_0033,seed_length,17,mm,expert_max,NA,Alangium villosum polysmoides
Cooper_2013,Alangium villosum subsp. tomentosum,NA,Cooper_2013_0034,seed_length,15,mm,expert_min,NA,Alangium villosum tomentosum
Cooper_2013,Alangium villosum subsp. tomentosum,NA,Cooper_2013_0034,seed_length,15,mm,expert_max,NA,Alangium villosum tomentosum
Cooper_2013,Crispiloba disperma,NA,Cooper_2013_0035,seed_length,8,mm,expert_min,NA,Crispiloba disperma
Cooper_2013,Crispiloba disperma,NA,Cooper_2013_0035,seed_length,11,mm,expert_max,NA,Crispiloba disperma
Cooper_2013,Achyranthes aspera,NA,Cooper_2013_0036,seed_length,1,mm,expert_min,NA,Achyranthes aspera
Cooper_2013,Achyranthes aspera,NA,Cooper_2013_0036,seed_length,2,mm,expert_max,NA,Achyranthes aspera
Cooper_2013,Amaranthus hybridus,NA,Cooper_2013_0037,seed_length,1,mm,expert_min,NA,Amaranthus hybridus
Cooper_2013,Amaranthus hybridus,NA,Cooper_2013_0037,seed_length,1,mm,expert_max,NA,Amaranthus hybridus
Cooper_2013,Amaranthus spinosus,NA,Cooper_2013_0038,seed_length,1,mm,expert_min,NA,Amaranthus spinosus
Cooper_2013,Amaranthus spinosus,NA,Cooper_2013_0038,seed_length,1,mm,expert_max,NA,Amaranthus spinosus
Cooper_2013,Deeringia amaranthoides,NA,Cooper_2013_0040,seed_length,1,mm,expert_min,NA,Deeringia amaranthoides
Cooper_2013,Deeringia amaranthoides,NA,Cooper_2013_0040,seed_length,1,mm,expert_max,NA,Deeringia amaranthoides
Cooper_2013,Crinum asiaticum var. pedunculatum,NA,Cooper_2013_0042,seed_length,22,mm,expert_min,NA,Crinum pedunculatum
Cooper_2013,Crinum asiaticum var. pedunculatum,NA,Cooper_2013_0042,seed_length,40,mm,expert_max,NA,Crinum pedunculatum
Cooper_2013,Proiphys amboinensis,NA,Cooper_2013_0044,seed_length,10,mm,expert_min,NA,Proiphys amboinensis
Cooper_2013,Proiphys amboinensis,NA,Cooper_2013_0044,seed_length,12,mm,expert_max,NA,Proiphys amboinensis
Cooper_2013,Proiphys infundibularis,NA,Cooper_2013_0045,seed_length,10,mm,expert_min,NA,Proiphys infundibularis
Cooper_2013,Proiphys infundibularis,NA,Cooper_2013_0045,seed_length,12,mm,expert_max,NA,Proiphys infundibularis
Cooper_2013,Rhodsphaera rhodanthema,NA,Cooper_2013_0051,seed_length,9,mm,expert_min,NA,Rhodsphaera rhodanthema
Cooper_2013,Rhodsphaera rhodanthema,NA,Cooper_2013_0051,seed_length,9,mm,expert_max,NA,Rhodsphaera rhodanthema
Cooper_2013,Rhus taitensis,NA,Cooper_2013_0052,seed_length,2,mm,expert_min,NA,Rhus taitensis
Cooper_2013,Rhus taitensis,NA,Cooper_2013_0052,seed_length,3,mm,expert_max,NA,Rhus taitensis
Cooper_2013,Pleiogynum timorense,NA,Cooper_2013_0054,seed_length,5,mm,expert_min,NA,Pleiogynum timorense
Cooper_2013,Pleiogynum timorense,NA,Cooper_2013_0054,seed_length,12,mm,expert_max,NA,Pleiogynum timorense
Cooper_2013,Annona glabra,NA,Cooper_2013_0055,seed_length,12,mm,expert_min,NA,Annona glabra
Cooper_2013,Annona glabra,NA,Cooper_2013_0055,seed_length,12,mm,expert_max,NA,Annona glabra
Cooper_2013,Annona reticulata,NA,Cooper_2013_0056,seed_length,10,mm,expert_min,NA,Annona reticulata
Cooper_2013,Annona reticulata,NA,Cooper_2013_0056,seed_length,10,mm,expert_max,NA,Annona reticulata
Cooper_2013,Annona squamosa,NA,Cooper_2013_0057,seed_length,12,mm,expert_min,NA,Annona squamosa
Cooper_2013,Annona squamosa,NA,Cooper_2013_0057,seed_length,16,mm,expert_max,NA,Annona squamosa
Cooper_2013,Artabotrys (Claudie River),NA,Cooper_2013_0058,seed_length,15,mm,expert_min,NA,Artabotrys (Claudie River)
Cooper_2013,Artabotrys (Claudie River),NA,Cooper_2013_0058,seed_length,17,mm,expert_max,NA,Artabotrys (Claudie River)
Cooper_2013,Canaga odorata,NA,Cooper_2013_0059,seed_length,8,mm,expert_min,NA,Canaga odorata
Cooper_2013,Canaga odorata,NA,Cooper_2013_0059,seed_length,8,mm,expert_max,NA,Canaga odorata
Cooper_2013,Uvaria micrantha,NA,Cooper_2013_0060,seed_length,8,mm,expert_min,NA,Cyathostemma micrantum
Cooper_2013,Uvaria micrantha,NA,Cooper_2013_0060,seed_length,10,mm,expert_max,NA,Cyathostemma micrantum
Cooper_2013,Desmos (Mossman River),NA,Cooper_2013_0061,seed_length,8,mm,expert_min,NA,Desmos (Mossman River)
Cooper_2013,Desmos (Mossman River),NA,Cooper_2013_0061,seed_length,8,mm,expert_max,NA,Desmos (Mossman River)
Cooper_2013,Desmos goezeanus,NA,Cooper_2013_0062,seed_length,10,mm,expert_min,NA,Desmos goezeanus
Cooper_2013,Desmos goezeanus,NA,Cooper_2013_0062,seed_length,10,mm,expert_max,NA,Desmos goezeanus
Cooper_2013,Desmos wardianus,NA,Cooper_2013_0063,seed_length,6,mm,expert_min,NA,Desmos wardianus
Cooper_2013,Desmos wardianus,NA,Cooper_2013_0063,seed_length,7,mm,expert_max,NA,Desmos wardianus
Cooper_2013,Fitzalania heteropetala,NA,Cooper_2013_0064,seed_length,11,mm,expert_min,NA,Fitzalania heteropetala
Cooper_2013,Fitzalania heteropetala,NA,Cooper_2013_0064,seed_length,11,mm,expert_max,NA,Fitzalania heteropetala
Cooper_2013,Goniothalamus australiasica,NA,Cooper_2013_0065,seed_length,15,mm,expert_min,NA,Goniothalamus australiasica
Cooper_2013,Goniothalamus australiasica,NA,Cooper_2013_0065,seed_length,20,mm,expert_max,NA,Goniothalamus australiasica
Cooper_2013,Haplostichanthus (Cooper Creek),NA,Cooper_2013_0066,seed_length,9,mm,expert_min,NA,Haplostichanthus (Cooper Creek)
Cooper_2013,Haplostichanthus (Cooper Creek),NA,Cooper_2013_0066,seed_length,10,mm,expert_max,NA,Haplostichanthus (Cooper Creek)
Cooper_2013,Haplostichanthus (Johnstone River),NA,Cooper_2013_0067,seed_length,5,mm,expert_min,NA,Haplostichanthus (Johnstone River)
Cooper_2013,Haplostichanthus (Johnstone River),NA,Cooper_2013_0067,seed_length,10,mm,expert_max,NA,Haplostichanthus (Johnstone River)
Cooper_2013,Haplostichanthus (Rocky River Scrub),NA,Cooper_2013_0069,seed_length,6,mm,expert_min,NA,Haplostichanthus (Rocky River Scrub)
Cooper_2013,Haplostichanthus (Rocky River Scrub),NA,Cooper_2013_0069,seed_length,8,mm,expert_max,NA,Haplostichanthus (Rocky River Scrub)
Cooper_2013,Haplostichanthus (Topaz),NA,Cooper_2013_0070,seed_length,7,mm,expert_min,NA,Haplostichanthus (Topaz)
Cooper_2013,Haplostichanthus (Topaz),NA,Cooper_2013_0070,seed_length,9,mm,expert_max,NA,Haplostichanthus (Topaz)
Cooper_2013,Haplostichanthus johnsonii,NA,Cooper_2013_0071,seed_length,4,mm,expert_min,NA,Haplostichanthus johnsonii
