site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
NA,NA,NA,Acacia ampliceps,26.5,seed mass,mg,4,6
NA,NA,NA,Acacia aneura,18.18,seed mass,mg,4,6
NA,NA,NA,Acacia baileyana,20.48,seed mass,mg,4,6
NA,NA,NA,Acacia brachystachya,35.62,seed mass,mg,4,6
NA,NA,NA,Acacia cambagei,27.51,seed mass,mg,4,6
NA,NA,NA,Acacia cyclops,67.8,seed mass,mg,4,6
NA,NA,NA,Acacia dealbata,11.78,seed mass,mg,4,6
NA,NA,NA,Acacia decurrens,45.38,seed mass,mg,4,6
NA,NA,NA,Acacia doratoxylon,15.4,seed mass,mg,4,6
NA,NA,NA,Acacia elata,31.5,seed mass,mg,4,6
NA,NA,NA,Acacia floribunda,7.08,seed mass,mg,4,6
NA,NA,NA,Acacia genistifolia,26,seed mass,mg,4,6
NA,NA,NA,Acacia hakeoides,28.79,seed mass,mg,4,6
NA,NA,NA,Acacia implexa,20.33,seed mass,mg,4,6
NA,NA,NA,Acacia ligulata,27.06,seed mass,mg,4,6
NA,NA,NA,Acacia longifolia,15.12,seed mass,mg,4,6
NA,NA,NA,Acacia longissima,12.4,seed mass,mg,4,6
NA,NA,NA,Acacia melanoxylon,14.62,seed mass,mg,4,6
NA,NA,NA,Acacia myrtifolia,10.25,seed mass,mg,4,6
NA,NA,NA,Acacia oswaldii,66.67,seed mass,mg,4,6
NA,NA,NA,Acacia paradoxa,17,seed mass,mg,4,6
NA,NA,NA,Acacia prominens,11.4,seed mass,mg,4,6
NA,NA,NA,Acacia pulchella,3.7,seed mass,mg,4,6
NA,NA,NA,Acacia pycnantha,21,seed mass,mg,4,6
NA,NA,NA,Acacia ramulosa,56.5,seed mass,mg,4,6
NA,NA,NA,Acacia rubida,17.12,seed mass,mg,4,6
NA,NA,NA,Acacia salicina,45.7,seed mass,mg,4,6
NA,NA,NA,Acacia saligna,17.54,seed mass,mg,4,6
NA,NA,NA,Acacia stenophylla,63.8,seed mass,mg,4,6
NA,NA,NA,Acacia stricta,6,seed mass,mg,4,6
NA,NA,NA,Acacia suaveolens,30.26,seed mass,mg,4,6
NA,NA,NA,Acacia terminalis,31.37,seed mass,mg,4,6
NA,NA,NA,Acacia tetragonophylla,12.76,seed mass,mg,4,6
NA,NA,NA,Acacia ulicifolia,13.64,seed mass,mg,4,6
