Species,Date,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
W. nobilis,25/11/2008,Elv,400,401,3.85,0.0292,172.3333333,0.432596163,0.932666667,3.136666667,33.16333333,32.26666667,34,400.0533333,398.37,16.545,16.91133333,32.85666667,33.58333333,500.4666667,1000
W. nobilis,25/11/2008,Elv,400,407,2.386666667,0.027066667,243,0.60874285,0.758333333,2.763333333,32.66,30.64333333,34.01333333,400.26,399.1833333,16.06833333,16.36666667,32.82333333,33.43,499.6,1001
W. nobilis,25/11/2008,Elv,400,403,1.703333333,0.0177,228,0.570342205,0.626,3.463333333,33.47333333,33.36,34,400.5466667,399.76,16.44833333,16.69433333,32.09666667,32.58,500.3,1000.666667
W. nobilis,25/11/2008,Elv,400,408,2.39,0.026466667,238.3333333,0.597736127,0.829333333,3.08,33.01333333,31.95666667,33.97666667,399.8166667,398.7266667,16.30866667,16.635,32.65666667,33.30666667,499.5333333,1001.333333
W. nobilis,25/11/2008,Elv,400,410,2.073333333,0.023966667,243,0.609292335,0.781666667,3.203333333,32.66666667,32.19,34.01,399.78,398.8233333,15.72166667,16.03,32.1,32.73,499.1,1002
W. nobilis,25/11/2008,Amb,280,202,5.146666667,0.068233333,148.6666667,0.533422636,1.726666667,2.506666667,27.96666667,28.82,27.99,280.9533333,278.7033333,13.88,14.55933333,37.09333333,38.90666667,499.8666667,1002
W. nobilis,25/11/2008,Amb,280,209,0.957666667,0.059866667,243,0.865908848,1.706666667,2.82,28.38333333,29.98333333,27.98,281.2,280.63,13.52666667,14.2,35.28,37.03666667,499.6,999
W. nobilis,25/11/2008,Amb,280,201,-0.41,0.019266667,304,1.082968188,0.448666667,2.306666667,26.96,26.98,27.99,280.5966667,280.71,12.362,12.53933333,35.03333333,35.53666667,499.8,1001
W. nobilis,25/11/2008,Amb,280,210,1.536666667,0.026466667,178.6666667,0.636284856,0.655,2.45,27.68,27.54333333,27.98,281.4866667,280.7966667,12.04366667,12.30266667,32.72,33.42333333,500.2,1001
W. nobilis,25/11/2008,Amb,280,207,2.13,0.024566667,130.6666667,0.467691133,0.721,2.9,28.14,29.56,27.98,280.3166667,279.3866667,12.10633333,12.39166667,32.02333333,32.78,499.6,1000
W. nobilis,25/11/2008,Amb,280,204,0.605333333,0.0117,185.3333333,0.661912642,0.374333333,3.15,28.46,30.59666667,27.98,280.2866667,279.9966667,12.27033333,12.418,31.85333333,32.23666667,499.7,1002
W. nobilis,25/11/2008,Elv,640,501,3.046666667,0.0165,319.3333333,0.500410044,0.505333333,2.99,33.4,32.90666667,34.02,639.49,638.1433333,19.91433333,20.11233333,39.01,39.39333333,500.2666667,999
W. nobilis,25/11/2008,Elv,640,506,3.393333333,0.018933333,326.6666667,0.512257592,0.585666667,3.023333333,33.48,33.1,34.02,639.2033333,637.7,20.08633333,20.31566667,39.18,39.62666667,500.3,1000.666667
W. nobilis,25/11/2008,Elv,640,505,8.166666667,0.046666667,332,0.522702941,1.323333333,2.78,33.17666667,32.48,34.02,638.76,635.16,20.481,20.999,40.62333333,41.64666667,500.3333333,1000.666667
W. nobilis,25/11/2008,Elv,640,510,7.985,0.03815,281,0.441312158,1.005,2.585,32.7975,31.64,34.02,640.1875,636.7375,20.25175,20.6455,41.0275,41.825,500.3,999
W. nobilis,25/11/2008,Elv,640,502,5.726666667,0.036266667,361.6666667,0.566186408,1.07,2.896666667,33.28666667,32.56,34.02,641.34,638.7766667,19.65833333,20.078,38.74666667,39.57333333,500.3,1001
W. nobilis,25/11/2008,Elv,640,503,4.656666667,0.018866667,222,0.347581024,0.549666667,2.856666667,33.27,32.36,34.02,640.7,638.7,19.724,19.939,38.90333333,39.33,500.3,999
W. nobilis,25/11/2008,Elv,280,302,1.243333333,0.018066667,159.3333333,0.567581367,0.547333333,2.96,33.57666667,33.41666667,34.03,281.2833333,280.7233333,21.64666667,21.86066667,41.97333333,42.39,500.3,1000
W. nobilis,25/11/2008,Elv,280,306,1.616666667,0.023533333,157.6666667,0.562325388,0.828333333,3.43,34.06666667,35.24333333,34.02,281.1233333,280.3833333,22.35366667,22.677,42.16333333,42.77333333,500.3333333,998.6666667
W. nobilis,25/11/2008,Elv,280,304,0.60975,0.019525,217.5,0.776716365,0.60675,3.0325,33.79,33.8325,34.0175,280.335,280.025,22.10425,22.341,42.345,42.8,500.3,999
W. nobilis,25/11/2008,Elv,280,310,1.75,0.0325,181.6666667,0.649389336,1.03,3.09,33.77,33.99,34.02,280.56,279.75,21.818,22.22,41.84666667,42.61333333,500.3,1000.333333
W. nobilis,25/11/2008,Elv,280,309,0.914333333,0.024066667,205.6666667,0.734471347,0.823666667,3.333333333,33.98666667,34.70666667,34.02,280.4833333,280.02,21.625,21.94666667,40.97666667,41.58666667,500.3,998.6666667
W. nobilis,25/11/2008,Amb,400,103,2.933333333,0.0322,239.6666667,0.602051497,0.767333333,2.34,28.57333333,30.75666667,27.97,399.3833333,398.0833333,20.54833333,20.849,52.97666667,53.74666667,500.3,1000
W. nobilis,25/11/2008,Amb,400,102,3.136666667,0.0316,229.3333333,0.576286803,0.606666667,1.893333333,27.72666667,28.23,27.97,399.3033333,397.95,19.08133333,19.319,51.68,52.32666667,500.3,1000
W. nobilis,25/11/2008,Amb,400,101,4.326666667,0.037333333,203,0.509785538,0.728666667,1.926666667,27.63,27.96333333,27.98,400.0533333,398.2066667,18.11866667,18.40433333,49.35333333,50.13,500.3,1000.666667
