Species,Date,Temp,CO2,Potnum,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
Wollemi,2009/12/18,Amb,640,2,9.62,0.0512,299,0.846,1.65,6,1,2.84,25.82,26.82,25.95,641.11,616.78,16.707,18.698,50.55,56.57,250.1,1500
Wollemi,2009/12/18,Amb,640,2,9.62,0.0512,299,0.846,1.65,6,1,2.84,25.82,26.82,25.95,641.11,616.78,16.707,18.698,50.55,56.57,250.1,1500
Wollemi,2009/12/18,Amb,640,2,9.65,0.0497,290,0.806,1.62,6,1,2.84,25.84,26.89,25.96,641.12,616.77,17.256,19.151,52.17,57.9,250.1,1499
Wollemi,2009/12/18,Amb,640,2,9.53,0.0497,292,0.791,1.59,6,1,2.84,25.85,26.93,25.96,639.66,615.63,17.661,19.52,53.36,58.98,250.2,1500
Wollemi,2009/12/18,Amb,640,2,9.67,0.0503,292,0.787,1.56,6,1,2.84,25.86,26.95,25.95,639.91,615.55,18.02,19.869,54.41,60,250.2,1499
Wollemi,2009/12/18,Amb,640,2,9.69,0.0507,294,0.779,1.54,6,1,2.84,25.86,26.98,25.95,640.15,615.77,18.347,20.177,55.38,60.91,250.3,1499
Wollemi,2009/12/18,Amb,640,2,9.83,0.0514,294,0.779,1.52,6,1,2.84,25.87,27.02,25.95,640.17,615.44,18.631,20.462,56.23,61.75,250.2,1500
Wollemi,2009/12/18,Amb,640,2,9.88,0.0515,292,0.768,1.49,6,1,2.84,25.87,27.01,25.95,640.26,615.43,18.873,20.677,56.94,62.39,250.2,1499
Wollemi,2009/12/18,Amb,640,2,9.87,0.0525,299,0.775,1.48,6,1,2.84,25.87,27.04,25.95,640.02,615.21,19.072,20.892,57.54,63.03,250.1,1499
Wollemi,2009/12/18,Amb,640,2,10.4,0.0548,295,0.79,1.44,5.8,1,2.93,25.89,27.1,25.95,638.54,613.36,19.585,21.378,59.03,64.43,250.2,1501
Wollemi,2009/12/18,Amb,640,2,10.4,0.0548,295,0.79,1.44,5.8,1,2.93,25.89,27.1,25.95,638.54,613.36,19.585,21.378,59.03,64.43,250.2,1501
Wollemi,2009/12/18,Amb,640,2,10.7,0.0589,308,0.819,1.39,5.8,1,2.93,25.9,27.14,25.95,639.73,613.83,20.063,21.921,60.43,66.02,250.3,1500
Wollemi,2009/12/18,Amb,640,2,10.7,0.0594,310,0.773,1.3,5.8,1,2.93,25.88,26.76,25.95,639.79,613.85,20.255,22.008,61.08,66.37,250.2,1201
