Temp,CO2,Potnum,StemFW (g),InitialLeafLA (cm-2),NewLeafLA (cm-2),TotalLA (cm-2),InitialLeafFW (g),NewLeafFW (g),TotalLeafFW (g),StemDW (g),InitialLeafDW (g),NewLeafDW (g),TotalLeafDW (g),LMA (g m-2)
Amb,640,1,89.77,591,977,1568,51.41,74.02,125.43,33.37,14.86,26.66,41.52,264.7959184
Amb,640,2,46.51,1020,1106,2126,74.86,78.87,153.73,15.63,30.28,30.05,60.33,283.7723424
Amb,640,3,62.36,876,885,1761,63.95,75.5,139.45,20.58,24.07,28.09,52.16,296.1953436
Amb,640,5,76.27,1249,1452,2701,79.32,88.37,167.69,27.85,30.48,33.5,63.98,236.8752314
Amb,640,7,72.35,1411,959,2370,98.87,72.53,171.4,25.35,40.18,27.72,67.9,286.4978903
Amb,640,9,114.97,1127,1213,2340,86.01,97.81,183.82,39.92,33.55,36.63,70.18,299.9145299
Amb,400,102,69.12,1450,452,1902,113.04,39.85,152.89,20.84,41.51,13.37,54.88,288.5383807
Amb,400,104,100.86,1814,302,2116,129.32,31.89,161.21,30.74,48.64,9.94,58.58,276.8431002
Amb,400,105,57.77,1239,1041,2280,91.04,68.67,159.71,17.1,33.66,21.88,55.54,243.5964912
Amb,400,107,75.44,918,860,1778,59,63.53,122.53,24.42,22.56,22.8,45.36,255.1181102
Amb,400,108,70.85,1341,344,1685,92.51,27.27,119.78,21.37,36.49,8.79,45.28,268.7240356
Amb,400,110,49.9,509,844,1353,32.72,56.91,89.63,14.95,11.83,19.3,31.13,230.0813008
Amb,280,202,41.88,991,1262,2253,55.69,79.72,135.41,12.11,21.31,25.73,47.04,208.7882823
Amb,280,203,31.56,937,929,1866,61.21,55.02,116.23,8.82,22.01,16.6,38.61,206.9131833
Amb,280,205,34.87,1056,1202,2258,61.1,63.08,124.18,9.75,22.94,18.85,41.79,185.0752879
Amb,280,208,56.69,1279,1085,2364,83.11,70.9,154.01,17.29,29.68,22.36,52.04,220.1353638
Amb,280,209,45.02,1106,1509,2615,67.26,88.93,156.19,12.44,24.18,27.19,51.37,196.4435946
Amb,280,210,62.41,1815,1142,2957,112.23,67.7,179.93,17.34,41.17,20.34,61.51,208.0148799
Elv,280,301,34.66,858,1241,2099,49.22,70.86,120.08,9.16,18.18,21.99,40.17,191.3768461
Elv,280,302,60.35,2218,1037,3255,144.53,58.07,202.6,17.75,50.3,17.08,67.38,207.0046083
Elv,280,305,28.47,753,959,1712,44.33,46.47,90.8,7.81,17.99,15.13,33.12,193.4579439
Elv,280,306,47.71,1452,754,2206,93.27,54.51,147.78,12.75,34.17,15.47,49.64,225.0226655
Elv,280,308,56.43,1300,1101,2401,87.95,70.08,158.03,15.53,31.81,21.14,52.95,220.5331112
Elv,280,309,31.96,846,1207,2053,50.39,63.44,113.83,9.3,18.87,21.27,40.14,195.518753
Elv,400,401,45.8,1028,946,1974,67.77,68.35,136.12,12.55,24.58,21.3,45.88,232.4214792
Elv,400,405,51.79,1132,1048,2180,88.29,73.23,161.52,12.87,30.91,22.06,52.97,242.9816514
Elv,400,407,31.03,414,1032,1446,23.82,62.72,86.54,8.88,8.66,20.05,28.71,198.5477178
Elv,400,408,64.97,1476,707,2183,102.84,50.85,153.69,18.34,36.82,15.93,52.75,241.639945
Elv,400,409,46.79,1195,522,1717,80.53,35.51,116.04,11.75,29.9,10.82,40.72,237.1578334
Elv,400,410,64.67,1784,1830,3614,105.1,97.93,203.03,18.6,37.77,32.2,69.97,193.6081904
Elv,640,504,42.49,839,1334,2173,58.36,88.98,147.34,12.34,20.86,28.04,48.9,225.0345145
Elv,640,505,64.99,1192,859,2051,86.04,67.85,153.89,17.96,30.03,22.13,52.16,254.3149683
Elv,640,506,90.31,1677,1832,3509,106.08,129.46,235.54,25.62,38.9,40.61,79.51,226.5887717
Elv,640,508,47.04,679,1409,2088,44.11,81.58,125.69,15.32,15.92,27.54,43.46,208.1417625
Elv,640,509,81.18,2017,227,2244,143.35,19.63,162.98,23.43,45.78,6.28,52.06,231.9964349
Elv,640,510,57.4,1271,1567,2838,78.95,101.43,180.38,16.3,28.7,33.29,61.99,218.4284708
